001 152 n exposure 0.000182847 thresh 2.75 :  fit 0.5 1.10091 0.000806794 -4.67404e-06 8.98455e-09 3.61 Band 0.25 0.003 chi2 0.245366
001 153 y exposure 0.000158301 thresh 1.05 :  fit 0.0750501 1.12606 0.000271467 -1.50789e-06 2.83222e-09 3.61 Band 0.25 0.003 chi2 0.0282524
001 154 y exposure 0.000245967 thresh 1.05 :  fit -0.0413456 1.14797 1.02797e-05 5.45733e-08 -1.87538e-10 2.56 Band 0.25 0.003 chi2 0.0323743
001 162 y exposure 0.000169071 thresh 1.95 :  fit -0.00109073 1.13345 9.84838e-05 -6.78951e-07 1.41707e-09 3.61 Band 0.25 0.003 chi2 0.0244693
001 163 y exposure 0.000175583 thresh 1.55 :  fit -0.232841 1.13445 0.000131322 -1.02489e-06 2.38966e-09 3.24 Band 0.25 0.003 chi2 0.020467
001 171 y exposure 0.000140517 thresh 1.25 :  fit -0.185504 1.11865 4.54688e-05 -2.23143e-07 3.72884e-10 4 Band 0.25 0.003 chi2 0.0320945
001 172 y exposure 0.000177838 thresh 1.35 :  fit 0.185291 1.10662 0.000394398 -2.19626e-06 4.02793e-09 4.41 Band 0.25 0.003 chi2 0.026697
001 173 y exposure 0.000147981 thresh 1.35 :  fit 0.0686341 1.13939 0.000106212 -4.50028e-07 6.60649e-10 3.24 Band 0.25 0.003 chi2 0.0292519
002 111 y exposure 0.000851326 thresh 1.15 :  fit 0.0735763 1.13115 4.22425e-06 3.36167e-07 -1.14837e-09 2.25 Band 0.25 0.003 chi2 0.0357655
002 112 y exposure 0.00163421 thresh 1.15 :  fit -0.137151 1.22277 2.68077e-05 3.54194e-08 -3.78749e-10 1.96 Band 0.25 0.003 chi2 0.0323468
002 113 y exposure 0.00135378 thresh 1.45 :  fit -0.140955 1.15342 9.2751e-05 -1.85803e-07 -2.14007e-10 3.61 Band 0.25 0.003 chi2 0.0333645
002 114 y exposure 0.00161585 thresh 1.05 :  fit -0.317323 1.13449 6.40025e-05 -1.78118e-07 7.57671e-12 4.41 Band 0.25 0.003 chi2 0.0338433
002 122 y exposure 0.00120688 thresh 0.95 :  fit -0.177479 1.15233 3.74391e-05 -2.94045e-07 7.46899e-10 2.89 Band 0.25 0.003 chi2 0.0317317
002 123 y exposure 0.00110005 thresh 0.85 :  fit -0.024927 1.14986 0.000266756 -1.70414e-06 3.50126e-09 3.61 Band 0.25 0.003 chi2 0.0303089
002 134 y exposure 0.00170933 thresh 0.95 :  fit -0.231404 1.13711 -3.24658e-05 2.68246e-07 -5.33569e-10 2.89 Band 0.25 0.003 chi2 0.0330818
002 141 y exposure 0.000931451 thresh 1.95 :  fit -0.325351 1.21782 -3.97201e-05 3.46339e-07 -8.90512e-10 2.56 Band 0.25 0.003 chi2 0.0426321
002 142 y exposure 0.000941467 thresh 1.15 :  fit -0.259054 1.20552 0.000176123 -1.21183e-06 2.64279e-09 3.24 Band 0.25 0.003 chi2 0.0322391
002 143 y exposure 0.000946474 thresh 1.25 :  fit -0.241697 1.21674 0.000134704 -7.47304e-07 1.36038e-09 3.24 Band 0.25 0.003 chi2 0.0285642
002 144 y exposure 0.00090975 thresh 1.15 :  fit -0.174823 1.20855 0.000193662 -1.17266e-06 2.36718e-09 2.89 Band 0.25 0.003 chi2 0.0296129
002 151 y exposure 0.000923105 thresh 1.15 :  fit -0.259734 1.1318 -6.27248e-06 7.58064e-08 -1.14899e-10 4 Band 0.25 0.003 chi2 0.0370208
002 152 n exposure 0.00121856 thresh 2.65 :  fit 0.300735 1.10985 0.000701438 -4.23491e-06 8.39241e-09 4 Band 0.25 0.003 chi2 0.204907
002 153 y exposure 0.00105498 thresh 1.05 :  fit 0.0473268 1.13115 0.000162185 -7.82557e-07 1.31096e-09 4 Band 0.25 0.003 chi2 0.0269118
002 154 y exposure 0.00163922 thresh 1.35 :  fit -0.113695 1.15538 -0.00012535 8.68719e-07 -1.76549e-09 2.89 Band 0.25 0.003 chi2 0.0375534
002 162 y exposure 0.00112676 thresh 2.05 :  fit -0.00912076 1.13069 0.000159164 -1.11289e-06 2.37013e-09 3.61 Band 0.25 0.003 chi2 0.0278552
002 163 y exposure 0.00117016 thresh 1.65 :  fit -0.243847 1.13718 6.94326e-05 -5.7774e-07 1.37486e-09 3.24 Band 0.25 0.003 chi2 0.0284988
002 171 y exposure 0.000936459 thresh 1.05 :  fit -0.165552 1.1159 0.000111481 -6.86023e-07 1.35323e-09 3.61 Band 0.25 0.003 chi2 0.0308154
002 172 y exposure 0.00118518 thresh 1.05 :  fit 0.128335 1.11055 0.000342861 -1.9604e-06 3.66397e-09 4.41 Band 0.25 0.003 chi2 0.0294692
002 173 y exposure 0.000986203 thresh 0.85 :  fit 0.0593366 1.13994 8.70396e-05 -3.55897e-07 5.47272e-10 3.24 Band 0.25 0.003 chi2 0.0287654
003 111 y exposure 0.00636046 thresh 1.15 :  fit -0.0080408 1.13293 -8.60854e-06 3.57787e-07 -1.13654e-09 2.25 Band 0.25 0.003 chi2 0.0341993
003 112 y exposure 0.0122096 thresh 1.35 :  fit -0.153035 1.22436 1.51724e-05 -8.78033e-09 -9.46426e-11 1.96 Band 0.25 0.003 chi2 0.0332019
003 113 y exposure 0.0101144 thresh 1.75 :  fit -0.133392 1.15257 0.000104044 -2.78204e-07 1.60433e-11 3.61 Band 0.25 0.003 chi2 0.032013
003 114 y exposure 0.0120724 thresh 1.75 :  fit -0.236328 1.12783 0.000177546 -8.25381e-07 1.23668e-09 4 Band 0.25 0.003 chi2 0.0306439
003 122 y exposure 0.00901689 thresh 1.75 :  fit -0.134579 1.14753 0.000109378 -6.23335e-07 1.1907e-09 2.89 Band 0.25 0.003 chi2 0.031182
003 123 y exposure 0.00821871 thresh 1.55 :  fit -0.0198186 1.15159 0.000202325 -1.17359e-06 2.23893e-09 3.61 Band 0.25 0.003 chi2 0.0294438
003 134 y exposure 0.0127708 thresh 1.45 :  fit -0.179355 1.1305 0.000105323 -6.29818e-07 1.30609e-09 2.89 Band 0.25 0.003 chi2 0.0336935
003 141 y exposure 0.00695909 thresh 10.75 :  fit -0.0710642 1.20383 0.000164549 -7.74055e-07 1.16956e-09 2.56 Band 0.25 0.003 chi2 0.104435
003 142 y exposure 0.00703392 thresh 2.05 :  fit -0.253248 1.20409 0.000213193 -1.45312e-06 3.12124e-09 3.24 Band 0.25 0.003 chi2 0.0404294
003 143 y exposure 0.00707134 thresh 10.65 :  fit -0.24335 1.21583 0.000150713 -8.63186e-07 1.62484e-09 3.24 Band 0.25 0.003 chi2 0.0335272
003 144 y exposure 0.00679696 thresh 2.15 :  fit -0.158162 1.20691 0.000233572 -1.48098e-06 3.07989e-09 2.89 Band 0.25 0.003 chi2 0.0286861
003 151 y exposure 0.00689674 thresh 11.05 :  fit -0.214533 1.13037 -2.52064e-06 1.61736e-07 -4.6748e-10 3.61 Band 0.25 0.003 chi2 0.0331004
003 152 n exposure 0.00910419 thresh 2.65 :  fit 0.312037 1.11239 0.00060498 -3.39327e-06 6.34239e-09 4 Band 0.25 0.003 chi2 0.212125
003 153 y exposure 0.00788198 thresh 1.55 :  fit -0.0272172 1.13422 0.000122031 -5.80818e-07 1.0089e-09 4.41 Band 0.25 0.003 chi2 0.0237533
003 154 y exposure 0.012247 thresh 1.35 :  fit -0.104436 1.15166 -3.78757e-05 2.71016e-07 -4.8879e-10 2.89 Band 0.25 0.003 chi2 0.037839
003 162 y exposure 0.00841826 thresh 2.15 :  fit -0.0115421 1.13281 0.000121726 -8.63674e-07 1.84725e-09 3.61 Band 0.25 0.003 chi2 0.0244177
003 163 y exposure 0.00874252 thresh 1.75 :  fit -0.286791 1.14007 2.50921e-05 -3.67306e-07 1.06132e-09 3.24 Band 0.25 0.003 chi2 0.0258108
003 171 y exposure 0.00699651 thresh 10.95 :  fit -0.182059 1.11669 8.87883e-05 -5.09471e-07 9.3345e-10 4 Band 0.25 0.003 chi2 0.0324554
003 172 y exposure 0.00885476 thresh 1.65 :  fit 0.094931 1.11304 0.000301485 -1.7184e-06 3.18749e-09 4.84 Band 0.25 0.003 chi2 0.0314263
003 173 y exposure 0.00736816 thresh 1.55 :  fit 0.0870705 1.13678 0.000143356 -6.86302e-07 1.17896e-09 3.24 Band 0.25 0.003 chi2 0.0321261
006 111 y exposure 0.00383786 thresh 1.15 :  fit 0.047913 1.13193 2.28899e-06 3.34248e-07 -1.15495e-09 2.25 Band 0.25 0.003 chi2 0.0308684
006 112 y exposure 0.00736718 thresh 1.35 :  fit -0.124823 1.21959 7.20676e-05 -3.33749e-07 5.40842e-10 2.25 Band 0.25 0.003 chi2 0.0664635
006 113 y exposure 0.00610294 thresh 1.65 :  fit -0.16358 1.15342 9.47321e-05 -2.11857e-07 -1.47499e-10 3.61 Band 0.25 0.003 chi2 0.0319426
006 114 y exposure 0.0072844 thresh 1.65 :  fit -0.278648 1.12988 0.000155278 -7.67082e-07 1.17549e-09 4 Band 0.25 0.003 chi2 0.0285938
006 122 y exposure 0.00544073 thresh 1.65 :  fit -0.202801 1.15369 -1.854e-06 3.03701e-08 -4.87443e-11 2.89 Band 0.25 0.003 chi2 0.029304
006 123 y exposure 0.00495911 thresh 1.45 :  fit -0.0768945 1.15594 0.000165871 -1.11554e-06 2.40304e-09 3.61 Band 0.25 0.003 chi2 0.0295847
006 134 y exposure 0.00770581 thresh 1.25 :  fit -0.165767 1.12953 0.000110949 -5.92185e-07 1.09905e-09 2.56 Band 0.25 0.003 chi2 0.0321008
006 141 y exposure 0.00419907 thresh 2.05 :  fit -0.374781 1.2228 -0.000135876 8.86235e-07 -1.83026e-09 2.56 Band 0.25 0.003 chi2 0.038341
006 142 y exposure 0.00424422 thresh 1.85 :  fit -0.306298 1.20686 0.000174765 -1.23871e-06 2.68766e-09 3.24 Band 0.25 0.003 chi2 0.0363766
006 143 y exposure 0.00426679 thresh 1.25 :  fit -0.267702 1.21621 0.0001423 -8.06793e-07 1.52832e-09 3.24 Band 0.25 0.003 chi2 0.0318601
006 144 y exposure 0.00410124 thresh 1.85 :  fit -0.226675 1.21225 0.000158324 -1.10337e-06 2.47424e-09 2.89 Band 0.25 0.003 chi2 0.0332625
006 151 y exposure 0.00416144 thresh 11.15 :  fit -0.318998 1.13405 -3.58902e-05 2.40749e-07 -4.3308e-10 4 Band 0.25 0.003 chi2 0.0377913
006 152 n exposure 0.0054934 thresh 2.65 :  fit 0.231455 1.11549 0.000575633 -3.3424e-06 6.42389e-09 4 Band 0.25 0.003 chi2 0.785575
006 153 y exposure 0.00475593 thresh 3.05 :  fit -0.00379848 1.12973 0.000222109 -1.20375e-06 2.18121e-09 4 Band 0.25 0.003 chi2 0.0279029
006 154 y exposure 0.00738976 thresh 1.45 :  fit -0.0663426 1.14848 1.10792e-05 1.6726e-08 -5.34557e-11 2.89 Band 0.25 0.003 chi2 0.0392877
006 162 y exposure 0.00507952 thresh 2.15 :  fit -0.00620534 1.13276 0.000104907 -7.29961e-07 1.54902e-09 3.61 Band 0.25 0.003 chi2 0.0280715
006 163 y exposure 0.00527517 thresh 1.55 :  fit -0.338104 1.14669 -4.05021e-05 9.51189e-09 3.68495e-10 3.24 Band 0.25 0.003 chi2 0.0279911
006 171 y exposure 0.00422164 thresh 10.75 :  fit -0.182452 1.11815 7.52355e-05 -5.0258e-07 1.07437e-09 3.61 Band 0.25 0.003 chi2 0.031199
006 172 y exposure 0.0053429 thresh 1.45 :  fit 0.136216 1.11187 0.000307604 -1.71391e-06 3.18497e-09 4.41 Band 0.25 0.003 chi2 0.0274437
006 173 y exposure 0.00444589 thresh 1.45 :  fit 0.0128419 1.13625 0.000192362 -1.11199e-06 2.16341e-09 3.61 Band 0.25 0.003 chi2 0.0307109
007 111 y exposure 0.00386189 thresh 1.05 :  fit 0.0842152 1.12991 4.04439e-05 1.2553e-07 -8.05942e-10 2.25 Band 0.25 0.003 chi2 0.0366872
007 112 y exposure 0.00741331 thresh 2.05 :  fit 0.168975 1.20291 0.000338864 -1.90199e-06 3.60208e-09 2.25 Band 0.25 0.003 chi2 0.120852
007 113 y exposure 0.00614116 thresh 1.65 :  fit -0.183862 1.15464 6.35769e-05 1.45093e-09 -5.79897e-10 3.61 Band 0.25 0.003 chi2 0.0318326
007 114 y exposure 0.00733002 thresh 1.65 :  fit -0.232527 1.12878 0.000159421 -7.07364e-07 9.64674e-10 4 Band 0.25 0.003 chi2 0.026757
007 122 y exposure 0.00547479 thresh 1.65 :  fit -0.142934 1.1508 2.32418e-05 -1.03313e-09 -1.76903e-10 2.89 Band 0.25 0.003 chi2 0.0278305
007 123 y exposure 0.00499017 thresh 1.45 :  fit -0.0399098 1.1531 0.000183751 -1.1504e-06 2.33111e-09 3.24 Band 0.25 0.003 chi2 0.0276748
007 134 y exposure 0.00775407 thresh 1.25 :  fit -0.202703 1.13646 -1.20815e-05 1.49305e-07 -3.19722e-10 2.56 Band 0.25 0.003 chi2 0.03056
007 141 y exposure 0.00422536 thresh 1.85 :  fit -0.0924329 1.20933 7.5644e-05 -3.2286e-07 4.40346e-10 2.56 Band 0.25 0.003 chi2 0.103618
007 142 y exposure 0.00427079 thresh 2.05 :  fit -0.24003 1.20227 0.000244088 -1.63047e-06 3.42078e-09 3.24 Band 0.25 0.003 chi2 0.0387671
007 143 y exposure 0.00429351 thresh 1.25 :  fit -0.255501 1.21045 0.000264392 -1.61497e-06 3.20401e-09 3.24 Band 0.25 0.003 chi2 0.0294118
007 144 y exposure 0.00412692 thresh 2.15 :  fit -0.20731 1.21095 0.000166854 -1.09258e-06 2.32746e-09 2.89 Band 0.25 0.003 chi2 0.0319306
007 151 y exposure 0.0041875 thresh 9.45 :  fit -0.277561 1.13027 3.18813e-05 -2.36692e-07 6.32659e-10 3.61 Band 0.25 0.003 chi2 0.0353381
007 152 n exposure 0.0055278 thresh 2.65 :  fit 0.308278 1.11067 0.000661246 -3.8711e-06 7.48963e-09 4 Band 0.25 0.003 chi2 0.217073
007 153 y exposure 0.00478571 thresh 2.55 :  fit -0.0462542 1.1369 8.28434e-05 -3.24423e-07 3.92074e-10 4 Band 0.25 0.003 chi2 0.0280432
007 154 y exposure 0.00743603 thresh 1.35 :  fit -0.11182 1.1548 -0.000101285 7.44558e-07 -1.58649e-09 2.89 Band 0.25 0.003 chi2 0.0330884
007 162 y exposure 0.00511132 thresh 2.05 :  fit -0.00780761 1.13403 6.71084e-05 -4.14555e-07 7.89348e-10 3.24 Band 0.25 0.003 chi2 0.0267455
007 163 y exposure 0.0053082 thresh 1.65 :  fit -0.293169 1.13952 6.44118e-05 -5.61859e-07 1.34303e-09 3.24 Band 0.25 0.003 chi2 0.0239868
007 171 y exposure 0.00424808 thresh 10.65 :  fit -0.147227 1.11793 6.76581e-05 -3.9783e-07 7.49109e-10 3.61 Band 0.25 0.003 chi2 0.0305971
007 172 y exposure 0.00537635 thresh 1.55 :  fit 0.138371 1.11125 0.000326029 -1.82787e-06 3.39555e-09 4.41 Band 0.25 0.003 chi2 0.0275609
007 173 y exposure 0.00447373 thresh 1.55 :  fit 0.031592 1.13963 0.00010671 -5.25328e-07 9.31917e-10 3.24 Band 0.25 0.003 chi2 0.0256014
008 111 y exposure 0.00583322 thresh 0.95 :  fit 0.00551984 1.13428 -3.18725e-05 4.99176e-07 -1.39368e-09 2.25 Band 0.25 0.003 chi2 0.037448
008 112 y exposure 0.0111975 thresh 4.65 :  fit -0.1521 1.22275 1.05417e-05 1.63234e-07 -6.9071e-10 2.25 Band 0.25 0.003 chi2 0.0654702
008 113 y exposure 0.00927597 thresh 1.45 :  fit -0.17159 1.15448 8.49276e-05 -1.72883e-07 -1.80835e-10 3.61 Band 0.25 0.003 chi2 0.030453
008 114 y exposure 0.0110717 thresh 1.65 :  fit -0.240555 1.1308 0.000126831 -5.09127e-07 5.83355e-10 4 Band 0.25 0.003 chi2 0.0289772
008 122 y exposure 0.00826945 thresh 1.75 :  fit -0.122105 1.14781 8.59413e-05 -4.1322e-07 6.7394e-10 2.89 Band 0.25 0.003 chi2 0.0290779
008 123 y exposure 0.00753744 thresh 1.55 :  fit 0.000135907 1.14799 0.000296365 -1.90665e-06 3.95342e-09 3.24 Band 0.25 0.003 chi2 0.0289618
008 134 y exposure 0.0117122 thresh 1.55 :  fit -0.201521 1.13274 5.28782e-05 -2.70431e-07 5.60361e-10 2.89 Band 0.25 0.003 chi2 0.0300907
008 141 y exposure 0.00638223 thresh 1.95 :  fit -0.018954 1.19882 0.000265783 -1.46872e-06 2.64578e-09 2.56 Band 0.25 0.003 chi2 0.107698
008 142 y exposure 0.00645086 thresh 2.15 :  fit -0.247698 1.20252 0.000242577 -1.61563e-06 3.39589e-09 3.24 Band 0.25 0.003 chi2 0.0389032
008 143 y exposure 0.00648517 thresh 9.35 :  fit -0.258642 1.21565 0.000188884 -1.23416e-06 2.58209e-09 3.24 Band 0.25 0.003 chi2 0.0323591
008 144 y exposure 0.00623354 thresh 1.95 :  fit -0.227619 1.21001 0.000209108 -1.43736e-06 3.11731e-09 2.89 Band 0.25 0.003 chi2 0.033262
008 151 y exposure 0.00632504 thresh 10.95 :  fit -0.229511 1.13072 -2.21662e-06 7.15385e-08 -8.77095e-11 3.61 Band 0.25 0.003 chi2 0.0366026
008 152 n exposure 0.00834951 thresh 2.65 :  fit 0.331766 1.11018 0.000684857 -4.08024e-06 8.0011e-09 4 Band 0.25 0.003 chi2 0.21435
008 153 y exposure 0.00722862 thresh 5.75 :  fit 0.0920646 1.12775 0.00021826 -1.05882e-06 1.72716e-09 3.24 Band 0.25 0.003 chi2 0.0262135
008 154 y exposure 0.0112318 thresh 1.35 :  fit -0.0582405 1.14828 2.10421e-05 -3.6459e-08 -3.20856e-12 2.89 Band 0.25 0.003 chi2 0.0361141
008 162 y exposure 0.00772044 thresh 1.65 :  fit 0.0274454 1.13337 9.58558e-05 -6.60606e-07 1.38281e-09 3.24 Band 0.25 0.003 chi2 0.0250423
008 163 y exposure 0.00801782 thresh 1.65 :  fit -0.287636 1.14132 2.82597e-05 -3.56578e-07 1.00741e-09 3.24 Band 0.25 0.003 chi2 0.0262365
008 171 y exposure 0.00641654 thresh 10.85 :  fit -0.161944 1.12132 -1.88681e-05 2.71942e-07 -7.77829e-10 3.61 Band 0.25 0.003 chi2 0.0293624
008 172 y exposure 0.00812076 thresh 1.45 :  fit 0.159985 1.10797 0.000395636 -2.2776e-06 4.28317e-09 4.41 Band 0.25 0.003 chi2 0.0272713
008 173 y exposure 0.00675739 thresh 1.35 :  fit 0.045389 1.14089 7.94488e-05 -3.23109e-07 5.09345e-10 3.24 Band 0.25 0.003 chi2 0.0272113
011 111 y exposure 0.00388663 thresh 1.55 :  fit -0.0110005 1.12855 5.43145e-05 1.69079e-08 -5.50688e-10 2.25 Band 0.25 0.003 chi2 0.031743
011 112 y exposure 0.00746081 thresh 1.45 :  fit -0.179396 1.22391 -5.67782e-06 2.59169e-07 -8.76082e-10 2.25 Band 0.25 0.003 chi2 0.0593095
011 113 y exposure 0.00618051 thresh 1.45 :  fit -0.133478 1.15079 0.000135735 -4.13563e-07 2.11094e-10 3.61 Band 0.25 0.003 chi2 0.0327009
011 114 y exposure 0.00737698 thresh 1.85 :  fit -0.273597 1.12829 0.000204111 -1.13164e-06 2.03994e-09 4.41 Band 0.25 0.003 chi2 0.0292855
011 122 y exposure 0.00550987 thresh 1.65 :  fit -0.132581 1.14974 8.03621e-05 -4.97139e-07 1.00903e-09 2.89 Band 0.25 0.003 chi2 0.0275988
011 123 y exposure 0.00502214 thresh 1.45 :  fit -0.0361739 1.15354 0.000178921 -1.1132e-06 2.23936e-09 3.61 Band 0.25 0.003 chi2 0.0286099
011 134 y exposure 0.00780375 thresh 1.45 :  fit -0.188602 1.13278 5.97284e-05 -3.51584e-07 7.78335e-10 2.89 Band 0.25 0.003 chi2 0.0275014
011 141 y exposure 0.00425243 thresh 1.95 :  fit -0.0405294 1.20274 0.000193067 -9.82245e-07 1.62487e-09 2.56 Band 0.25 0.003 chi2 0.0983555
011 142 y exposure 0.00429816 thresh 2.05 :  fit -0.275147 1.205 0.000200234 -1.34253e-06 2.83001e-09 3.24 Band 0.25 0.003 chi2 0.040199
011 143 y exposure 0.00432102 thresh 1.25 :  fit -0.255083 1.21396 0.00020777 -1.2975e-06 2.64705e-09 3.24 Band 0.25 0.003 chi2 0.0318815
011 144 y exposure 0.00415336 thresh 3.85 :  fit -0.172807 1.2074 0.000228689 -1.4644e-06 3.09682e-09 3.24 Band 0.25 0.003 chi2 0.0287637
011 151 y exposure 0.00421433 thresh 10.95 :  fit -0.166191 1.12816 4.38166e-05 -1.03529e-07 1.70924e-11 4 Band 0.25 0.003 chi2 0.0333409
011 152 n exposure 0.00556322 thresh 2.55 :  fit 0.418448 1.10471 0.000737649 -4.2937e-06 8.31472e-09 4 Band 0.25 0.003 chi2 0.211857
011 153 y exposure 0.00481637 thresh 7.25 :  fit 0.149087 1.12928 0.00020354 -9.98294e-07 1.71112e-09 3.61 Band 0.25 0.003 chi2 0.0293719
011 154 y exposure 0.00748367 thresh 1.45 :  fit -0.016225 1.14268 9.99188e-05 -4.34008e-07 6.71599e-10 3.24 Band 0.25 0.003 chi2 0.0347333
011 162 y exposure 0.00514407 thresh 1.65 :  fit 0.0203722 1.13206 0.00012958 -8.81054e-07 1.83468e-09 3.61 Band 0.25 0.003 chi2 0.0247445
011 163 y exposure 0.00534221 thresh 1.55 :  fit -0.255607 1.14017 4.97282e-05 -5.33653e-07 1.46479e-09 3.24 Band 0.25 0.003 chi2 0.0239532
011 171 y exposure 0.00427529 thresh 10.75 :  fit -0.27355 1.12483 -5.45412e-05 3.99144e-07 -9.12872e-10 3.61 Band 0.25 0.003 chi2 0.0290288
011 172 y exposure 0.0054108 thresh 1.35 :  fit 0.0862219 1.11197 0.000322431 -1.80748e-06 3.34998e-09 4.41 Band 0.25 0.003 chi2 0.0261372
011 173 y exposure 0.0045024 thresh 1.45 :  fit 0.0219417 1.13923 0.000118038 -5.48582e-07 8.85918e-10 3.61 Band 0.25 0.003 chi2 0.0245694
012 111 y exposure 0.00892917 thresh 1.55 :  fit 0.0300626 1.13157 1.74675e-05 2.03947e-07 -7.94681e-10 2.25 Band 0.25 0.003 chi2 0.0391374
