,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,366.183501517,292.225317366,349.262163386,384.159765405,341.963471287,334.083116588,362.576342069,367.28943081,361.227697679,368.814379495,387.886836477,351.729182589,353.840939086,330.079036514,362.164946954,380.064184718,bcMax,1,1,1,Peak,2
1,392.049985442,308.324519586,373.918589781,413.020255032,376.575191637,360.103126002,396.113686892,399.344331435,390.652946047,404.668035882,420.186185337,380.988244339,386.391446231,355.366125065,390.678940379,417.26231904,bcMax,1,1,5,Peak,2
2,565.3502853,406.612406039,549.07784289,973.76118091,717.315217155,684.075475357,554.594081056,568.505850281,658.043965373,690.574808683,604.839920432,545.262606182,529.555638131,534.511314777,636.399130729,617.654062087,bcMax,1,1,90,Peak,2
3,595.639269459,421.545544547,572.452135112,1057.06486565,779.183667281,728.448884269,579.12743285,589.927154065,710.718073343,755.086790758,632.595462588,567.083758295,548.128290053,572.369144085,686.270218831,650.292783831,bcMax,1,1,95,Peak,2
4,661.822499702,455.963231536,618.510339617,1160.03525523,884.007734627,803.604893603,630.824516423,632.512911466,778.483546317,831.529492112,695.770799172,613.780038663,589.771658035,638.571809696,739.662955523,732.417812821,bcMax,1,1,99,Peak,2
5,486.0,346.0,473.0,445.0,478.0,425.0,448.0,488.0,452.0,500.0,538.0,452.0,467.0,456.0,467.0,473.0,bcMax,1,1,Mode,Peak,2
6,485.828795238,354.588240574,463.695627857,524.520262179,476.502979354,431.498449332,475.456397279,489.527814075,481.719288528,507.165720452,517.600693069,466.004910846,463.388881828,441.025691487,476.680195064,503.872356885,bcMax,1,1,Median,Peak,2
0,263.781796868,243.452556667,259.953152089,298.27019521,259.357359333,257.013716772,260.797677608,265.661460257,265.93690784,276.888027671,283.747365255,262.367545164,280.353638116,240.417144301,250.133718642,267.782131555,bcMax,1,1,1,Continuum,2
1,272.857876853,250.180327029,270.059459132,311.203598017,269.017554399,263.661528621,271.720510214,278.437629883,277.152044091,291.857287229,294.489924904,272.880518281,297.546077507,249.929878035,263.32219894,278.096277774,bcMax,1,1,5,Continuum,2
2,395.797505739,339.852346079,390.492951401,893.839336424,617.187084881,594.37785735,376.067695455,382.327140706,559.57802711,579.404044359,427.019997708,369.238060841,399.894245481,384.405341281,509.13485126,476.412991658,bcMax,1,1,90,Continuum,2
