,1106,1136,1144,1170,1172,1174,1176,1204,1232,1236,1296,1298,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,-9.53402543342e-07,-5.73977998384e-07,-9.68413654719e-07,-9.07751590086e-07,-8.37114570766e-07,-1.69791741368e-07,-7.7174119818e-07,-5.71608417738e-09,-7.20677345875e-07,-2.47607537175e-07,-2.7159149591e-06,5.75321318299e-09,-6.21110806547e-08,-8.595419071e-07,pol2,4,2,1,Peak,10
1,-4.0427977352e-07,2.60071943224e-07,2.36723918209e-07,2.39604976737e-07,2.13929155667e-07,4.88325303326e-08,4.31937026841e-07,-5.71608417738e-09,1.77633556008e-07,4.86817227765e-07,-4.78311646336e-07,3.42908236384e-07,7.05658600376e-09,-1.51586382204e-07,pol2,4,2,5,Peak,10
2,6.3248849554e-07,7.57032661004e-07,7.32825614342e-07,1.02698245205e-06,1.13541714499e-06,8.88598955463e-07,1.23677761942e-06,8.49931912947e-07,9.96675255013e-07,1.21926905848e-06,9.57760743788e-07,1.15024966648e-06,8.84968811133e-07,6.97846061296e-07,pol2,4,2,90,Peak,10
3,7.4640226162e-07,8.08713714419e-07,7.77910144926e-07,1.09824111181e-06,1.21819347382e-06,9.71323320122e-07,1.31085161525e-06,9.10338499367e-07,1.08519253156e-06,1.30538763737e-06,1.064009977e-06,1.24133661924e-06,9.69456792743e-07,7.72295577785e-07,pol2,4,2,95,Peak,10
4,9.25479152741e-07,8.85847835662e-07,8.59715366875e-07,1.22447951335e-06,1.35206220602e-06,1.11919080863e-06,1.4463150403e-06,9.91878229266e-07,1.17686589674e-06,1.43747558367e-06,1.15908965572e-06,1.39498475712e-06,1.09576858774e-06,8.64501075584e-07,pol2,4,2,99,Peak,10
0,-2.18733982414e-06,-1.4158169816e-06,-2.14008286975e-06,-2.57538426513e-06,-1.45080073366e-06,-2.26972059622e-06,-2.91048607605e-06,-3.30790971825e-06,-3.59769626088e-06,-2.36246359742e-06,-1.73572292985e-06,-1.76864791774e-06,-2.53719950687e-06,-1.5949309336e-06,pol2,4,2,1,Continuum,10
1,-1.10580400769e-06,-6.63186454419e-07,-1.27900941468e-06,-1.45666455618e-06,-5.84365386078e-07,-9.47203335563e-07,-1.18603097577e-06,-1.59415675498e-06,-2.09145563563e-06,-1.28750879241e-06,-5.85690073014e-07,-7.5852304988e-07,-1.36300667039e-06,-6.28762454292e-07,pol2,4,2,5,Continuum,10
2,3.68405999816e-07,2.0951178371e-07,2.03991717143e-07,3.34202554384e-07,3.082316726e-07,3.45937746128e-07,3.50812971394e-07,3.12690018429e-07,3.3312016462e-07,3.09476910069e-07,3.02737003357e-07,3.34771745159e-07,3.89324870995e-07,2.99056343697e-07,pol2,4,2,90,Continuum,10
3,4.94876688856e-07,2.74016544577e-07,2.72465081017e-07,4.48077348288e-07,4.04714156109e-07,4.5443601172e-07,4.45255348207e-07,4.13413560774e-07,4.58424000199e-07,4.03273779518e-07,3.89919373792e-07,4.32387351858e-07,5.14620181825e-07,3.81234232247e-07,pol2,4,2,95,Continuum,10
4,7.3167287259e-07,3.79012524123e-07,4.56516280249e-07,6.78115876677e-07,6.02506226997e-07,6.44918226643e-07,6.53342078861e-07,7.21637285306e-07,7.81527800345e-07,6.16781063062e-07,5.47035381883e-07,6.0108714395e-07,7.22394060575e-07,5.40720208545e-07,pol2,4,2,99,Continuum,10
0,-1.9866427492e-11,-1.86593503898e-11,-1.83303694299e-11,-2.59143870103e-11,-2.83645507588e-11,-2.27501188526e-11,-2.9677731606e-11,-2.30408205618e-11,-2.52812607956e-11,-2.91340203237e-11,-2.46623411557e-11,-2.80926188965e-11,-2.60195316617e-11,-1.9069602847e-11,pol3,4,2,1,Peak,10
1,-1.45868641294e-11,-1.6309773055e-11,-1.56844945624e-11,-2.1835446561e-11,-2.4610192513e-11,-1.89939505898e-11,-2.59571844137e-11,-1.94273005768e-11,-2.14512787309e-11,-2.55321736153e-11,-2.07606796249e-11,-2.42365174073e-11,-2.11016299777e-11,-1.52324125509e-11,pol3,4,2,5,Peak,10
2,7.42242929155e-12,-5.25326651707e-12,-4.94268586609e-12,-5.75115404854e-12,-6.64878552588e-12,-1.22978867766e-12,-9.73000056763e-12,-1.63261719376e-12,-4.69226248904e-12,-9.89252802462e-12,3.00923698118e-13,-7.32006030116e-12,-1.45620428175e-12,1.32458176578e-12,pol3,4,2,90,Peak,10
3,1.02607249799e-11,-3.86827598554e-12,-3.50418269719e-12,-3.43222700415e-12,-3.85834134909e-12,1.38030462306e-12,-7.34172552576e-12,7.88205018429e-13,-2.77526342694e-12,-7.94464640384e-12,8.21865929962e-12,-4.93146964595e-12,1.11229354368e-12,3.88682667049e-12,pol3,4,2,95,Peak,10
4,1.60630924068e-11,-3.93533234958e-13,-1.29029994222e-13,1.88168676465e-12,2.8479048092e-12,5.14756393387e-12,-1.16920889987e-13,7.75807363152e-12,7.36111251741e-13,-2.0024208409e-12,3.15917837681e-11,-1.62468440511e-13,5.46661389152e-12,1.22023861949e-11,pol3,4,2,99,Peak,10
0,-1.59929966271e-11,-8.51468079144e-12,-1.05820532544e-11,-1.46395577488e-11,-1.35244262871e-11,-1.37572992603e-11,-1.45599568528e-11,-1.64360321363e-11,-1.86522677642e-11,-1.31670381131e-11,-1.221119367e-11,-1.33319998749e-11,-1.5603045084e-11,-1.27401274467e-11,pol3,4,2,1,Continuum,10
