,1106,1136,1144,1170,1172,1174,1176,1204,1232,1236,1296,1298,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,-8.95583726494e-07,-4.71603340325e-07,-5.58618441406e-07,-9.08207621888e-07,-9.544838289e-07,-1.13202245433e-06,-7.49799470864e-07,-1.63899246798e-06,-1.89131470616e-06,-1.09262417046e-07,-1.61859523293e-06,-9.26808265405e-07,-4.92408839029e-07,-9.37016613649e-07,pol2,4,2,1,Peak,9
1,-5.33887101057e-07,-3.09465580472e-07,1.36506296046e-07,-5.90108219961e-07,-5.32899563367e-07,-1.96676917018e-07,-4.65659076635e-07,-3.32612231578e-07,-6.78487303088e-07,5.24736712551e-07,-2.80796014997e-07,-6.94476764387e-07,-1.41389543497e-07,-1.63525463452e-07,pol2,4,2,5,Peak,9
2,6.33374324009e-07,1.96591443696e-07,6.49144260318e-07,2.22693889501e-07,4.40512894871e-07,6.31157638994e-07,4.46141595984e-07,5.61438506157e-07,1.7263105037e-07,1.24567622549e-06,9.34448171563e-07,2.05370222903e-07,7.9916958887e-07,6.77191050101e-07,pol2,4,2,90,Peak,9
3,7.6746442562e-07,2.589048179e-07,7.03018508975e-07,3.3357649932e-07,5.63458384962e-07,7.13397997885e-07,6.20334584717e-07,6.58611312064e-07,2.80180547231e-07,1.32051353923e-06,1.02376794019e-06,3.24268923926e-07,9.19782162807e-07,7.54574405543e-07,pol2,4,2,95,Peak,9
4,1.03005097595e-06,4.01398833144e-07,7.85984851908e-07,5.4427592659e-07,7.89709934453e-07,8.20576470996e-07,8.61929541533e-07,8.323648183e-07,4.82751797364e-07,1.45788337927e-06,1.11971878287e-06,5.49783402314e-07,1.11084329835e-06,8.71277179791e-07,pol2,4,2,99,Peak,9
0,-2.2454752133e-06,-1.42855685892e-06,-2.20533430181e-06,-2.622709164e-06,-1.40541876882e-06,-2.63405917555e-06,-2.77170925749e-06,-3.07216140245e-06,-3.59833430672e-06,-2.58142929773e-06,-3.13623635815e-06,-1.68191227243e-06,-2.64867995482e-06,-1.6392162665e-06,pol2,4,2,1,Continuum,9
1,-1.12172274129e-06,-6.24133430224e-07,-1.21458184389e-06,-1.51734956112e-06,-6.37667693887e-07,-1.09641212336e-06,-1.10920761478e-06,-1.56503471929e-06,-2.0796847199e-06,-1.36325956262e-06,-1.20289640449e-06,-7.47177456255e-07,-1.38080971816e-06,-6.45387151912e-07,pol2,4,2,5,Continuum,9
2,3.86108259345e-07,1.58756387406e-07,1.95214864347e-07,2.7107055696e-07,2.41669344851e-07,3.16167970776e-07,2.57848128307e-07,2.78786750982e-07,2.56026508937e-07,3.10157847603e-07,2.75945698357e-07,2.82730110229e-07,3.78102960895e-07,3.1454284277e-07,pol2,4,2,90,Continuum,9
3,5.21624804601e-07,2.13017071695e-07,2.71680837116e-07,3.86584793519e-07,3.33316750865e-07,4.282528323e-07,3.6113050171e-07,3.82843308494e-07,3.82024766506e-07,4.07832255508e-07,3.59457670946e-07,3.94278877326e-07,4.92934461971e-07,4.00139692849e-07,pol2,4,2,95,Continuum,9
4,7.7452331742e-07,3.31878589176e-07,4.57664663408e-07,6.59193835022e-07,5.46752599093e-07,6.28378249818e-07,5.82096469102e-07,6.44794889303e-07,6.93462812568e-07,5.90865602496e-07,5.33850319589e-07,5.72428013967e-07,7.36431229677e-07,5.70767359466e-07,pol2,4,2,99,Continuum,9
