,576,592,594,598,600,608,610,624,626,640,644,646,656,662,664,674,688,690,692,696,Cut,DS,Module,Percentage,Range,SubDS
0,-4.96172551906e-07,-5.26753826946e-07,-3.01916677363e-07,-8.74234481979e-07,-1.76765825726e-07,-4.06190948639e-07,-5.90574007697e-07,-2.21374643155e-07,-2.75817243277e-07,-8.43675623357e-07,-2.59790042757e-07,-5.22232562879e-07,-8.85811740334e-07,-2.125031508e-07,-1.31122226781e-08,-6.86705743567e-07,-5.00738726765e-07,-2.62836377628e-07,-6.03769375975e-07,-1.17599340895e-06,pol2,0,1,1,Peak,31
1,1.20538888681e-07,2.95385794601e-07,1.07328485301e-07,2.17374644294e-07,1.42871773518e-07,9.90298704939e-08,1.4216438087e-07,4.14361826571e-07,1.90706772872e-07,2.08272498045e-07,-4.70978919239e-08,3.00725659621e-07,3.04145854433e-07,3.86988557524e-07,-7.31807206678e-09,1.64924528394e-07,1.22784233042e-07,2.12830521632e-07,2.67663044261e-07,-1.98931142478e-07,pol2,0,1,5,Peak,31
2,9.18557192303e-07,1.28957634084e-06,1.0147538407e-06,1.18103473757e-06,9.48430429974e-07,9.26701032661e-07,1.00815449633e-06,1.32218813786e-06,1.06237417633e-06,1.01457676647e-06,7.69417969141e-07,1.16604005892e-06,1.03910308598e-06,1.19950045977e-06,7.63249297446e-07,1.10365965553e-06,9.71246787266e-07,1.07994657936e-06,1.09810664319e-06,8.57117153846e-07,pol2,0,1,90,Peak,31
3,9.95101531522e-07,1.40198165184e-06,1.10606527238e-06,1.28657511438e-06,1.04329151286e-06,1.0089046563e-06,1.08559245165e-06,1.42891837162e-06,1.15819355494e-06,1.09975785888e-06,8.53059690027e-07,1.26189877484e-06,1.12284054444e-06,1.28711060071e-06,8.23595922681e-07,1.1829179405e-06,1.06007958192e-06,1.16695298706e-06,1.20427440986e-06,9.58442666893e-07,pol2,0,1,95,Peak,31
4,1.11467692659e-06,1.55347181214e-06,1.25174589249e-06,1.45020224311e-06,1.1751428868e-06,1.16900284265e-06,1.18136713036e-06,1.58467845163e-06,1.30859952332e-06,1.20327974506e-06,9.7493442274e-07,1.37951518999e-06,1.24458192635e-06,1.4243447641e-06,8.91485876071e-07,1.27858269045e-06,1.19463410092e-06,1.31156528558e-06,1.36310609243e-06,1.09117401183e-06,pol2,0,1,99,Peak,31
0,-2.33559491152e-06,-2.13945103486e-06,-2.83249588576e-06,-5.97046927196e-06,-2.40828710948e-06,-3.00590582112e-06,-1.52765083934e-06,-2.22974382001e-06,-2.43266850841e-06,-2.33145156019e-06,-1.85295395312e-06,-2.18301763994e-06,-2.32890087267e-06,-1.11590051787e-06,-2.45351071514e-06,-1.20966697404e-06,-1.77060003443e-06,-2.01096576046e-06,-1.64577791123e-06,-2.9515558299e-06,pol2,0,1,1,Continuum,31
1,-1.1677351366e-06,-1.07368403891e-06,-1.15492441962e-06,-2.5628813947e-06,-1.03613252643e-06,-1.61321311286e-06,-8.25222238674e-07,-1.12931351212e-06,-7.91298255124e-07,-1.23826159114e-06,-8.79327843992e-07,-1.16468936055e-06,-1.29120858651e-06,-4.16298222856e-07,-1.24591897967e-06,-4.37849409035e-07,-5.72152473977e-07,-8.85255767612e-07,-7.00071656672e-07,-1.25027006847e-06,pol2,0,1,5,Continuum,31
2,3.1968636621e-07,3.81539763902e-07,4.18284559535e-07,4.05953935235e-07,3.37348835373e-07,3.41063213906e-07,3.27050602207e-07,3.74640141521e-07,3.88832876323e-07,3.54144733216e-07,3.45619972808e-07,3.34777006938e-07,3.20935103148e-07,3.1628377849e-07,2.56599944695e-07,3.40405118579e-07,3.93498505614e-07,3.88613366331e-07,3.28661327591e-07,3.43582267623e-07,pol2,0,1,90,Continuum,31
3,4.16857471801e-07,5.07091459127e-07,5.24362870762e-07,5.59792377033e-07,4.38537828025e-07,4.52117117303e-07,4.10776955367e-07,4.86423747488e-07,5.01556014719e-07,4.43957257213e-07,4.32195940876e-07,4.49785467431e-07,4.12520237939e-07,4.00527022389e-07,3.50884660056e-07,4.17803157023e-07,4.87539612025e-07,5.01084539131e-07,4.2765733864e-07,4.59019329241e-07,pol2,0,1,95,Continuum,31
4,6.0340317549e-07,7.55634505339e-07,7.38941833339e-07,1.43502119387e-06,6.6232117716e-07,6.91310140002e-07,5.59369043263e-07,7.12408424951e-07,6.98374192871e-07,6.26710606604e-07,6.16739451757e-07,7.87066171435e-07,5.79847096928e-07,5.48616225345e-07,5.53635125203e-07,5.67449663822e-07,6.53136519432e-07,7.18290332165e-07,6.04875761701e-07,6.9091955969e-07,pol2,0,1,99,Continuum,31
