,1106,1136,1144,1170,1172,1174,1176,1204,1232,1236,1296,1298,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,408.482877692,342.570736418,402.105818224,322.036899722,316.261379362,422.34710521,303.10405696,296.932823874,359.519092234,389.32417699,443.069179282,331.070999451,363.391910995,374.436837607,bcMax,4,2,1,Peak,3
1,448.284884412,364.09202504,428.39027003,346.113030946,335.770468946,452.656831313,323.662909531,318.468850716,389.27533169,422.454824343,484.297895111,351.833704909,391.419276464,404.310792704,bcMax,4,2,5,Peak,3
2,608.277739593,535.21251506,565.667070529,436.659313016,438.039170135,618.080833627,432.78607406,409.901841001,520.956352396,585.342742227,724.502837573,454.879822139,520.879012202,563.587223397,bcMax,4,2,90,Peak,3
3,635.466434324,632.425750494,733.375289709,464.69945198,460.71078582,646.059042337,456.086106974,421.849389461,545.592199998,604.699974388,773.096172497,476.026232625,562.994206875,585.967024809,bcMax,4,2,95,Peak,3
4,707.166105584,789.531157436,976.033836661,537.09475124,532.83280963,740.34333104,512.401238428,464.350700384,595.105423117,654.050280558,962.274825512,566.879056712,609.459327759,631.701894209,bcMax,4,2,99,Peak,3
5,537.0,427.0,466.0,387.0,385.0,513.0,371.0,366.0,464.0,548.0,603.0,406.0,454.0,482.0,bcMax,4,2,Mode,Peak,3
6,538.966038965,428.164557582,480.294653292,386.554764363,393.905194054,531.122714993,380.748403665,368.334934398,460.332307781,522.611534128,591.042508437,404.091234929,457.840936841,487.838767669,bcMax,4,2,Median,Peak,3
0,286.29883716,262.460451447,274.747960697,243.370782116,243.715876822,313.425146925,244.13392634,235.404193493,274.46995614,280.151713768,366.572673403,276.960048953,255.096101848,267.523648486,bcMax,4,2,1,Continuum,3
1,300.631016003,270.150842739,284.413833983,249.540800701,250.043767672,333.268760298,251.280770731,242.706756161,285.844289839,292.724874918,391.618135483,290.138415376,262.13400361,276.395391561,bcMax,4,2,5,Continuum,3
2,407.644618027,445.912053003,417.165349012,331.309449057,312.069628479,468.507299262,324.535925734,294.255948542,400.358146207,381.131033657,577.084100368,368.54445221,376.970262048,374.822840317,bcMax,4,2,90,Continuum,3
3,436.576509717,565.20254117,667.706841163,363.749752955,355.42507866,496.849155753,354.910014394,317.371146909,420.978712461,401.871376408,638.564232499,389.273288519,405.923214342,397.910329184,bcMax,4,2,95,Continuum,3
4,506.020693602,717.490173365,914.95782326,432.70130085,426.065642357,558.278080628,412.116115328,354.43021494,455.872232937,490.743207783,917.356930005,517.491453078,439.858443626,437.69346053,bcMax,4,2,99,Continuum,3
5,333.0,286.0,306.0,260.0,260.0,369.0,272.0,265.0,317.0,316.0,465.0,323.0,276.0,298.0,bcMax,4,2,Mode,Continuum,3
6,344.512656537,296.127372827,315.244028844,270.217020807,271.662901784,392.175915719,276.677552364,263.768122979,320.714940362,329.832174394,472.834107227,326.818082028,284.016034105,306.225269455,bcMax,4,2,Median,Continuum,3
0,0.37360494501,0.327697860389,0.262979396198,0.474059134151,0.494731622987,0.364082182379,0.507597714588,0.582521955564,0.449710328517,0.409677616228,0.268444800432,0.479654126771,0.432938668437,0.416662743871,noiseWeight,4,2,1,Peak,3
1,0.415585103448,0.408990401926,0.350181126081,0.547647620265,0.572584912568,0.41741891697,0.571318844127,0.640720667958,0.490313280352,0.443451156741,0.333942138827,0.571178692764,0.468946600612,0.44901976388,noiseWeight,4,2,5,Peak,3
2,0.560460867076,0.681302718134,0.579917410432,0.712131758885,0.756741928786,0.568146326225,0.775582442615,0.817614122737,0.657899376906,0.60305206968,0.507648524163,0.750004679118,0.643182351366,0.620392129109,noiseWeight,4,2,90,Peak,3
3,0.590112280099,0.710563313637,0.599729163177,0.735846540317,0.786243490365,0.596152045273,0.805698685961,0.849087373782,0.687849380358,0.634815944973,0.533883771282,0.773058900356,0.674511621301,0.651836076242,noiseWeight,4,2,95,Peak,3
4,0.648218645619,0.755693062748,0.639802935774,0.791004875958,0.83375431875,0.640205985348,0.859879445267,0.911114948834,0.744583939743,0.688909433828,0.586263486118,0.821659691072,0.726391470948,0.702968157243,noiseWeight,4,2,99,Peak,3
5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,noiseWeight,4,2,Mode,Peak,3
6,0.490525292679,0.604249500224,0.534958187048,0.658335385019,0.669645240227,0.507560394292,0.684321415934,0.734125335812,0.581253810848,0.513039022014,0.43699868518,0.672991118036,0.576374521501,0.539555168029,noiseWeight,4,2,Median,Peak,3
0,0.498755827142,0.345575480854,0.272065966472,0.568500298473,0.605042662673,0.467772205793,0.626769527952,0.750863042087,0.560224999273,0.543165254776,0.273505193507,0.515709539982,0.575454065843,0.582976585396,noiseWeight,4,2,1,Continuum,3
1,0.582333782126,0.445060862269,0.38180944962,0.685098422231,0.72887409933,0.52598478868,0.724486113163,0.838299606423,0.620395117552,0.658411141475,0.395306561585,0.681060592955,0.630199323271,0.643668916096,noiseWeight,4,2,5,Continuum,3
2,0.833664632471,0.91967206013,0.889196736101,0.993382803868,1.02398126568,0.7688931523,1.01416880041,1.0948674974,0.913581764343,0.890443852134,0.629964682315,0.901418374407,0.968808878475,0.909574644155,noiseWeight,4,2,90,Continuum,3
3,0.85552922248,0.937746842755,0.920934889968,1.0121548374,1.04055929086,0.797551654645,1.03761713132,1.12005083966,0.945134387343,0.912746891432,0.656577673889,0.924579102187,0.987902131837,0.92863773863,noiseWeight,4,2,95,Continuum,3
4,0.902691068507,0.977600256903,1.01706623157,1.05666130187,1.06876941104,0.853904190504,1.11544369265,1.19660820014,1.0374278479,0.957109664145,0.72305493915,0.971645009712,1.04078875398,0.964157008677,noiseWeight,4,2,99,Continuum,3
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,4,2,Mode,Continuum,3
6,0.74096361662,0.844597010328,0.799170562734,0.923341358596,0.955953997197,0.669919174982,0.931944645155,1.01196067005,0.819663763688,0.805864177403,0.535640703268,0.817058065544,0.901463473464,0.836505323896,noiseWeight,4,2,Median,Continuum,3
0,0.879573449467,0.844443659382,0.851436306809,0.872075759665,0.866518252304,0.876559620815,0.861535093546,0.862708172996,0.872084755997,0.883518036438,0.865742579783,0.867097419898,0.879905982501,0.870850304833,bcTime,4,2,1,Peak,3
1,0.889867313913,0.853022863439,0.863186872963,0.881019046227,0.875433995173,0.885470524023,0.873174615968,0.874875349375,0.880768448647,0.89059095739,0.883615231485,0.874130609042,0.887217514999,0.882996861021,bcTime,4,2,5,Peak,3
2,0.898549964793,0.861173107293,0.875024480347,0.887748647997,0.887351077227,0.894203209166,0.887194949794,0.885808174527,0.889540750406,0.898022000923,0.899521891501,0.881603372507,0.894529047496,0.899341124127,bcTime,4,2,90,Peak,3
3,0.898639476658,0.861173107293,0.875111521578,0.88845702713,0.887615901272,0.89482697239,0.887547662594,0.886249014251,0.889629359515,0.898469654148,0.900326160827,0.88248252115,0.894618212527,0.899877001606,bcTime,4,2,95,Peak,3
4,0.900608737682,0.862288403821,0.876765304963,0.889873785397,0.888498648091,0.898480442705,0.888429444596,0.887395197533,0.890161014167,0.899544021887,0.901130430154,0.884064988707,0.898363143806,0.900323566172,bcTime,4,2,99,Peak,3
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,4,2,Mode,Peak,3
6,0.897536945813,0.859976662777,0.87380952381,0.886737657309,0.886210221794,0.893762183236,0.885796545106,0.884652049571,0.888565891473,0.897159647405,0.897260273973,0.879885605338,0.8935546875,0.897660818713,bcTime,4,2,Median,Peak,3
0,0.639456555925,0.543486649138,0.482550677558,0.620354719574,0.733020240084,0.656547752182,0.614083576747,0.604733815082,0.571374582802,0.69154434771,0.565051154501,0.706153437323,0.61970040459,0.734130738675,bcTime,4,2,1,Continuum,3
1,0.717062694194,0.650675922489,0.559223529131,0.690935441063,0.802003062712,0.744204261987,0.730697188937,0.686676803903,0.642373651444,0.73997297071,0.713687078788,0.781428264175,0.702781748011,0.810207064696,bcTime,4,2,5,Continuum,3
2,0.89696032748,0.857453493221,0.871444946161,0.887379719795,0.887036344072,0.893971670168,0.886072044217,0.884840114468,0.888419421617,0.897365995458,0.898388466104,0.880700099586,0.894400885892,0.898200000241,bcTime,4,2,90,Continuum,3
3,0.897951044139,0.858849590848,0.872715354033,0.888351014127,0.888231590998,0.895223906022,0.887391575897,0.886453165429,0.889447247778,0.898284469342,0.899708940723,0.882215700127,0.895710542537,0.898977170427,bcTime,4,2,95,Continuum,3
4,0.899932477456,0.861641786102,0.874658330778,0.891022073542,0.890878209193,0.897978824902,0.890113109986,0.889437309707,0.891898217854,0.900371909989,0.902927597606,0.885246901208,0.898248002286,0.900790567529,bcTime,4,2,99,Continuum,3
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,4,2,Mode,Continuum,3
6,0.888192267503,0.846057571965,0.849576186638,0.878787878788,0.882468168462,0.88899900892,0.880350194553,0.876869421557,0.879253567508,0.891282051282,0.891553701773,0.873908826382,0.887744593203,0.894308943089,bcTime,4,2,Median,Continuum,3
0,-8.96258700608e-07,-4.76855701927e-07,-7.50970484488e-07,-1.06572910475e-06,-9.0838695496e-07,-4.97529746638e-07,-7.81693500094e-07,-1.36055497812e-06,-1.53712899935e-06,-7.42040027462e-07,-1.39566299424e-06,-8.44560784393e-07,-9.01878946698e-07,-7.55125515553e-07,pol2,4,2,1,Peak,3
1,-2.61803986014e-07,-2.97995999088e-07,1.8492947462e-07,-5.70399503067e-07,-5.76632137301e-07,-1.65897102933e-07,-4.40216058647e-07,-3.45916916964e-07,-6.24376581649e-07,5.0464095225e-07,-2.52637726395e-07,-6.27112307512e-07,-1.86562855632e-07,-1.31552940282e-07,pol2,4,2,5,Peak,3
2,7.28031423858e-07,2.20446120391e-07,6.68427852877e-07,2.20563944713e-07,3.96793279205e-07,6.31657587241e-07,4.52039494493e-07,5.12874162882e-07,1.63818597004e-07,1.20415558114e-06,9.16876506792e-07,1.9593719195e-07,7.52698143524e-07,6.48488821186e-07,pol2,4,2,90,Peak,3
3,8.40104753224e-07,2.86453446977e-07,7.16209476797e-07,3.17958093939e-07,5.23724406328e-07,7.28256503688e-07,5.88518245511e-07,6.24727767751e-07,2.64135330801e-07,1.27954944731e-06,9.84193193635e-07,3.06316844602e-07,8.49690155872e-07,7.25758878206e-07,pol2,4,2,95,Peak,3
4,1.00286991843e-06,4.11998180083e-07,7.96585916601e-07,5.07137869954e-07,7.75535114725e-07,8.96254619249e-07,8.3647438658e-07,7.76062607884e-07,4.67095454033e-07,1.39902873068e-06,1.10705369384e-06,5.46492194551e-07,1.01491934968e-06,8.26445727818e-07,pol2,4,2,99,Peak,3
5,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pol2,4,2,Mode,Peak,3
6,3.22961216021e-07,4.75745014573e-11,4.76480328425e-07,-1.28765843859e-07,-6.30012024388e-09,2.94813838828e-07,2.97262314016e-08,1.54056768373e-07,-1.8247185468e-07,9.20614125846e-07,5.97787299475e-07,-1.69035115423e-07,3.64377053194e-07,3.57641467884e-07,pol2,4,2,Median,Peak,3
