,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
3,-3.11059206405e-12,-5.52808975786e-12,-2.53034005098e-12,-1.63317065344e-12,-4.7585992666e-12,3.24046100274e-12,-3.51447096099e-12,-2.47181478957e-12,9.771495444e-12,-2.09440344014e-12,4.33542374808e-12,-1.80137214601e-12,-4.54121773028e-12,1.52788509546e-11,-5.623464809e-12,0,-3.63477446862e-12,-4.07461363552e-12,-1.74888024689e-12,-3.98746808573e-12,-2.23660974403e-12,pol3,5,1,95,Peak,11
4,1.78994866564e-12,1.41590443921e-13,1.71232610141e-12,1.05541394423e-12,-3.16676768705e-13,1.0817735495e-11,5.99932937165e-13,7.39820226925e-13,1.78476981759e-11,1.00545790573e-12,1.14794214336e-11,2.17188934883e-12,1.45865266308e-12,2.02611424222e-11,-1.10446821547e-12,0,7.78330679857e-13,2.29458106742e-12,1.62273030134e-12,2.40764946745e-13,1.56026472272e-12,pol3,5,1,99,Peak,11
0,-1.48050462516e-11,-1.32644943309e-11,-1.27057274216e-11,-1.33870110726e-11,-1.2363936303e-11,-1.84595047082e-11,-2.15561206585e-11,-1.40055612792e-11,-6.4682016553e-11,-1.37006666214e-11,-1.27875408231e-11,-1.2722451777e-11,-1.10153060166e-11,-1.16953504184e-11,-1.32400663514e-11,0,-1.32567066954e-11,-1.50984038171e-11,-1.57068808414e-11,-1.41094494272e-11,-1.85425765313e-11,pol3,5,1,1,Continuum,11
1,-1.05752598751e-11,-8.65992016943e-12,-9.16112005666e-12,-9.49099788501e-12,-8.49522057016e-12,-1.30617111604e-11,-1.2005955578e-11,-9.64552596697e-12,-1.36465467031e-11,-9.82115003318e-12,-8.46521951759e-12,-8.94591580011e-12,-7.00994627144e-12,-7.94329630664e-12,-9.51170867781e-12,0,-8.86580572427e-12,-1.06820042418e-11,-1.05721075775e-11,-9.07310506946e-12,-1.19085815559e-11,pol3,5,1,5,Continuum,11
2,1.14259423967e-11,1.64763269315e-11,8.09047270377e-12,8.76557136404e-12,1.27037105666e-11,1.74855917903e-11,2.32407759463e-11,1.82262700169e-11,3.38792386859e-11,8.24185892306e-12,1.80151351076e-11,6.6700491097e-12,1.77476570377e-11,8.66969997242e-12,1.11587448951e-11,0,1.1428099457e-11,1.51649947571e-11,1.31577900288e-11,1.8535904163e-11,1.35210353755e-11,pol3,5,1,90,Continuum,11
3,1.71293424872e-11,2.48570964014e-11,1.17015336203e-11,1.29451764995e-11,1.97598267011e-11,2.64038910728e-11,3.61369842666e-11,2.78922160708e-11,4.90456516299e-11,1.13000992129e-11,2.71186908449e-11,9.91973220226e-12,2.72195416274e-11,1.19736584498e-11,1.72463531208e-11,0,1.78639240387e-11,2.34938818968e-11,2.44403906748e-11,2.78726481925e-11,2.23510249046e-11,pol3,5,1,95,Continuum,11
4,3.53991621189e-11,4.64777844672e-11,2.62711613458e-11,2.7586623633e-11,3.7747570866e-11,4.88982440351e-11,6.54787627469e-11,4.96068134267e-11,8.71578013985e-11,2.16129468046e-11,5.21625406609e-11,2.28162732802e-11,4.66668065162e-11,2.38989769325e-11,3.57365560126e-11,0,3.72979044128e-11,4.42259691426e-11,5.41685796083e-11,5.47678797474e-11,5.26536583218e-11,pol3,5,1,99,Continuum,11
0,85.7794914871,66.5773860323,63.7387590817,67.1707179987,63.4459398745,91.2452169823,52.4629367445,68.3287000821,84.4965267224,63.5569183048,66.49991067,64.0739411649,68.7456909785,111.653367519,66.9130137395,0,65.5970010807,61.6676033054,75.5188538316,71.3827023103,78.7517550411,fitSlo,5,1,1,Peak,11
1,94.0767023393,73.2913727161,71.2767083903,71.6510508675,72.5081709928,94.352441035,67.8705657588,77.7855116747,101.367043069,71.0957607074,71.1596627209,71.8997970493,74.5289542649,121.265926014,77.6986208044,0,75.4756879183,85.7141681767,76.2220936418,77.5776571509,79.6290794686,fitSlo,5,1,5,Peak,11
2,145.887209197,107.539058735,121.079323161,106.687898553,109.911658565,120.33361446,95.7549141732,109.752814676,122.411320147,122.414673681,113.777442841,137.879857868,108.155125267,146.879877615,123.264780989,0,115.593359818,111.365354745,97.8046224628,103.097172614,101.750188249,fitSlo,5,1,90,Peak,11
