,1106,1110,1120,1124,1128,1170,1172,1174,1176,1204,1208,1298,1302,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,-1.75299935155e-06,0,-1.12467139965e-07,-9.85452236929e-07,-1.12075147815e-06,-9.64340609704e-07,-9.4881084446e-07,0,-1.54461623443e-06,-1.45539532614e-06,-1.25076235156e-07,-1.18354973635e-06,0,-1.75646542642e-06,-4.48873109273e-06,pol2,5,2,1,Peak,8
1,-9.43999155539e-07,0,1.96014970542e-08,-1.74799589571e-07,-1.93390922343e-07,2.40575397342e-07,2.33470879398e-07,0,4.08832690884e-07,3.4988984116e-07,-2.43828558147e-08,-5.20043107003e-07,0,-6.208585047e-07,-7.58596073002e-07,pol2,5,2,5,Peak,8
2,8.1197940402e-07,0,9.47317941171e-07,7.74360727794e-07,7.66483601832e-07,1.01117192867e-06,1.15671478859e-06,0,1.23926426252e-06,1.30838096156e-06,8.82803924603e-07,1.95363541584e-06,0,2.00359546967e-06,1.76057910068e-06,pol2,5,2,90,Peak,8
3,9.88756560553e-07,0,1.0401502603e-06,8.76327591222e-07,8.58714460295e-07,1.09393600766e-06,1.23118922788e-06,0,1.32615748781e-06,1.38551705716e-06,9.7498000682e-07,2.25711525085e-06,0,2.31521462023e-06,2.03358298353e-06,pol2,5,2,95,Peak,8
4,1.36483551465e-06,0,1.14370177968e-06,9.97658508841e-07,9.94340455817e-07,1.25608603996e-06,1.34503604851e-06,0,1.45475170292e-06,1.49040211183e-06,1.08387522784e-06,2.75415967743e-06,0,2.86597500722e-06,2.38318631648e-06,pol2,5,2,99,Peak,8
0,-4.05579050183e-06,0,-2.58679266356e-06,-2.73401169605e-06,-4.5475207939e-06,-2.78014588972e-06,-1.60848184206e-06,0,-3.2086661211e-06,-3.58992455749e-06,-2.45879796923e-06,-1.30492223836e-05,0,-5.83455854777e-06,-1.35308843241e-05,pol2,5,2,1,Continuum,8
1,-1.88011258555e-06,0,-1.35323367871e-06,-1.5366276039e-06,-2.52504026286e-06,-1.55078684527e-06,-6.37636507118e-07,0,-1.25529033627e-06,-1.52774417794e-06,-1.20924122504e-06,-2.21343586594e-06,0,-2.53591865326e-06,-2.29629658327e-06,pol2,5,2,5,Continuum,8
2,5.68998135757e-07,0,3.42718853747e-07,3.25003049834e-07,4.23881294584e-07,3.43530528921e-07,3.45140428627e-07,0,3.46189789798e-07,3.41920082498e-07,3.55494347232e-07,8.03102241791e-07,0,1.10397645995e-06,7.86080397535e-07,pol2,5,2,90,Continuum,8
3,7.73634801137e-07,0,4.66424140509e-07,4.21894387547e-07,5.7984465286e-07,4.57954002163e-07,4.34530691978e-07,0,4.54504939952e-07,4.4637790268e-07,4.84629412613e-07,1.0142193099e-06,0,1.44258255557e-06,1.01898875788e-06,pol2,5,2,95,Continuum,8
4,1.15599482727e-06,0,7.25517384539e-07,7.13156333561e-07,1.23974710171e-06,6.92588437284e-07,6.43430448827e-07,0,6.6198039851e-07,7.04373269706e-07,7.28900612485e-07,1.2720257296e-06,0,2.15327002937e-06,1.33489946927e-06,pol2,5,2,99,Continuum,8
0,-2.86168170231e-11,0,-2.55121538636e-11,-2.15331716902e-11,-2.16454011543e-11,-2.62245027517e-11,-2.87683725488e-11,0,-3.0120519119e-11,-3.13562852341e-11,-2.38868173809e-11,-5.89598070429e-11,0,-6.1646519032e-11,-5.37895237819e-11,pol3,5,2,1,Peak,8
1,-1.93776307925e-11,0,-2.1487552871e-11,-1.74884363339e-11,-1.70811704134e-11,-2.16770494312e-11,-2.51660335741e-11,0,-2.63675960992e-11,-2.79203997805e-11,-1.98852006694e-11,-4.68605082615e-11,0,-4.82241667293e-11,-4.19204195805e-11,pol3,5,2,5,Peak,8
2,1.64495814391e-11,0,-1.70647083351e-12,2.20863285575e-12,3.27191777892e-12,-4.92972287299e-12,-7.35898013909e-12,0,-9.74724729463e-12,-9.34834829428e-12,-1.14280418133e-13,8.03302868917e-12,0,8.06706675891e-12,1.06887784873e-11,pol3,5,2,90,Peak,8
3,2.05765320496e-11,0,9.89675513903e-13,4.89308105513e-12,5.51881531953e-12,-2.99294774475e-12,-4.52648276672e-12,0,-7.06919945052e-12,-6.68800725124e-12,2.47258177256e-12,1.41653989011e-11,0,1.45869323016e-11,1.6762690305e-11,pol3,5,2,95,Peak,8
4,3.16615996256e-11,0,5.25810678949e-12,1.054403904e-11,1.15650123379e-11,1.95132866097e-12,2.43944683768e-12,0,-4.96064666217e-14,-8.30409803971e-13,6.71273267654e-12,2.73419065986e-11,0,2.90614929518e-11,3.731553375e-11,pol3,5,2,99,Peak,8
0,-2.3807820308e-11,0,-1.58613145433e-11,-1.51742915608e-11,-3.17668520993e-11,-1.45987685613e-11,-1.38714371073e-11,0,-1.47882250611e-11,-1.52920287573e-11,-1.57034408603e-11,-2.03303608952e-10,0,-5.2792001363e-11,-1.89077241776e-10,pol3,5,2,1,Continuum,8
1,-1.59904933175e-11,0,-1.00584961388e-11,-9.14708328655e-12,-1.27757680021e-11,-9.6893169783e-12,-9.20845099908e-12,0,-9.89469370857e-12,-9.50480280988e-12,-1.04432837448e-11,-3.4456234068e-11,0,-3.18298744076e-11,-3.22135110822e-11,pol3,5,2,5,Continuum,8
2,2.55924577173e-11,0,1.75409784613e-11,1.97227771217e-11,3.29033387118e-11,2.08643139808e-11,8.61724501796e-12,0,1.51760169819e-11,1.79962830947e-11,1.57356050262e-11,2.30975081661e-11,0,3.23087767114e-11,2.67146940702e-11,pol3,5,2,90,Continuum,8
3,3.70506441789e-11,0,2.69547355284e-11,2.97798048816e-11,4.64823434461e-11,3.07002048686e-11,1.34302102115e-11,0,2.44291256882e-11,2.86814783195e-11,2.39770687865e-11,2.87729809584e-11,0,4.7428600036e-11,3.27422124667e-11,pol3,5,2,95,Continuum,8
4,7.67589670446e-11,0,5.03658765997e-11,5.10408988754e-11,7.6767573121e-11,5.26410609053e-11,3.22934888099e-11,0,5.49817640983e-11,6.09299715257e-11,4.7649841854e-11,3.66848700976e-11,0,9.41767743758e-11,4.15695830488e-11,pol3,5,2,99,Continuum,8
0,87.2846818792,0,65.3148425882,62.2082383754,62.5547130639,56.9689985705,60.6787289481,0,58.1799345407,72.093418352,64.1485864071,67.8622100771,0,57.1599468156,63.9182492731,fitSlo,5,2,1,Peak,8
1,88.0085382484,0,67.0073104631,77.9912442546,66.8784869337,62.8870478995,66.5683371927,0,65.0492354057,77.9270113751,71.341438271,76.6160799623,0,72.8679094862,69.4681537977,fitSlo,5,2,5,Peak,8
2,110.60399322,0,91.7491336519,104.805970506,97.3933967732,88.1350041894,110.695949154,0,120.627013045,118.148733167,93.474024949,109.738255931,0,95.1037295408,125.577078662,fitSlo,5,2,90,Peak,8
3,126.929738409,0,111.123683027,130.89981206,120.523102049,107.142596815,140.87741329,0,160.339394736,149.650135491,111.661528201,126.203615084,0,115.137498754,157.034669363,fitSlo,5,2,95,Peak,8
4,172.209738367,0,162.842135052,203.315956682,204.324797442,172.823095872,210.285890829,0,264.943445986,245.705957929,177.581675229,167.31383028,0,181.042433722,249.529012242,fitSlo,5,2,99,Peak,8
0,68.7599662485,0,50.6623385131,51.0375559786,52.0726942707,48.1098004253,51.8162799163,0,51.3812135491,59.6910762331,52.8494657933,7.97101494627,0,48.4806308437,2.10348875915,fitSlo,5,2,1,Continuum,8
1,80.0446143597,0,60.2672917837,69.5677317174,61.3549980536,57.0524088567,60.0272314537,0,59.8652834727,69.7851701221,64.5110273699,64.1186880582,0,62.6483196371,46.8938817822,fitSlo,5,2,5,Continuum,8
2,465.083833378,0,548.020465244,698.086734713,1159.84689296,714.390727354,218.803574324,0,530.972188949,754.913857226,484.505283234,411.105664908,0,653.122892165,600.028253453,fitSlo,5,2,90,Continuum,8
3,679.272601808,0,834.699453023,884.114071272,1394.5688525,906.317215904,351.211032829,0,763.94667725,1012.15453923,699.888094184,639.646444911,0,912.247028831,996.868437421,fitSlo,5,2,95,Continuum,8
4,1062.81891018,0,1302.40294261,1269.28498324,1880.77248676,1289.2646124,692.012441351,0,1506.35100051,1543.1419687,1141.51410167,1029.12507789,0,1435.41062277,5652.77582784,fitSlo,5,2,99,Continuum,8
0,1.64549850192,0,1.77874703718,1.68916818548,1.70574226647,1.73273535491,1.73777755061,0,1.75402096058,1.59982010958,1.7619249346,1.76564908597,0,1.81732379236,1.75348428775,riseNoise,5,2,1,Peak,8
1,1.80226542222,0,1.951411486,1.85078101598,1.89848223611,1.89330819208,1.88455957655,0,1.90673828066,1.78753683868,1.93124655785,1.91209994861,0,1.9692529084,1.91102960966,riseNoise,5,2,5,Peak,8
2,2.38023335169,0,2.86377146593,2.58356699419,2.69310765524,2.81169421535,2.66071782226,0,2.67032488108,2.39767109619,2.64880151714,2.64070515389,0,2.74312596437,2.74559401759,riseNoise,5,2,90,Peak,8
3,2.46808447697,0,3.00030284624,2.68848594966,2.80070047374,2.93275304714,2.76887299927,0,2.78869907177,2.46792764978,2.755779792,2.77985780078,0,2.92173159744,2.90038417488,riseNoise,5,2,95,Peak,8
4,2.68253810108,0,3.28059222056,2.87644614118,3.01856983183,3.10188305746,2.97262962738,0,3.02739599949,2.64312993027,2.98574669579,3.11654882052,0,3.28377004287,3.23050298931,riseNoise,5,2,99,Peak,8
0,1.00532260671,0,1.02685521625,0.990455863209,0.996730921625,1.00215805476,0.995085232753,0,1.0075239204,0.953820123861,1.00003274774,1.09954648797,0,1.07822964933,1.05121231913,riseNoise,5,2,1,Continuum,8
1,1.06130094234,0,1.10366935616,1.05706421329,1.05330899736,1.0590255335,1.0533278883,0,1.06653369301,1.00665803946,1.07489662114,1.18259775132,0,1.14999516186,1.12405087295,riseNoise,5,2,5,Continuum,8
2,1.47325801422,0,1.64494802367,1.5093653125,1.52664646148,1.47787638648,1.4369581651,0,1.48888298097,1.31175439083,1.52562200125,2.00356426261,0,1.79429391354,3.52550632348,riseNoise,5,2,90,Continuum,8
3,1.55722551765,0,1.75069797552,1.5986370846,1.61464135569,1.57233654948,1.51408314275,0,1.59762164646,1.35801800356,1.62039349641,2.39571896358,0,2.17963582812,4.53004498747,riseNoise,5,2,95,Continuum,8
4,1.76361166283,0,2.10359555814,1.79832394325,1.80731264064,1.75988986877,1.6850878346,0,1.85457734642,1.45310190237,1.85606048365,4.4511900009,0,6.92393719849,5.5903209796,riseNoise,5,2,99,Continuum,8
