,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,-8.56109916906e-07,-9.77499113331e-07,-1.00452631214e-06,-5.63119334386e-06,-4.14232718817e-08,-3.47015407749e-07,-5.43718646116e-07,-1.19027420538e-07,-1.76887383676e-06,-1.94303163474e-07,-4.17466793182e-07,-2.63158630058e-07,-4.57874093162e-08,-1.11331902998e-06,-1.0238164921e-06,-1.26786164664e-07,pol2,1,1,1,Peak,1
1,2.0296361438e-07,-6.80170772172e-07,3.40208357255e-07,-1.06525887467e-06,2.90133510936e-07,8.22341602716e-08,1.32122910287e-07,3.14315458625e-07,-2.99513909752e-07,1.46697341402e-07,-7.45559515463e-08,6.20646612015e-08,2.19370625907e-09,3.15037152081e-07,2.55071133405e-07,1.27110925197e-07,pol2,1,1,5,Peak,1
2,1.00101522148e-06,1.74320208676e-07,1.16625324426e-06,6.61935604413e-07,1.0734548849e-06,9.97337634953e-07,9.67118100782e-07,1.05460954386e-06,5.77613922573e-07,9.60169266529e-07,7.34086372157e-07,9.69107590475e-07,9.02953938821e-07,1.0851772681e-06,1.01030280274e-06,9.49083872685e-07,pol2,1,1,90,Peak,1
3,1.08041777768e-06,2.90767491927e-07,1.24441566648e-06,7.41839200202e-07,1.1617222305e-06,1.08057930942e-06,1.04416866967e-06,1.13561733434e-06,6.65491623744e-07,1.04465137359e-06,8.07230449986e-07,1.04397334812e-06,9.78268558761e-07,1.15115616442e-06,1.08409068747e-06,1.04239002334e-06,pol2,1,1,95,Peak,1
4,1.20052812326e-06,5.15032014401e-07,1.37031908598e-06,8.55207575156e-07,1.3207676709e-06,1.23970964379e-06,1.16886708579e-06,1.25176103393e-06,7.99899743094e-07,1.22115613943e-06,8.95343293367e-07,1.13534177276e-06,1.07855695607e-06,1.27127583639e-06,1.17630634779e-06,1.20648251787e-06,pol2,1,1,99,Peak,1
0,-2.50120858886e-06,-1.30692565033e-06,-1.47404775816e-06,-2.5652897323e-06,-1.70891759687e-06,-2.17306376914e-06,-1.46582843435e-06,-1.86053637717e-06,-2.61136730338e-06,-1.19673893097e-06,-2.62287508188e-06,-1.07090051182e-06,-1.85186797075e-06,-2.48378556252e-06,-2.31667998667e-06,-2.46048685486e-06,pol2,1,1,1,Continuum,1
1,-1.27358172047e-06,-6.52908495398e-07,-7.6954097689e-07,-1.31289679415e-06,-8.42833764544e-07,-1.17327003794e-06,-6.41368241499e-07,-9.38701359307e-07,-1.37319894933e-06,-5.18266621535e-07,-1.25154705016e-06,-4.56261892801e-07,-8.23612032816e-07,-1.32055153805e-06,-1.34806896177e-06,-1.23981045318e-06,pol2,1,1,5,Continuum,1
2,3.23811065694e-07,3.31996613001e-07,3.37974917558e-07,2.84534807562e-07,3.38043386399e-07,3.77236314356e-07,3.49463424233e-07,3.21557439334e-07,3.26698032454e-07,3.52307224013e-07,2.9874391126e-07,3.25906176394e-07,3.29108914916e-07,3.02063274183e-07,3.18550909191e-07,3.101610346e-07,pol2,1,1,90,Continuum,1
3,4.04238671518e-07,4.33447185533e-07,4.36305092284e-07,3.97428587233e-07,4.36181678235e-07,4.9709140662e-07,4.37840158269e-07,4.09012545807e-07,4.44660283799e-07,4.74466852601e-07,3.87438725874e-07,4.11802716333e-07,4.5756417164e-07,4.02126416073e-07,4.28303405803e-07,4.08043605048e-07,pol2,1,1,95,Continuum,1
4,5.71025419095e-07,6.77619675336e-07,5.94284086237e-07,6.05477160304e-07,5.95608520788e-07,7.25386820455e-07,6.21925910442e-07,6.04372058141e-07,6.44129662686e-07,6.481877509e-07,5.4457211141e-07,5.90563191098e-07,6.62294533013e-07,5.92329082475e-07,6.77615090638e-07,5.88939260896e-07,pol2,1,1,99,Continuum,1
0,-2.4655065941e-11,-9.92456921788e-12,-2.80945946727e-11,-1.89060385113e-11,-2.70293775833e-11,-2.60921182221e-11,-2.40335433371e-11,-2.53160154959e-11,-1.75226177601e-11,-2.54630075946e-11,-1.92759096202e-11,-2.44578222964e-11,-2.49515465646e-11,-2.56155469939e-11,-2.4102319172e-11,-2.46024873903e-11,pol3,1,1,1,Peak,1
1,-2.11243403801e-11,-4.29022748709e-12,-2.43120858842e-11,-1.45570853479e-11,-2.28451098284e-11,-2.09801977083e-11,-2.05523575873e-11,-2.20590587482e-11,-1.33333682952e-11,-2.05643730176e-11,-1.59634163565e-11,-2.06759266176e-11,-2.07296090165e-11,-2.24627524414e-11,-2.13414676192e-11,-2.06293059135e-11,pol3,1,1,5,Peak,1
2,-5.25891490529e-12,1.40126881662e-11,-7.30385072385e-12,4.63275086309e-12,-6.4260613308e-12,-2.35448052916e-12,-3.87872112635e-12,-6.64725839335e-12,5.16808518366e-12,-4.10137616418e-12,2.73503637001e-13,-3.92496486143e-12,-2.4988884174e-12,-7.03341708257e-12,-6.19907738475e-12,-3.31537978913e-12,pol3,1,1,90,Peak,1
3,-3.36726285443e-12,1.63578462763e-11,-5.06012786618e-12,1.08936144364e-11,-4.0302916644e-12,3.93160050118e-13,-1.89444524896e-12,-4.45810755649e-12,7.41734664134e-12,-2.05533477037e-12,2.65807106177e-12,-1.36220759283e-12,1.3191803333e-14,-4.80200085241e-12,-3.93465217844e-12,-1.90159452958e-12,pol3,1,1,95,Peak,1
4,1.52980513234e-12,2.1658052662e-11,-2.56113253094e-13,7.82198676725e-11,-1.14071463808e-13,4.05579032158e-12,3.03674895917e-13,-1.18472949202e-13,1.43440495394e-11,1.35515495576e-12,8.70087620495e-12,3.16015425721e-12,4.72522456614e-12,8.6732700069e-13,1.62033090573e-12,-2.53002277631e-13,pol3,1,1,99,Peak,1
0,-1.19733679746e-11,-1.45425610707e-11,-1.22105038034e-11,-1.28641066358e-11,-1.27577948766e-11,-1.51852622068e-11,-1.32062959949e-11,-1.25835376881e-11,-1.39307126442e-11,-1.40955349114e-11,-1.15922809689e-11,-1.25964476148e-11,-1.41108741528e-11,-1.24676348676e-11,-1.43401530929e-11,-1.24763249273e-11,pol3,1,1,1,Continuum,1
1,-8.44287571779e-12,-9.27750412576e-12,-8.9775676221e-12,-8.42391198648e-12,-9.17290173347e-12,-1.04105309988e-11,-9.38654892909e-12,-8.64177904899e-12,-9.61074020104e-12,-1.02173935632e-11,-8.08365502719e-12,-8.69430803282e-12,-9.44264571024e-12,-8.35715752409e-12,-8.97463567977e-12,-8.68822655995e-12,pol3,1,1,5,Continuum,1
2,1.51709085572e-11,1.07269191314e-11,1.02202860303e-11,1.70676177397e-11,1.06971104578e-11,1.42258681202e-11,8.81633205195e-12,1.18191694387e-11,1.82494021631e-11,8.33069056778e-12,1.61052016206e-11,6.50636501268e-12,1.09500596341e-11,1.74522917837e-11,1.7700798076e-11,1.4741791577e-11,pol3,1,1,90,Continuum,1
3,2.49082017855e-11,1.3913884635e-11,1.55081416653e-11,2.57382340629e-11,1.70173885572e-11,2.33423676217e-11,1.33904104627e-11,1.90584565771e-11,2.75026627034e-11,1.1437618002e-11,2.49343826426e-11,9.82279466595e-12,1.65085881571e-11,2.5767598745e-11,2.62615349963e-11,2.34243843054e-11,pol3,1,1,95,Continuum,1
4,5.07093345701e-11,2.60570332123e-11,3.00468069638e-11,4.90374305347e-11,3.43263141446e-11,4.15996449189e-11,2.82393336785e-11,3.60226301305e-11,4.99388644471e-11,2.31045005445e-11,5.08815257901e-11,2.10301929982e-11,3.37361285921e-11,4.7279917297e-11,4.50482422837e-11,4.68214624566e-11,pol3,1,1,99,Continuum,1
0,68.216683727,110.215489428,67.3200813102,66.895460207,64.5527129483,57.7728471582,65.2979533088,62.8465798918,67.073270847,61.944991866,63.5332940009,63.7572306132,81.9631713849,66.2452749792,68.8778876249,61.9061717478,fitSlo,1,1,1,Peak,1
1,74.1787795168,118.145542424,77.4037979857,70.9520939367,74.4443449362,85.184193616,71.4548727256,70.9641962609,77.9498204075,71.0883740811,70.4038730545,70.6075448129,92.2939184676,73.1405905182,77.4912321954,76.5178042884,fitSlo,1,1,5,Peak,1
