,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,490.639989291,474.564988679,567.702919893,681.188074437,514.705920773,551.753325528,780.040301353,603.052029286,654.528782077,681.128736101,531.410644374,489.052748057,519.946057843,379.806774851,655.17058238,0,407.915628991,417.166297121,631.446896141,496.691007452,728.162958972,bcMax,5,1,1,Peak,6
1,521.087122037,512.426011596,616.225926507,743.528095807,556.625454535,590.666324104,862.397666917,656.425490333,725.138574984,740.155559629,574.414022964,524.513697316,558.544040779,405.191810931,711.936906135,0,430.462163018,439.20647531,692.399648131,546.847250936,798.767772606,bcMax,5,1,5,Peak,6
2,803.520524846,837.462145098,1039.40868287,1258.38593187,924.459188644,1191.41765644,1418.18510059,1059.30600913,1204.1030596,1226.69600101,892.975363804,803.894293502,916.104680163,620.9360951,1189.39897603,0,627.319463882,697.458411234,1150.61374197,869.180574597,1330.87557337,bcMax,5,1,90,Peak,6
3,860.790131679,905.552127024,1112.14750258,1346.47989824,985.588450498,1308.66732144,1505.0346861,1125.53037381,1275.66276004,1301.7720886,952.074979073,846.677139167,985.483333034,680.66223617,1261.68490023,0,657.230443696,825.613003562,1234.3601775,927.476548477,1416.91057807,bcMax,5,1,95,Peak,6
4,959.670819931,1050.33686881,1248.94400145,1547.75858426,1113.3819806,1430.30874218,1714.79640051,1247.00424385,1437.78031147,1468.51209375,1062.34621244,938.344410834,1127.09070081,770.222925261,1401.36130418,0,708.951512959,958.256021235,1386.99645127,1035.61868087,1619.72407418,bcMax,5,1,99,Peak,6
5,613.0,628.0,762.0,952.0,673.0,719.0,1188.0,798.0,893.0,891.0,723.0,664.0,634.0,447.0,930.0,0,500.0,527.0,828.0,671.0,998.0,bcMax,5,1,Mode,Peak,6
6,646.560298698,650.114909127,818.955072055,991.201290646,723.487563443,780.501808221,1131.62939054,851.033821162,956.133162162,976.937521951,720.782058657,652.626190851,698.027090423,497.185348999,942.893189501,0,523.706860597,528.269491234,911.291249532,697.105577481,1052.68198378,bcMax,5,1,Median,Peak,6
0,441.636243597,416.817660578,519.27034432,621.603400796,457.284611839,503.916392319,741.272450159,550.811845577,622.288122638,642.153292746,477.988979531,438.467339135,457.517789252,349.347969576,593.912580832,0,352.72011894,361.527584724,575.826664976,452.484794987,666.117575795,bcMax,5,1,1,Continuum,6
1,473.553845549,451.359592698,575.683045293,692.078111219,502.092493542,550.601531766,816.199586888,609.251937246,687.514179141,703.941484345,516.338174309,472.901865912,500.308624567,372.446143012,667.245698477,0,369.619479593,379.709880623,638.166204823,494.322004159,739.847571327,bcMax,5,1,5,Continuum,6
2,727.38725902,757.04530861,972.824993926,1186.54786201,835.056325018,1168.41792453,1356.19993854,995.13230194,1153.51586543,1159.92399282,792.480889122,710.429826127,819.783656814,577.662478366,1131.22818306,0,524.808666517,542.252284228,1077.08553297,794.155336562,1269.83743379,bcMax,5,1,90,Continuum,6
