,576,592,594,598,600,608,610,624,626,640,644,646,656,662,664,674,688,690,692,696,Cut,DS,Module,Percentage,Range,SubDS
0,-4.27200578549e-07,-1.32231614026e-06,-2.51624927826e-07,-7.71087202861e-07,-2.2626934391e-07,-3.72828822586e-07,-6.35328032289e-07,-9.69657122105e-08,-3.44496531767e-07,-6.83081109352e-07,-3.72683692821e-07,-5.09361594828e-08,-8.78062757897e-07,-3.60577508411e-07,-8.80773271196e-08,-7.40084952448e-07,-3.57540781048e-07,-3.15090254686e-07,-2.05162307416e-07,-8.33034952264e-07,pol2,0,1,1,Peak,29
1,1.01020756354e-07,3.21286797974e-07,1.38537212847e-07,1.87556538893e-07,1.01520498091e-07,8.93268829633e-08,1.50650903028e-07,4.56328512366e-07,1.85939433613e-07,1.66343939849e-07,-6.5498593937e-08,2.76064605772e-07,3.0292896805e-07,3.74008786816e-07,-2.31723509868e-08,1.73617206717e-07,1.3428980577e-07,1.87343599817e-07,2.79167112814e-07,-1.42805634864e-07,pol2,0,1,5,Peak,29
2,9.19975219686e-07,1.30414483642e-06,1.00831043142e-06,1.13830606149e-06,9.01221388337e-07,8.93161265616e-07,1.01590318832e-06,1.3303232623e-06,1.0560884327e-06,1.01114281608e-06,7.49346240639e-07,1.14011482378e-06,1.04583681855e-06,1.18443163746e-06,7.4750741092e-07,1.09179281587e-06,9.69066388133e-07,1.07674760968e-06,1.09757058756e-06,8.51184882183e-07,pol2,0,1,90,Peak,29
3,9.89603194547e-07,1.39411233393e-06,1.10930828571e-06,1.23228086193e-06,9.95097909543e-07,9.62168076445e-07,1.10831453731e-06,1.4147893105e-06,1.15843137191e-06,1.09307084701e-06,8.26473058867e-07,1.23398652095e-06,1.11954821273e-06,1.26908212667e-06,8.13695516729e-07,1.17854579234e-06,1.06567089392e-06,1.18387314623e-06,1.16912857713e-06,9.57806228145e-07,pol2,0,1,95,Peak,29
4,1.09668758473e-06,1.57365402843e-06,1.27651012314e-06,1.39738761587e-06,1.1338380721e-06,1.10113133311e-06,1.19352596594e-06,1.55854802799e-06,1.31608006103e-06,1.18186352169e-06,9.53126312514e-07,1.39150150637e-06,1.2347021484e-06,1.41836813042e-06,8.9014865995e-07,1.29166017049e-06,1.22748344112e-06,1.33149832965e-06,1.31725033306e-06,1.06716848274e-06,pol2,0,1,99,Peak,29
0,-2.49262928438e-06,-2.28022484774e-06,-2.90937258489e-06,-6.47964255706e-06,-2.62832587465e-06,-3.22209089754e-06,-1.64433239082e-06,-2.30341652432e-06,-2.19007833488e-06,-2.3400661454e-06,-1.77420715711e-06,-2.25840711456e-06,-2.41858587734e-06,-1.11522656707e-06,-2.23943310994e-06,-1.3349281516e-06,-1.56000028108e-06,-1.82273249488e-06,-1.64413013477e-06,-2.84054144823e-06,pol2,0,1,1,Continuum,29
1,-1.26000470092e-06,-1.16707660833e-06,-1.16752818868e-06,-2.67222400491e-06,-1.08865442529e-06,-1.81904306721e-06,-8.26308861624e-07,-1.15909317714e-06,-7.36297293402e-07,-1.17598991059e-06,-8.30651509951e-07,-1.12956019849e-06,-1.21600190836e-06,-3.8234312363e-07,-1.24070939333e-06,-4.50621080246e-07,-5.78938355072e-07,-9.38598750508e-07,-6.74718196244e-07,-1.35348545417e-06,pol2,0,1,5,Continuum,29
2,3.19229786965e-07,3.76808089161e-07,4.05072605262e-07,4.01354812903e-07,3.48873691673e-07,3.28429329277e-07,3.13298198789e-07,3.47045431105e-07,3.94996577339e-07,3.50860835919e-07,3.37994047407e-07,3.41440420292e-07,3.17178669973e-07,3.13675813503e-07,2.45891143585e-07,3.41935538238e-07,3.87909010803e-07,3.7094202774e-07,3.43963027343e-07,3.2653823994e-07,pol2,0,1,90,Continuum,29
3,4.09614908036e-07,5.16279847337e-07,5.04885488997e-07,5.70747687726e-07,4.57331339151e-07,4.43508800628e-07,3.97173630053e-07,4.60525620399e-07,4.95219081089e-07,4.4932959615e-07,4.35090167185e-07,4.79015324146e-07,4.00797882787e-07,4.0503155663e-07,3.41473236592e-07,4.18002153007e-07,4.9281375094e-07,5.00088061097e-07,4.47758785205e-07,4.43351463054e-07,pol2,0,1,95,Continuum,29
4,5.89383097837e-07,7.40686977437e-07,7.07001597879e-07,1.47162761806e-06,6.67653746291e-07,6.83969321449e-07,5.57159605494e-07,6.62224997946e-07,6.96329773115e-07,6.71615510335e-07,5.96790507394e-07,8.41704033536e-07,5.77639907102e-07,5.43060228688e-07,5.45641143304e-07,5.68671557655e-07,6.88280032533e-07,7.23252406739e-07,6.19897983633e-07,7.03008111853e-07,pol2,0,1,99,Continuum,29
