,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,363.754705067,292.850590744,341.349531534,369.371335131,338.958755656,337.756037248,358.799454723,362.385884148,354.442465304,359.448632717,375.54024166,343.576599507,348.977935391,331.222683786,352.265305829,367.069433684,bcMax,1,1,1,Peak,10
1,397.328414567,306.469064306,365.888167201,396.555699921,367.20723653,361.272190388,390.417018125,395.27566288,384.200554022,390.645010424,414.497887261,371.217706386,375.608243605,355.839598015,383.310423298,394.915810311,bcMax,1,1,5,Peak,10
2,557.273363459,401.723757465,542.888963521,987.973682736,711.777953767,691.8047873,551.3519143,565.154956146,671.901285271,708.465814929,595.637505631,535.609552562,525.475571667,539.587279225,646.424914289,621.783506967,bcMax,1,1,90,Peak,10
3,581.704459177,417.580884215,571.289256993,1052.85264638,767.667421301,748.932411847,572.180546114,590.360207138,724.18377711,767.406006802,619.227031726,560.777507772,548.082595906,576.805709071,694.103379099,659.484068564,bcMax,1,1,95,Peak,10
4,620.916113844,444.48203336,615.576117381,1182.92667092,860.553286367,825.003604202,617.034530213,630.678362686,799.049482523,850.699102221,675.003633289,603.354511,588.746501794,667.214257163,752.43402183,710.692614051,bcMax,1,1,99,Peak,10
5,483.0,353.0,443.0,466.0,455.0,392.0,482.0,505.0,455.0,469.0,529.0,461.0,478.0,461.0,462.0,473.0,bcMax,1,1,Mode,Peak,10
6,482.904182009,353.234988109,454.641400641,506.160439853,461.280556164,429.122535849,477.439754799,488.091476842,474.787020182,490.511816897,508.254277431,455.868192431,458.952709631,445.693407235,472.903237263,487.703597777,bcMax,1,1,Median,Peak,10
0,261.714153877,240.576773686,254.192381142,280.669080152,250.817489746,251.199966971,260.212838748,264.553923,261.514903467,265.546947006,276.668966263,259.921568429,273.365904377,241.594968166,246.913605277,255.792226512,bcMax,1,1,1,Continuum,10
1,268.777632225,248.701759009,263.675835075,291.887814489,258.634404515,258.313593514,268.748707989,275.092777021,271.456007691,277.603633703,287.700143044,267.598971479,285.101883453,252.021920963,259.830918497,268.570190396,bcMax,1,1,5,Continuum,10
2,369.554585687,332.0523689,388.435940151,911.105503407,608.403998499,610.214252007,373.78732116,372.403840299,572.766142856,606.073614645,413.305983065,358.597800711,392.453692049,379.698893984,516.176521599,488.937698687,bcMax,1,1,90,Continuum,10
3,403.683075131,349.167356994,409.615653936,981.381348686,657.496214822,656.875662477,385.439460125,394.313563132,607.986054963,645.282756917,431.479379388,375.414969298,410.021660727,423.109064811,551.753498751,519.185862373,bcMax,1,1,95,Continuum,10
4,446.308719222,380.184411231,446.987487213,1083.54944503,728.794443802,714.978570185,409.895402952,431.130217639,660.579230167,684.292615112,464.385940633,413.635806996,449.657590058,532.663000829,591.853710163,581.357988286,bcMax,1,1,99,Continuum,10
5,281.0,264.0,274.0,309.0,277.0,272.0,278.0,292.0,285.0,303.0,293.0,283.0,306.0,263.0,291.0,299.0,bcMax,1,1,Mode,Continuum,10
6,313.449044057,282.662391546,313.544281747,363.337338165,292.331885896,286.467692996,312.763431044,320.21953407,318.769976819,331.818445532,342.208247712,305.566030586,337.619843429,282.831972222,304.365957702,319.114740787,bcMax,1,1,Median,Continuum,10
0,0.423881807087,0.597692257679,0.458042189166,0.221408724607,0.310229625449,0.317152995717,0.434480514106,0.415707585819,0.329641603983,0.306412325153,0.396901372342,0.443325690519,0.444697707862,0.396470537895,0.350279185189,0.378231964696,noiseWeight,1,1,1,Peak,10
1,0.453361741526,0.636678920729,0.493984976382,0.249230908609,0.347435516115,0.349732534165,0.468146276288,0.443860969614,0.364200643352,0.339721357899,0.432436370403,0.476765594406,0.479050709121,0.459273061539,0.379589548664,0.407671280225,noiseWeight,1,1,5,Peak,10
2,0.634651732056,0.843471002276,0.733955938089,0.635214029156,0.694077106426,0.698224422505,0.658998799977,0.631665341676,0.657757071469,0.639019913005,0.62126509038,0.688884387716,0.662897232732,0.709789553946,0.658179188397,0.645129370913,noiseWeight,1,1,90,Peak,10
3,0.665002137001,0.867421059696,0.771814793006,0.661992881258,0.726970104047,0.724770713093,0.686314792068,0.663618568683,0.687738015155,0.667716100636,0.645814505444,0.72188757644,0.697738376105,0.74484799084,0.688167248137,0.680971023023,noiseWeight,1,1,95,Peak,10
4,0.725877040991,0.90873297104,0.827446827631,0.711228210446,0.786660543785,0.775335076117,0.747895581255,0.72504936727,0.746192480776,0.726449419246,0.713129225744,0.779783529437,0.751006884274,0.800651438054,0.748538690439,0.732990007742,noiseWeight,1,1,99,Peak,10
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,1,1,Mode,Peak,10
6,0.546445237267,0.75256006436,0.620706645001,0.518333540765,0.578367211106,0.610579285659,0.561237818696,0.537114843927,0.55568901114,0.531338730266,0.527081885203,0.587731174575,0.570979077024,0.594307321634,0.557686668501,0.55099752257,noiseWeight,1,1,Median,Peak,10
0,0.575611934204,0.675547181396,0.61843584292,0.234049310437,0.354437754105,0.354425103171,0.634792650728,0.59689217184,0.395452792671,0.369681215851,0.560133318161,0.628238829688,0.543935294791,0.497036997084,0.43499222734,0.454900231655,noiseWeight,1,1,1,Continuum,10
1,0.63570376635,0.735014576509,0.678394134515,0.25958974777,0.394006764062,0.388809820857,0.675110944939,0.65229963347,0.428281143799,0.393846835244,0.604598858491,0.693449093919,0.604304479581,0.618869832356,0.472146104451,0.506589173038,noiseWeight,1,1,5,Continuum,10
2,0.942405153414,1.01638345524,1.03361531222,0.857324487841,0.987465819165,0.974177662427,0.945600766857,0.917216559387,0.938619597738,0.889312692504,0.891847828613,0.955496153085,0.869586593155,1.03195791498,0.976866011076,0.957656570879,noiseWeight,1,1,90,Continuum,10
3,0.963212574517,1.03960143512,1.05689217164,0.88058904462,1.00557625065,0.994793445022,0.967546167503,0.939231131195,0.963428237517,0.915103485131,0.913251312502,0.97341390072,0.894169920981,1.05359753771,1.01115577775,0.985684522197,noiseWeight,1,1,95,Continuum,10
4,1.00491064641,1.07401543692,1.10199674749,0.924146869676,1.0469715226,1.03670217095,1.00225052201,0.983342726391,1.01529403428,0.956792711569,0.955505422762,1.0053729602,0.93921342355,1.11438200643,1.05928874488,1.03491208542,noiseWeight,1,1,99,Continuum,10
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,1,1,Mode,Continuum,10
6,0.827191363024,0.911640462917,0.88603756533,0.706989365315,0.889806029734,0.88911633815,0.835272831666,0.805710134763,0.817692644392,0.767377859805,0.763055959685,0.851463683703,0.749910048227,0.93340464731,0.850719679061,0.817720333642,noiseWeight,1,1,Median,Continuum,10
0,0.878586247446,0.870639283455,0.880091441487,0.852780526363,0.880400371682,0.883391072506,0.879403019306,0.883294221989,0.880883423171,0.87914438464,0.881033602561,0.873403294059,0.865583113592,0.881952951493,0.882761139502,0.878891288613,bcTime,1,1,1,Peak,10
1,0.889246257719,0.877612175958,0.887512657022,0.88019615612,0.88881549667,0.891007396026,0.888635589215,0.891006234103,0.888760359145,0.888273525178,0.89009163933,0.885571009903,0.883344033973,0.889840718745,0.889656815454,0.889547972671,bcTime,1,1,5,Peak,10
2,0.899906267992,0.885555977543,0.898063300796,0.901182061633,0.899200118996,0.898982134771,0.901095076761,0.900332388287,0.898875061021,0.899103191895,0.901122713811,0.900422780712,0.898248926955,0.90041749756,0.899149564166,0.899219585093,bcTime,1,1,90,Peak,10
3,0.900175007746,0.885997299853,0.898510361973,0.901539268536,0.899558209421,0.899340549995,0.901453623165,0.900601411965,0.899322614201,0.899550698784,0.901391764408,0.900780654707,0.89860593038,0.900686398716,0.899418226866,0.899488240994,bcTime,1,1,95,Peak,10
4,0.900981227011,0.887409531246,0.899493896562,0.902342984066,0.900363912877,0.901401437536,0.902081079372,0.901408483001,0.900217720562,0.90053521394,0.90184018207,0.901406934199,0.89931993723,0.901224201029,0.900224214964,0.900562864596,bcTime,1,1,99,Peak,10
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,1,1,Mode,Peak,10
6,0.898354307841,0.884360189573,0.896618357488,0.898832684825,0.897978825794,0.897683397683,0.899419729207,0.898734177215,0.89756097561,0.897683397683,0.89990281827,0.898734177215,0.896519285042,0.899224806202,0.897959183673,0.898157129001,bcTime,1,1,Median,Peak,10
0,0.659900857406,0.753518449766,0.740107127731,0.674346113801,0.722452942957,0.673010611544,0.768066000748,0.718148228227,0.668238269887,0.785743268662,0.677830350539,0.772465561033,0.733993816082,0.674200504315,0.666705334674,0.661684140294,bcTime,1,1,1,Continuum,10
1,0.734763816186,0.811132206864,0.780733791386,0.728396636192,0.779426927452,0.739527778107,0.821336992646,0.774151630802,0.732262488725,0.837632621931,0.736796411044,0.839486329449,0.779329636103,0.739225810763,0.721913029774,0.745134819395,bcTime,1,1,5,Continuum,10
2,0.898495276147,0.885807180722,0.897759023804,0.899279441601,0.898654996648,0.89838347363,0.899896497826,0.899415690583,0.898275872813,0.898797306476,0.899830051419,0.899498390058,0.896624374954,0.899281674323,0.898726864079,0.898630446013,bcTime,1,1,90,Continuum,10
3,0.899579038357,0.887436141116,0.898951420641,0.900277297399,0.899676951527,0.899720502103,0.900852421008,0.900265514598,0.899441463273,0.899934847104,0.900832307404,0.900462087382,0.897900242309,0.900201055263,0.90013606951,0.899719661704,bcTime,1,1,95,Continuum,10
4,0.901579830128,0.890865531419,0.901421385517,0.902771936894,0.901891187097,0.90247812333,0.904502309523,0.903324881051,0.901855900655,0.902734947111,0.902753298044,0.903265570505,0.90070715049,0.902541297654,0.902954480371,0.903657595356,bcTime,1,1,99,Continuum,10
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,1,1,Mode,Continuum,10
6,0.892678034102,0.8798828125,0.892,0.893849206349,0.893700787402,0.891326021934,0.896,0.894632206759,0.891518737673,0.894080741482,0.894736842105,0.895729890765,0.888429752066,0.893832153691,0.892392301101,0.894,bcTime,1,1,Median,Continuum,10
0,-1.13111952294e-06,-8.68931481516e-07,-1.50818603577e-07,-5.92178800369e-06,-1.85725523303e-07,-3.21796272079e-07,-5.22067717299e-07,-5.28873929502e-08,-7.88428818726e-07,-1.34882783479e-07,-1.69598312214e-07,-3.11838958051e-07,-7.3042713932e-08,-1.23278247874e-06,-8.47340145144e-07,-6.06110707203e-07,pol2,1,1,1,Peak,10
1,2.7921513392e-07,-6.64275925796e-07,3.21871162568e-07,-1.05390354078e-06,2.95199136404e-07,7.82005332099e-08,1.27684981211e-07,3.30636539598e-07,1.96214867855e-07,1.67938925132e-07,-3.52109440311e-08,7.44616547456e-08,1.60744570599e-09,3.06862439871e-07,3.04249904789e-07,1.4932126501e-07,pol2,1,1,5,Peak,10
2,1.00834989221e-06,1.9539158148e-07,1.15209139765e-06,6.73662541685e-07,1.07934584752e-06,9.80896981408e-07,9.65705494767e-07,1.05239594032e-06,9.91617725784e-07,9.6768264586e-07,7.63062154784e-07,1.00180739287e-06,9.03126972556e-07,1.07407757619e-06,1.01053226647e-06,9.42721941127e-07,pol2,1,1,90,Peak,10
3,1.07481030158e-06,2.86673097127e-07,1.23786703919e-06,7.46929853218e-07,1.16469906883e-06,1.0788640378e-06,1.05410339222e-06,1.13383357536e-06,1.08025044202e-06,1.04471992775e-06,8.3077971249e-07,1.07953006696e-06,9.76685004213e-07,1.14931746818e-06,1.09354107826e-06,1.03677920399e-06,pol2,1,1,95,Peak,10
4,1.17855337962e-06,4.86761722733e-07,1.38170619193e-06,8.60579878856e-07,1.33647551326e-06,1.20298391589e-06,1.18226626744e-06,1.25672443545e-06,1.20872722334e-06,1.20356112954e-06,9.24139504994e-07,1.17953931486e-06,1.06527585631e-06,1.27198580695e-06,1.20602745106e-06,1.1524143095e-06,pol2,1,1,99,Peak,10
5,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pol2,1,1,Mode,Peak,10
6,7.09029286606e-07,-1.77122161864e-07,8.18885031293e-07,3.39370377178e-07,7.57324017232e-07,6.00704582759e-07,6.33620087422e-07,7.42294377118e-07,6.72032018175e-07,6.3956315661e-07,4.6660001762e-07,6.67342331671e-07,5.82272878378e-07,7.73959024254e-07,7.24157713535e-07,5.91317029413e-07,pol2,1,1,Median,Peak,10
0,-2.19064533603e-06,-1.26976967285e-06,-1.54254244262e-06,-2.42924673403e-06,-1.71308021929e-06,-2.32982323921e-06,-1.17419203431e-06,-1.98723381462e-06,-2.34839668094e-06,-1.03455739549e-06,-2.16905110325e-06,-1.14400500699e-06,-1.56705597724e-06,-2.20992161701e-06,-2.26860138927e-06,-2.70191268544e-06,pol2,1,1,1,Continuum,10
1,-1.18759308918e-06,-6.1322025958e-07,-7.61163201837e-07,-1.28891764799e-06,-8.2678808412e-07,-1.13257153159e-06,-5.38745648055e-07,-8.8879170128e-07,-1.27253024618e-06,-5.10244092316e-07,-1.20900034283e-06,-4.55618574728e-07,-7.95361083527e-07,-1.16285418776e-06,-1.29245655918e-06,-1.22114474308e-06,pol2,1,1,5,Continuum,10
2,2.99122706835e-07,2.99617798097e-07,3.43112473284e-07,2.92441116489e-07,3.29683211416e-07,3.42576461668e-07,3.5903506811e-07,2.98269134008e-07,3.32092807665e-07,3.67607524223e-07,2.93358935298e-07,3.18121864046e-07,3.06581648533e-07,2.88608138418e-07,2.98377015155e-07,2.99044480834e-07,pol2,1,1,90,Continuum,10
3,3.91515332312e-07,4.02985522134e-07,4.34722947989e-07,3.96052260288e-07,4.18349742497e-07,4.40724248156e-07,4.39360654701e-07,3.91572207813e-07,4.35855014086e-07,4.7127135148e-07,3.869990713e-07,3.90379763294e-07,4.21786076376e-07,3.84420048632e-07,4.02129239965e-07,3.9328749548e-07,pol2,1,1,95,Continuum,10
4,5.66255846548e-07,5.99676403385e-07,5.75115821127e-07,6.0640815321e-07,6.05310736064e-07,6.48744604875e-07,6.03767005051e-07,5.3095087362e-07,6.62347814467e-07,6.82360051882e-07,6.08748105023e-07,5.55737226665e-07,5.96631734562e-07,5.64913734282e-07,6.00183193104e-07,5.73928011734e-07,pol2,1,1,99,Continuum,10
5,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,pol2,1,1,Mode,Continuum,10
6,-3.16715637657e-08,-4.6058388102e-08,6.11820105416e-10,-9.0971033771e-08,5.87877992139e-09,-3.66570988702e-08,1.79736245928e-08,-2.14415278504e-08,-6.74361425803e-08,7.56573800581e-09,-6.41148572308e-08,3.2290952355e-08,-4.58297471547e-08,-6.07041474274e-08,-6.99499397618e-08,-6.31426920171e-08,pol2,1,1,Median,Continuum,10
0,-2.40778486222e-11,-8.75251293518e-12,-2.79691477613e-11,-1.91046778578e-11,-2.69319891384e-11,-2.45807981248e-11,-2.47544090136e-11,-2.5432709917e-11,-2.51176044133e-11,-2.43307944475e-11,-2.06707587297e-11,-2.50447011993e-11,-2.43648586903e-11,-2.65775696921e-11,-2.45553984566e-11,-2.43737610478e-11,pol3,1,1,1,Peak,10
1,-2.11731979832e-11,-4.25616005772e-12,-2.39658813644e-11,-1.49639870733e-11,-2.27674626637e-11,-2.16020894884e-11,-2.07978937274e-11,-2.2010500024e-11,-2.1256388918e-11,-2.03565914665e-11,-1.70768173858e-11,-2.1533980677e-11,-2.01003903021e-11,-2.27098369499e-11,-2.13257630295e-11,-2.04566807956e-11,pol3,1,1,5,Peak,10
2,-6.25066076978e-12,1.36240665367e-11,-6.99381602699e-12,4.59774875105e-12,-6.27684315563e-12,-1.90342616475e-12,-4.00266096302e-12,-6.62548661351e-12,-4.51419066253e-12,-4.20492589081e-12,-8.2636803569e-13,-4.31058127505e-12,-2.56037672788e-12,-7.08100864927e-12,-6.62614089125e-12,-3.56832651057e-12,pol3,1,1,90,Peak,10
3,-4.25142881976e-12,1.58825196626e-11,-4.43223530026e-12,1.10958967482e-11,-4.06632457394e-12,3.14848574139e-13,-2.11920002917e-12,-4.73968770654e-12,-2.49254177282e-12,-2.03488489798e-12,1.58154875295e-12,-2.12859846738e-12,-1.07775568519e-14,-4.6148027017e-12,-4.68236561433e-12,-2.08881785478e-12,pol3,1,1,95,Peak,10
4,-8.84711516936e-14,2.01286049827e-11,9.80856310074e-13,7.79122006968e-11,1.30681991028e-12,4.22251970157e-12,-9.47913565618e-14,9.64980889426e-14,1.09555029633e-12,2.0604366501e-12,6.41172940145e-12,1.0730518509e-12,4.90144127555e-12,3.5670758042e-13,2.99807287086e-13,4.02395286536e-13,pol3,1,1,99,Peak,10
