,576,592,594,598,600,608,610,624,626,640,644,646,656,662,664,674,688,690,692,696,Cut,DS,Module,Percentage,Range,SubDS
0,-4.330484257e-07,-8.79159252294e-07,-2.70516689266e-07,-6.37269700325e-07,-2.54811377167e-07,-4.06834518883e-07,-6.31945322293e-07,-2.82603858353e-07,-2.38712685317e-07,-7.4808502315e-07,-2.82309210797e-07,-4.47294517165e-07,-1.13085990551e-06,-1.46409323681e-07,-1.06272129816e-07,-7.11516896628e-07,-3.91225159011e-07,-1.3614242089e-07,-1.13207904627e-07,-9.54882327264e-07,pol2,0,1,1,Peak,19
1,1.02782225788e-07,3.30288149783e-07,1.28920265598e-07,1.55562508776e-07,8.95007883483e-08,9.57849939455e-08,1.54359390507e-07,4.06943044201e-07,1.99199551726e-07,1.84035963649e-07,-4.76502262772e-08,2.64380388839e-07,2.80488244765e-07,3.79896151342e-07,-2.53722021743e-08,1.72354878579e-07,1.28227359953e-07,1.92621999356e-07,2.51899584897e-07,-1.64737392103e-07,pol2,0,1,5,Peak,19
2,9.15630200794e-07,1.2965896047e-06,1.02434194334e-06,1.11383909293e-06,8.9181847939e-07,8.97833288077e-07,1.01962263648e-06,1.34787431303e-06,1.06496872524e-06,1.01192928577e-06,7.75745339471e-07,1.15106592369e-06,1.04653634543e-06,1.19278894416e-06,7.43609730351e-07,1.09793442751e-06,9.68278382165e-07,1.08752558562e-06,1.12411461773e-06,8.30647945071e-07,pol2,0,1,90,Peak,19
3,9.87061096358e-07,1.39877568908e-06,1.12353888792e-06,1.20879684726e-06,9.74395094826e-07,9.8167851052e-07,1.09157257464e-06,1.44012450675e-06,1.15281619608e-06,1.09484618244e-06,8.6467409323e-07,1.25741920938e-06,1.12917454649e-06,1.27883924094e-06,8.20724233571e-07,1.17722677301e-06,1.0579700485e-06,1.18360394774e-06,1.20472491665e-06,9.17995865583e-07,pol2,0,1,95,Peak,19
4,1.0935148964e-06,1.56407959502e-06,1.29934118806e-06,1.35822523121e-06,1.1169237273e-06,1.09463396801e-06,1.19297352376e-06,1.62027640021e-06,1.30956975761e-06,1.20049956751e-06,9.88722646884e-07,1.42901883647e-06,1.23556120144e-06,1.4088872675e-06,9.03192408472e-07,1.28228913078e-06,1.19918521908e-06,1.33777435511e-06,1.34498517981e-06,1.02969780132e-06,pol2,0,1,99,Peak,19
0,-2.38743231363e-06,-1.99414621525e-06,-2.52920731932e-06,-6.15815176121e-06,-2.47766073994e-06,-3.15701737855e-06,-1.52939379706e-06,-2.16603935359e-06,-2.39110475278e-06,-2.30210619343e-06,-1.93994994663e-06,-2.42001824258e-06,-2.37201096226e-06,-1.26931846469e-06,-2.35991514793e-06,-1.24085634461e-06,-1.64400838089e-06,-1.89831893935e-06,-1.85906040855e-06,-2.69925240277e-06,pol2,0,1,1,Continuum,19
1,-1.19847322894e-06,-1.17150071003e-06,-1.09949802446e-06,-2.56527253435e-06,-1.09290438174e-06,-1.6755650456e-06,-8.25757542383e-07,-1.10473034366e-06,-7.32661072199e-07,-1.250916051e-06,-8.43681837567e-07,-1.20132713889e-06,-1.21793211456e-06,-4.15376088187e-07,-1.22754381381e-06,-4.44451822172e-07,-5.54933132195e-07,-8.84573052761e-07,-6.95152904011e-07,-1.28912986043e-06,pol2,0,1,5,Continuum,19
2,3.25180993748e-07,3.65586836563e-07,4.12877204833e-07,4.0278286539e-07,3.46894399678e-07,3.33867935751e-07,3.20568679829e-07,3.79029363582e-07,3.90297658226e-07,3.33325841186e-07,3.46670703239e-07,3.42527742335e-07,3.18325135921e-07,3.09335661846e-07,2.43380267577e-07,3.50842986584e-07,4.04456771851e-07,3.79035704567e-07,3.40419671734e-07,3.34334542124e-07,pol2,0,1,90,Continuum,19
3,4.20239462013e-07,4.91840832151e-07,5.3139116296e-07,5.56760694714e-07,4.49578584166e-07,4.46797483648e-07,4.09773486676e-07,4.94574715598e-07,4.87685185056e-07,4.31371087407e-07,4.38602876738e-07,4.61186097218e-07,4.15118845728e-07,3.92898322572e-07,3.42572266149e-07,4.30530997986e-07,5.08473891819e-07,4.9272992088e-07,4.44606290367e-07,4.40643875853e-07,pol2,0,1,95,Continuum,19
4,5.95014990998e-07,7.21710863611e-07,7.62346463178e-07,1.28967240695e-06,6.68730686015e-07,6.96210092814e-07,6.02260270887e-07,7.18755730806e-07,6.80556422402e-07,6.06703799047e-07,5.95948327535e-07,7.53444616683e-07,5.83136267103e-07,5.47634993743e-07,5.17783203797e-07,5.91122421495e-07,6.73941125737e-07,7.07063349018e-07,6.05503813035e-07,6.66899892245e-07,pol2,0,1,99,Continuum,19
0,-2.37860002232e-11,-3.25811768006e-11,-2.71124489623e-11,-2.94938515864e-11,-2.31125316864e-11,-2.28993133606e-11,-2.58997455439e-11,-3.33070052084e-11,-2.66644502917e-11,-2.54078794082e-11,-2.0912373511e-11,-2.98185046302e-11,-2.51518159514e-11,-2.8114084072e-11,-2.07464390103e-11,-2.68955825001e-11,-2.51696518011e-11,-2.6971027793e-11,-2.70119741646e-11,-2.27151510476e-11,pol3,0,1,1,Peak,19
1,-2.02104555354e-11,-2.81941102158e-11,-2.23133250708e-11,-2.4423441568e-11,-1.89245917982e-11,-1.91957944803e-11,-2.17567705817e-11,-2.8820665379e-11,-2.24402484612e-11,-2.16158624567e-11,-1.67781713931e-11,-2.50749302143e-11,-2.20446534189e-11,-2.46131688808e-11,-1.66094738526e-11,-2.32915967652e-11,-2.05876394803e-11,-2.28011511554e-11,-2.32770878131e-11,-1.82881453051e-11,pol3,0,1,5,Peak,19
2,-4.31511657499e-12,-8.0176901014e-12,-4.18330148055e-12,-4.56186180939e-12,-2.15512674964e-12,-2.65499793787e-12,-4.85116405788e-12,-9.35357743733e-12,-4.31859001416e-12,-5.18021204739e-12,7.8365594076e-13,-6.31477476079e-12,-6.23030737587e-12,-8.02882387597e-12,-1.55209718513e-13,-6.01172098284e-12,-3.78278626656e-12,-4.27782160207e-12,-5.51309094256e-12,1.57347715821e-12,pol3,0,1,90,Peak,19
3,-2.64580379139e-12,-5.57527157517e-12,-2.57426188692e-12,-2.14688607758e-12,-2.55917256917e-13,-8.61589759831e-13,-3.04017882287e-12,-6.54271601521e-12,-2.17858816213e-12,-2.83686092808e-12,3.31024821386e-12,-3.67530978995e-12,-4.00925622053e-12,-5.57936086856e-12,2.4713419724e-12,-3.41650637469e-12,-2.20368169502e-12,-2.0609790223e-12,-3.0522124857e-12,4.32903254778e-12,pol3,0,1,95,Peak,19
4,-4.71224719927e-13,-2.16809637394e-13,-2.96011128417e-13,8.49939984207e-13,2.67257171228e-12,2.35368386613e-12,-1.64761625254e-13,1.41457254355e-13,2.09304526088e-12,9.21622092146e-13,7.45420080844e-12,2.29796004573e-12,1.54120690062e-12,4.45039563817e-13,6.54395953858e-12,1.00081904362e-12,3.01735525169e-14,1.56851564286e-12,1.58409454596e-12,1.33116171369e-11,pol3,0,1,99,Peak,19
0,-1.27486484297e-11,-1.53757702849e-11,-1.68810388438e-11,-5.12642550367e-11,-1.41614117222e-11,-1.47949942394e-11,-1.26003097968e-11,-1.53813411643e-11,-1.50525549646e-11,-1.28656215175e-11,-1.27169625975e-11,-1.59570703506e-11,-1.234081486e-11,-1.17257924444e-11,-1.10942151109e-11,-1.30926510686e-11,-1.34177700582e-11,-1.44054772597e-11,-1.25454168474e-11,-1.39290314903e-11,pol3,0,1,1,Continuum,19
1,-8.92796063972e-12,-1.04288370199e-11,-1.13427841058e-11,-1.29548314076e-11,-9.41167747957e-12,-9.60036142008e-12,-8.60236833335e-12,-1.04767905392e-11,-1.04587076343e-11,-9.01237440929e-12,-9.24477919616e-12,-9.71745971514e-12,-8.56708100354e-12,-8.30802735542e-12,-7.18229612662e-12,-9.15637249471e-12,-9.85446969316e-12,-9.88592281498e-12,-9.01205272883e-12,-9.05390479014e-12,pol3,0,1,5,Continuum,19
2,1.51066706047e-11,1.53503189555e-11,1.33414987334e-11,3.16674651346e-11,1.21576384978e-11,2.10477235481e-11,1.1359724653e-11,1.45732502425e-11,9.60955934431e-12,1.54247884086e-11,1.08675897121e-11,1.44479484427e-11,1.59189032739e-11,6.24892769357e-12,1.63006896824e-11,6.48775339099e-12,7.2178788838e-12,1.13967200102e-11,9.18463413569e-12,1.40339968308e-11,pol3,0,1,90,Continuum,19
3,2.38112112434e-11,2.37206287318e-11,2.12643348779e-11,4.4740172706e-11,2.13809811922e-11,3.17478216916e-11,1.69761727334e-11,2.18312097446e-11,1.52039546771e-11,2.4894978183e-11,1.71735943293e-11,2.38516455037e-11,2.42258398444e-11,8.97107828773e-12,2.4671355036e-11,9.69214967018e-12,1.1141826898e-11,1.67727123802e-11,1.40115360189e-11,2.39608421221e-11,pol3,0,1,95,Continuum,19
