,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,370.591096035,291.371207706,357.681079299,383.120956206,335.686294564,335.783499966,375.319903832,373.033021016,361.892932831,362.004253782,387.332900417,353.695691907,358.297778941,345.866309247,348.356131347,373.836491771,bcMax,1,1,1,Peak,25
1,399.18890574,305.859852072,381.94850654,413.207394132,363.512685282,360.461564452,406.350974896,400.795331786,393.030766414,393.096035661,417.855634806,379.258697772,383.980155993,376.560918875,377.892607489,413.450423492,bcMax,1,1,5,Peak,25
2,585.133755206,411.384082711,564.441611603,695.162024262,521.93445888,472.702689888,577.312616837,565.672610753,548.122087923,567.929493431,600.49973897,534.246616915,598.144146519,537.609865886,524.282468177,604.143694815,bcMax,1,1,90,Peak,25
3,720.737005769,494.00285535,600.457962392,731.47115919,543.676774339,494.163792396,610.141058286,589.630456715,568.349224618,594.704399809,633.210482992,560.541388215,645.183447644,563.661182656,545.920210829,635.179161322,bcMax,1,1,95,Peak,25
4,908.395360362,600.15520641,681.05865625,812.728707405,594.518891618,555.021662136,676.326579532,648.4454262,607.956548936,639.363504689,722.207774838,598.544406475,705.036903214,615.568309128,591.4456384,708.014155784,bcMax,1,1,99,Peak,25
5,479.0,339.0,447.0,457.0,446.0,430.0,520.0,476.0,477.0,459.0,517.0,449.0,493.0,446.0,459.0,497.0,bcMax,1,1,Mode,Peak,25
6,485.585609336,347.846443942,464.761616701,520.511884042,444.153564497,419.790196637,492.99129437,485.273529387,474.362860977,483.184252526,512.767180634,456.587615201,483.882373485,461.70094723,457.512084252,504.173572308,bcMax,1,1,Median,Peak,25
0,272.482046549,245.162956502,275.868729645,302.81058156,253.725211429,255.138742766,286.674302504,274.253396556,271.172008922,280.350948134,294.239597098,269.804161974,280.447656079,253.582537864,250.526386071,284.594831926,bcMax,1,1,1,Continuum,25
1,280.249349695,252.520326408,287.282582188,313.958301535,261.935492272,262.546838764,296.969063312,285.523765171,281.375522418,292.807731405,304.125125415,279.241559712,292.042617272,264.456908637,262.279510937,300.797351505,bcMax,1,1,5,Continuum,25
2,396.855385127,333.164278505,413.035908271,570.258500968,346.657923383,331.65781029,405.25902832,381.321898397,384.888407607,393.260974932,414.047474156,355.110177115,487.317166659,361.621425266,361.56511533,457.75406681,bcMax,1,1,90,Continuum,25
3,617.523985073,429.77910674,478.384233043,601.997860898,357.839239706,345.911362083,452.326362769,411.70132149,398.856665737,410.075816491,453.668356576,373.581952048,518.422468457,383.068100957,380.077119368,491.903992692,bcMax,1,1,95,Continuum,25
