,576,592,594,598,600,608,610,624,626,640,644,646,656,662,664,674,688,690,692,696,Cut,DS,Module,Percentage,Range,SubDS
0,482.479898286,483.402284759,463.353997972,456.463869215,486.236521183,469.034420089,389.08695664,461.41038397,471.883569463,510.890694243,532.511941068,487.729603033,570.955183554,553.952757171,532.363024181,427.518964572,482.403893206,411.135568639,406.764648255,456.321370479,bcMax,0,1,1,Peak,12
1,518.116543867,528.07902464,502.299752414,490.030121613,524.422182601,512.028786977,414.704129918,495.484283433,506.156184528,548.229988476,564.747502172,512.212424888,605.428141521,587.855759618,560.90337814,458.1664626,513.375520099,444.787826206,434.324922502,481.46570195,bcMax,0,1,5,Peak,12
2,728.678589678,683.677325608,694.178835275,659.265063253,745.572296588,785.778634619,564.880919011,653.632929878,681.146653419,734.318767692,758.300719384,663.343227469,780.841066587,765.828753592,737.402935521,692.774003974,679.353285315,606.252352662,606.53521329,701.288114955,bcMax,0,1,90,Peak,12
3,762.78605084,717.698406265,720.585956579,690.695281409,784.847032128,848.984639097,587.801547733,673.017727805,704.849794131,759.9093509,788.927998697,681.1991201,805.951894917,792.76635931,764.031495435,743.433625971,704.922153764,624.4323079,631.554861054,737.290225924,bcMax,0,1,95,Peak,12
4,837.05122456,774.956526918,766.68759761,770.094725719,861.694824892,927.545774606,627.523723301,712.389336018,750.129672428,818.247778056,842.071223077,725.501369171,857.552469895,849.129212433,817.425171982,833.488183831,749.337853994,660.90273482,675.463514414,807.516565839,bcMax,0,1,99,Peak,12
5,630.0,605.0,590.0,563.0,639.0,599.0,485.0,591.0,578.0,632.0,634.0,580.0,716.0,688.0,647.0,562.0,601.0,532.0,533.0,535.0,bcMax,0,1,Mode,Peak,12
6,624.326465159,604.288170429,604.82369519,575.114302703,640.609905241,613.163249035,486.889142148,584.86706121,598.241131928,644.166182982,664.72321481,586.973158456,700.48780315,679.784257324,650.574929633,563.163789424,601.596450084,535.439291288,533.600491904,577.898332456,bcMax,0,1,Median,Peak,12
0,383.249136179,347.11837997,339.206272513,368.553776386,362.826754508,304.240576942,311.368774825,366.793709932,374.860593404,421.113716441,450.828795368,415.057223857,487.851926795,454.517413854,440.998683674,340.156004216,393.991362147,307.349926005,297.958362613,386.71475647,bcMax,0,1,1,Continuum,12
1,405.184153797,361.385910291,354.295013667,383.040026393,378.315850899,314.859781197,323.088910676,380.955643783,390.584106908,439.360161606,469.045924029,435.168190168,508.300289291,476.368780275,464.265807132,355.998409275,406.602890814,324.998738805,309.556213367,403.513350024,bcMax,0,1,5,Continuum,12
2,567.12992217,507.815826743,490.093684057,515.961158212,539.635295993,611.939752673,425.294809177,482.65997765,505.356340207,576.502797849,617.761854865,549.250346888,623.035049464,617.451349226,602.354783218,571.966163398,515.129685397,418.904479475,411.831649722,606.238124662,bcMax,0,1,90,Continuum,12
3,594.146811482,541.325749931,510.062759887,560.300828841,591.518707107,649.158517102,442.263356032,497.723945504,524.233971689,599.190459873,642.051359748,567.149621252,643.306624965,643.396243393,624.893057025,614.485134394,534.264418547,434.093391375,431.582445066,637.117092748,bcMax,0,1,95,Continuum,12
4,658.188765994,600.273177836,547.941320768,631.949038334,666.838234657,707.048645155,468.742181474,529.475542418,558.599734737,641.943860715,686.620309744,605.674208891,681.964048013,696.093206213,668.175513192,686.03147982,563.739638804,470.679536493,463.734902603,693.547319639,bcMax,0,1,99,Continuum,12
5,449.0,397.0,386.0,418.0,407.0,324.0,344.0,411.0,440.0,477.0,524.0,494.0,569.0,540.0,542.0,384.0,450.0,365.0,349.0,450.0,bcMax,0,1,Mode,Continuum,12
6,480.440805851,413.582971101,407.887626952,438.143340703,431.528123908,374.519065065,362.828762478,429.228602542,442.441896607,502.421848369,536.533048696,492.26534205,566.04509766,545.036128601,532.551857559,415.132947111,455.18469492,370.839104672,354.495375918,478.062989247,bcMax,0,1,Median,Continuum,12
0,0.322388479836,0.359200143265,0.368519986923,0.365809546936,0.330272811183,0.303396482941,0.420768798844,0.371579728627,0.351850041714,0.322783910843,0.311545214217,0.359397643911,0.309355630709,0.312404968158,0.3216548085,0.321401365306,0.359845550522,0.430575604198,0.389030700133,0.331358346068,noiseWeight,0,1,1,Peak,12
1,0.354125740793,0.387277458313,0.392336620866,0.408161340444,0.362415902409,0.331776228721,0.449911894324,0.393434997318,0.374045695064,0.347775239242,0.332813064393,0.382308360602,0.32900899597,0.334498660074,0.344084068052,0.360289940772,0.383103360437,0.455645815961,0.416150225103,0.362650254094,noiseWeight,0,1,5,Peak,12
2,0.501262956348,0.510469033569,0.539742274192,0.554079284463,0.519460551635,0.52112885554,0.617175258921,0.514523707006,0.502086870332,0.463901326091,0.449085555373,0.494937443858,0.424315978107,0.437238373948,0.454804954928,0.558795064202,0.509802155578,0.612744930757,0.57886737492,0.539779678429,noiseWeight,0,1,90,Peak,12
3,0.521860347771,0.526816060954,0.563707452631,0.575331444951,0.542756056989,0.550434531036,0.637766712484,0.534896452001,0.521323103237,0.482591238925,0.465077659769,0.508867159607,0.438404836336,0.451360532333,0.46935253075,0.585496901369,0.526213916606,0.639456307624,0.605404253846,0.555664867214,noiseWeight,0,1,95,Peak,12
4,0.560190592738,0.575762923933,0.611192176023,0.618496718286,0.585158582896,0.600990293502,0.679287184422,0.574924591814,0.559240677711,0.517570525329,0.493063842461,0.534114769401,0.464767181706,0.479321596645,0.493877982784,0.627407391617,0.560022144325,0.692539509958,0.647195865567,0.586526152653,noiseWeight,0,1,99,Peak,12
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,noiseWeight,0,1,Mode,Peak,12
6,0.432650536084,0.460579665921,0.467690419867,0.489925700551,0.444168714266,0.459210525337,0.543040279948,0.452885973388,0.440962678222,0.41033997229,0.39507923828,0.443829767102,0.378792799802,0.390201187953,0.404274936902,0.475690983916,0.448706968909,0.531420447268,0.492438094857,0.462987465229,noiseWeight,0,1,Median,Peak,12
0,0.402069038227,0.444009788545,0.49667242696,0.431239569269,0.412817499243,0.388724490217,0.542186417998,0.479168374413,0.463055369779,0.392187124741,0.36864478913,0.413369714246,0.379622989439,0.364777642502,0.38030997707,0.380113728403,0.459352350144,0.585575070952,0.552994696496,0.371331001716,noiseWeight,0,1,1,Continuum,12
1,0.445270981095,0.496482120702,0.536443403803,0.495022776697,0.466967060034,0.423015280822,0.57957673384,0.513571780648,0.494057959036,0.422903861191,0.397689959618,0.442881273145,0.403756099775,0.398277761614,0.407296491434,0.424089326099,0.489050019542,0.634594285799,0.598008942184,0.409284134371,noiseWeight,0,1,5,Continuum,12
2,0.635760077533,0.7306641957,0.76313797181,0.729047967663,0.717675757384,0.859749521903,0.78219663588,0.665315376003,0.649549709788,0.568053456486,0.532407006655,0.572689745862,0.503299299523,0.527818019596,0.540787794531,0.715610892489,0.632462340526,0.836528787214,0.816861097206,0.635002472362,noiseWeight,0,1,90,Continuum,12
3,0.656874669478,0.748737998999,0.785217721024,0.765871262674,0.73564185296,0.886607134994,0.80050008573,0.681534124656,0.668223084012,0.585650502114,0.545688969039,0.587895881237,0.51487190214,0.542265248967,0.556790847248,0.735094525357,0.646406825764,0.861500840061,0.835296207694,0.653062162132,noiseWeight,0,1,95,Continuum,12
4,0.698531642205,0.780869204863,0.830817203094,0.887519647975,0.770380492307,0.954066727146,0.833830881566,0.711022758572,0.705091027993,0.618085293315,0.570841989378,0.619049914689,0.539287271077,0.566796450516,0.593866242673,0.7686259186,0.670328327637,0.907668308132,0.869279001725,0.683791418879,noiseWeight,0,1,99,Continuum,12
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,0,1,Mode,Continuum,12
6,0.552048181933,0.651881204655,0.676996914395,0.634785392535,0.640111364266,0.737927497527,0.7086798679,0.600456564924,0.585728591275,0.508320330754,0.47634411106,0.516831708794,0.460018632642,0.47192667809,0.481233747254,0.628452461443,0.574476250671,0.751414363783,0.727074514747,0.546246495654,noiseWeight,0,1,Median,Continuum,12
0,0.880777788985,0.884599931419,0.884764399968,0.877005224472,0.883581286586,0.883019096875,0.874547353622,0.878082548262,0.884007139584,0.876163133379,0.878598678378,0.881548586793,0.880566341895,0.87632129761,0.870419443444,0.875256419609,0.883267194691,0.878117627265,0.88692282223,0.870279770389,bcTime,0,1,1,Peak,12
1,0.889204844642,0.891500545373,0.891848317705,0.887011959787,0.890293400643,0.891544352307,0.885997765956,0.886832685766,0.890728363809,0.888252828446,0.887725611051,0.88942075514,0.887992257208,0.884982253645,0.885423045749,0.885635102208,0.890705405936,0.886783079227,0.891855961687,0.884034314807,bcTime,0,1,5,Peak,12
2,0.901128231901,0.899297342958,0.899739264045,0.897376078505,0.89790046324,0.900608044925,0.900042412333,0.896654268678,0.899510763465,0.900163416919,0.899000057293,0.89765074932,0.898728520311,0.897393314354,0.898015354827,0.90039788349,0.899577489227,0.897235222315,0.899748984819,0.898949957129,bcTime,0,1,90,Peak,12
3,0.901397180486,0.899297342958,0.899918603735,0.89782280776,0.898079452949,0.901325961172,0.900310781372,0.89692213003,0.899779612434,0.900342523513,0.899536935686,0.898008575154,0.899086395747,0.898107620006,0.89819396914,0.900755769097,0.899846340236,0.897771229653,0.900287145487,0.899217902799,bcTime,0,1,95,Peak,12
4,0.901845428128,0.900731236767,0.900456622804,0.899431033079,0.898974401489,0.903659188975,0.90084751945,0.898440011026,0.900586159341,0.901058949887,0.900431733006,0.900423899533,0.899533740043,0.899089790278,0.900337340898,0.901292597507,0.900473659257,0.899379251666,0.901991320936,0.900111055034,bcTime,0,1,99,Peak,12
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,0,1,Mode,Peak,12
6,0.89990281827,0.898321816387,0.898338220919,0.896317829457,0.896686159844,0.899606299213,0.898385565052,0.8955078125,0.898354307841,0.898832684825,0.897660818713,0.896452540748,0.89738625363,0.895874263261,0.896817743491,0.898734177215,0.898354307841,0.896078431373,0.8984375,0.897373478721,bcTime,0,1,Median,Peak,12
0,0.678638308646,0.690948461581,0.622717751007,0.51172461015,0.653971784186,0.577231994277,0.736123141412,0.661103879811,0.654573754066,0.664079776315,0.711421448239,0.66200155544,0.67748917424,0.75592940762,0.649443402916,0.768435018741,0.755478644889,0.731109968553,0.75165902616,0.647559393783,bcTime,0,1,1,Continuum,12
1,0.736939183897,0.750482000395,0.739478395563,0.592986976648,0.734754180715,0.647983724449,0.781027475487,0.735629257746,0.765628661062,0.733424248435,0.777179867908,0.729064251212,0.737645925201,0.827717171748,0.722259660923,0.838203686391,0.823639278754,0.778202402373,0.810430695061,0.722428501034,bcTime,0,1,5,Continuum,12
2,0.89989764753,0.898014338471,0.899031774559,0.895782340365,0.897068501165,0.899731971128,0.898102532448,0.896171077475,0.899114627778,0.899284223817,0.898488414414,0.897427351131,0.897841434,0.895854710581,0.896439459907,0.899305982526,0.898928958508,0.896783530855,0.899366058737,0.897509577061,bcTime,0,1,90,Continuum,12
3,0.900816429232,0.89877005335,0.900034729272,0.897022987181,0.898067871019,0.900451480248,0.899295436959,0.897420106156,0.900215019387,0.900201037751,0.899679381911,0.89867386964,0.898759220769,0.896636901716,0.897597900376,0.900181373589,0.899885293932,0.89771857918,0.900230347985,0.898669054385,bcTime,0,1,95,Continuum,12
4,0.903071620681,0.901457039587,0.902960013853,0.899891982945,0.900816138117,0.902450116694,0.90219249077,0.899418552045,0.902839030147,0.902201359062,0.902146386013,0.901499311593,0.901095405273,0.898027463733,0.900411255799,0.902544929456,0.901971843948,0.899758684616,0.902477500031,0.901070828844,bcTime,0,1,99,Continuum,12
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,0,1,Mode,Continuum,12
6,0.894632206759,0.891364964754,0.895108455699,0.877330716389,0.892678034102,0.893,0.891700404858,0.889001009082,0.894467213115,0.892624437124,0.893069306931,0.890088321884,0.892323030907,0.890927624873,0.890873015873,0.89552238806,0.894953656025,0.891,0.895418326693,0.891518737673,bcTime,0,1,Median,Continuum,12
0,-4.83290981193e-07,-4.71964372442e-07,-3.41414885172e-07,-6.90483144375e-07,-2.01814983399e-07,-3.55482052145e-07,-4.26868908222e-07,-2.87434633198e-07,-3.2696126322e-07,-7.7508738363e-07,-1.60038182259e-07,-3.85614377886e-07,-9.39623908727e-07,-2.95991307865e-07,-1.71464581569e-07,-8.57627122713e-09,-3.44268327742e-07,-2.59277724112e-07,3.09344533264e-08,-8.69757598236e-07,pol2,0,1,1,Peak,12
1,1.16343295134e-07,3.4915031524e-07,1.27654404025e-07,1.68322399465e-07,7.92776624841e-08,7.88313780919e-08,9.51280265129e-08,4.49550293505e-07,2.02321414012e-07,1.85668251087e-07,-3.60147226098e-08,2.67983903425e-07,3.10192209694e-07,3.85128317969e-07,-3.24616348546e-08,-8.57627122713e-09,1.28952984024e-07,1.8870923532e-07,3.32980941458e-07,-1.52290161781e-07,pol2,0,1,5,Peak,12
2,8.94050383141e-07,1.32043345636e-06,9.96203771991e-07,1.10578535578e-06,8.72061770204e-07,8.79946402659e-07,1.01049207281e-06,1.3268586526e-06,1.06389129768e-06,1.01238261144e-06,7.71186939527e-07,1.14960978175e-06,1.04898576208e-06,1.20133527214e-06,7.53102336874e-07,8.35309618365e-07,9.05435377993e-07,1.00475401463e-06,1.07536931171e-06,7.6527655533e-07,pol2,0,1,90,Peak,12
3,9.78625126787e-07,1.41466466213e-06,1.10650851835e-06,1.21307504249e-06,9.6282675284e-07,9.63350855304e-07,1.07951646087e-06,1.42482423105e-06,1.15794227155e-06,1.09427985665e-06,8.48328868793e-07,1.24851123097e-06,1.12721096175e-06,1.28434410631e-06,8.35539415683e-07,8.96753627867e-07,9.87294846889e-07,1.08970178898e-06,1.161584847e-06,8.53546410691e-07,pol2,0,1,95,Peak,12
4,1.09712162564e-06,1.59059632821e-06,1.26140298988e-06,1.34444186891e-06,1.09386288818e-06,1.06576287757e-06,1.16572504555e-06,1.56441735562e-06,1.31495624048e-06,1.20372918713e-06,9.43803740446e-07,1.38248718714e-06,1.25685521789e-06,1.42604605555e-06,9.42915903306e-07,9.58432604901e-07,1.10568229709e-06,1.23553741202e-06,1.3083098335e-06,9.52747906502e-07,pol2,0,1,99,Peak,12
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pol2,0,1,Mode,Peak,12
6,5.95414403487e-07,9.22170578134e-07,6.48877057543e-07,7.21256966002e-07,5.36449000941e-07,5.60530448414e-07,6.95954023358e-07,9.83027230891e-07,7.15634178105e-07,6.99605735548e-07,4.43219374788e-07,7.85815405619e-07,7.5102779125e-07,8.81445987878e-07,4.43398679307e-07,5.50360598038e-07,5.88775435062e-07,6.69794079591e-07,7.7876056718e-07,4.27417269893e-07,pol2,0,1,Median,Peak,12
0,-2.1443225973e-06,-2.0649768318e-06,-2.42578676863e-06,-5.92202874626e-06,-2.26850696889e-06,-2.95607603752e-06,-1.50694002276e-06,-2.0459692977e-06,-2.20700420723e-06,-2.36336040493e-06,-1.74914378044e-06,-2.20478016105e-06,-2.05171899457e-06,-1.01112546538e-06,-2.42843355947e-06,-1.12696968111e-06,-1.24022190705e-06,-1.48959016834e-06,-1.11009116756e-06,-2.5010238196e-06,pol2,0,1,1,Continuum,12
1,-1.123602161e-06,-1.08020838347e-06,-1.12265869871e-06,-2.50205190487e-06,-9.57478129396e-07,-1.52353194288e-06,-7.4875636632e-07,-1.07625830327e-06,-7.17849223974e-07,-1.17680176525e-06,-8.14761700028e-07,-1.07402270721e-06,-1.17675386955e-06,-4.04731699881e-07,-1.25837796886e-06,-4.54550743617e-07,-4.98761418283e-07,-7.49625271389e-07,-5.72855157814e-07,-1.0720139956e-06,pol2,0,1,5,Continuum,12
2,3.05589703037e-07,3.55245209185e-07,3.93056967896e-07,3.71296756452e-07,3.48824761267e-07,3.30515008272e-07,3.13139524316e-07,3.32909061503e-07,3.75720901952e-07,3.3520355208e-07,3.28396606283e-07,3.01735175486e-07,3.05849499419e-07,2.94734065858e-07,2.4524190955e-07,3.24399231091e-07,3.20931308062e-07,3.31780369018e-07,2.98871068688e-07,3.03328255686e-07,pol2,0,1,90,Continuum,12
3,4.03538549213e-07,4.70941540119e-07,4.8748653818e-07,5.15328365521e-07,4.49335565763e-07,4.39867720275e-07,3.96300458873e-07,4.19400678696e-07,4.74437500928e-07,4.36681718751e-07,4.12818975897e-07,4.17082092728e-07,3.95429935756e-07,3.71772065052e-07,3.34510976829e-07,4.04685741641e-07,4.08656160239e-07,4.28921072981e-07,3.87507518269e-07,4.03932814441e-07,pol2,0,1,95,Continuum,12
4,5.67733434477e-07,7.29233831626e-07,7.20025408181e-07,1.07342808966e-06,6.75674757749e-07,6.53623991369e-07,5.75785476736e-07,6.1319932303e-07,6.49454702607e-07,6.57261168823e-07,5.8666434329e-07,6.40264965159e-07,5.54317341259e-07,5.17667450661e-07,5.03586972564e-07,5.588917474e-07,5.41170877862e-07,6.2715875685e-07,5.41439869915e-07,6.19665829517e-07,pol2,0,1,99,Continuum,12
5,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,pol2,0,1,Mode,Continuum,12
6,-4.06563284868e-08,-5.27830984351e-08,-9.45704482376e-10,-1.33275496998e-07,-1.33035666433e-08,-5.50165890782e-08,-1.54390918164e-08,-3.51380146516e-08,1.85208557064e-08,-4.62984981923e-08,-4.81172662144e-09,-7.56435131732e-08,-3.53781186887e-08,2.54668315957e-08,-1.12738375762e-07,2.43334291247e-08,3.34830386916e-08,-2.47688624039e-08,-1.07651757568e-08,-5.90911759368e-08,pol2,0,1,Median,Continuum,12
0,-2.37265894157e-11,-3.38344102633e-11,-2.64713337074e-11,-2.87362117441e-11,-2.2171356345e-11,-2.30017983724e-11,-2.56053455196e-11,-3.1962893979e-11,-2.67875671484e-11,-2.56160834178e-11,-2.10311660784e-11,-2.91205361434e-11,-2.54326397423e-11,-2.83715198459e-11,-2.07245069922e-11,-2.21972836776e-11,-2.29933879895e-11,-2.54423039505e-11,-2.62734300154e-11,-2.12756925083e-11,pol3,0,1,1,Peak,12
1,-1.9803105179e-11,-2.87363035815e-11,-2.21077895982e-11,-2.42137457412e-11,-1.8613935301e-11,-1.91121135864e-11,-2.15332396826e-11,-2.83649870196e-11,-2.25114653982e-11,-2.19316926221e-11,-1.68421096705e-11,-2.4595630607e-11,-2.18806747934e-11,-2.46361009693e-11,-1.66278438261e-11,-1.85531021294e-11,-1.93711821253e-11,-2.11114062566e-11,-2.25019803765e-11,-1.70638916002e-11,pol3,0,1,5,Peak,12
2,-3.97503201868e-12,-8.1808448501e-12,-4.04459292719e-12,-4.62085749025e-12,-1.8492941425e-12,-2.52566508457e-12,-4.92843388057e-12,-1.03277978255e-11,-4.52544582387e-12,-5.35193404167e-12,6.94064017393e-13,-6.04015901722e-12,-6.7119535516e-12,-8.25746702972e-12,2.75035757773e-13,-1.73025308632e-12,-3.71173234238e-12,-4.44041650348e-12,-6.82565621176e-12,1.60072371664e-12,pol3,0,1,90,Peak,12
3,-2.20132012776e-12,-5.56657870743e-12,-2.34699856441e-12,-2.2948902765e-12,3.28742781482e-13,-9.82327095624e-13,-2.96554440461e-12,-7.65120920447e-12,-2.27929913959e-12,-3.38519200105e-12,2.82535947901e-12,-3.66974190697e-12,-4.62471641665e-12,-5.79410971644e-12,2.36835959528e-12,9.3865468684e-13,-1.89888740682e-12,-2.19784208117e-12,-4.61118517683e-12,4.06672841897e-12,pol3,0,1,95,Peak,12
4,1.73609433135e-13,1.21938872673e-12,-4.94837244085e-13,1.42100232282e-12,3.44678698795e-12,2.58804638225e-12,1.36230391613e-12,-6.14243274952e-13,1.81289935083e-12,1.81565681897e-12,7.7063636216e-12,1.31421201715e-12,2.41109381453e-13,1.37217361502e-12,6.30754987095e-12,6.63689749785e-12,3.24137641223e-14,1.96562060294e-12,-1.10710365652e-13,1.14566351132e-11,pol3,0,1,99,Peak,12
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,pol3,0,1,Mode,Peak,12
6,-1.05771737704e-11,-1.73839983311e-11,-1.13736594053e-11,-1.2934243297e-11,-8.91620757313e-12,-9.52388101658e-12,-1.20593663392e-11,-1.8450534572e-11,-1.24959200776e-11,-1.23511753338e-11,-6.97015322623e-12,-1.42587560905e-11,-1.33304820296e-11,-1.57321396142e-11,-7.02440570773e-12,-9.35714535961e-12,-1.02135546011e-11,-1.17308950203e-11,-1.40173630296e-11,-6.75826734239e-12,pol3,0,1,Median,Peak,12
0,-1.22719671911e-11,-1.58986095802e-11,-1.59289108766e-11,-5.17413916941e-11,-1.42254662718e-11,-1.44488921594e-11,-1.20060974205e-11,-1.30994820729e-11,-1.43803572189e-11,-1.42248844982e-11,-1.24771051156e-11,-1.3855788311e-11,-1.15768815522e-11,-1.1237057648e-11,-1.0925107839e-11,-1.21244132811e-11,-1.17586932183e-11,-1.33718397124e-11,-1.15247379354e-11,-1.32064037421e-11,pol3,0,1,1,Continuum,12
1,-8.54527168943e-12,-1.01547998779e-11,-1.0523430979e-11,-1.20467758774e-11,-9.39997369702e-12,-9.36469599133e-12,-8.42543077059e-12,-8.94357297015e-12,-1.02730733364e-11,-9.14094106422e-12,-8.70897500665e-12,-8.93313561172e-12,-8.19951568665e-12,-7.80864861079e-12,-7.09518745917e-12,-8.61992593533e-12,-8.61979045161e-12,-8.93847642705e-12,-8.23485825744e-12,-8.58975384073e-12,pol3,0,1,5,Continuum,12
2,1.47051879062e-11,1.4954949849e-11,1.2856543531e-11,3.01486742897e-11,1.09604142769e-11,1.9316151804e-11,1.07706441563e-11,1.3889178629e-11,9.46104864141e-12,1.5075765251e-11,1.04700939891e-11,1.46308255988e-11,1.55103132951e-11,6.28715431029e-12,1.58539084413e-11,6.92669360361e-12,6.89028546695e-12,1.06307802076e-11,8.38601561799e-12,1.27620297423e-11,pol3,0,1,90,Continuum,12
3,2.20261395827e-11,2.17132755221e-11,2.16938563876e-11,4.28069590829e-11,1.91910269231e-11,2.87644747281e-11,1.5283850232e-11,2.16125333048e-11,1.43811077237e-11,2.3418596627e-11,1.6514581393e-11,2.17612695275e-11,2.34180143951e-11,8.83930233184e-12,2.45995905797e-11,9.65032566083e-12,1.05467671328e-11,1.5415835577e-11,1.21658252554e-11,2.10638222102e-11,pol3,0,1,95,Continuum,12
4,4.08969042181e-11,3.92227855661e-11,4.39880310921e-11,7.50481078161e-11,4.42122266019e-11,5.39438987371e-11,2.90356033818e-11,3.99245650772e-11,3.98525544543e-11,4.51412560478e-11,3.43748807292e-11,4.3641165341e-11,3.97264627069e-11,1.93181337186e-11,4.74174727234e-11,2.16594174328e-11,2.3425144551e-11,2.96892807033e-11,2.26368533144e-11,4.76384465364e-11,pol3,0,1,99,Continuum,12
5,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,pol3,0,1,Mode,Continuum,12
6,1.01208057441e-12,1.23890027692e-12,2.04338265713e-13,2.86122152286e-12,4.90349947746e-13,1.3357885625e-12,5.42099491843e-13,9.51439341662e-13,-2.3313988292e-13,1.11476770506e-12,3.18007173686e-13,1.75475299288e-12,9.86323115448e-13,-2.76609690103e-13,2.401489062e-12,-2.32132547853e-13,-4.9555245167e-13,6.72605389949e-13,4.37507081728e-13,1.4137541318e-12,pol3,0,1,Median,Continuum,12
0,62.9671909053,63.8557542954,69.5103826466,66.605844677,76.6178639687,50.9560696167,75.3071502787,69.6329925314,63.0685359159,66.3580875893,63.3651007858,64.3848403076,69.6030928492,64.6161506881,62.7025881148,63.0520673116,68.7512814745,66.0100556119,58.0915999133,72.1310317557,fitSlo,0,1,1,Peak,12
1,69.7562084156,68.660692287,72.1627246276,83.6997494089,77.4264566864,65.4011827584,80.4071762637,79.8941378431,72.2003776493,73.3656746669,73.1746947418,88.538249977,76.6724778221,70.7403715225,79.8004580039,69.6769442799,75.9601954147,76.6015572607,65.7010991161,81.3854128319,fitSlo,0,1,5,Peak,12
2,110.391763223,88.3600331675,90.3686957168,110.306883759,96.9008764769,93.8378884555,129.50945176,113.545802912,106.054756741,112.403117149,116.689047419,112.3550672,112.837255465,117.104529251,112.527959647,137.561978756,105.733853135,121.503887976,98.7140274755,129.356067616,fitSlo,0,1,90,Peak,12
3,136.069579452,105.136596324,105.996257703,135.44159563,110.695663082,117.227971459,161.594425361,132.022534774,125.212903065,138.980123445,141.773253875,134.465708921,135.580284776,145.072957732,143.799063787,175.30249273,125.063017121,144.636103328,116.825019896,157.043147438,fitSlo,0,1,95,Peak,12
4,204.61675625,161.275645853,147.648192575,218.230850243,155.216972958,183.692860784,242.781674459,194.856763703,176.197285955,214.98202445,209.262802968,201.807411421,184.270533733,215.818665073,255.124668147,267.505348689,175.630808181,211.425971818,157.793333786,233.588288448,fitSlo,0,1,99,Peak,12
5,73.0,70.0,73.0,85.0,79.0,67.0,85.0,85.0,78.0,75.0,81.0,90.0,79.0,77.0,81.0,76.0,79.0,85.0,75.0,85.0,fitSlo,0,1,Mode,Peak,12
6,74.2127625799,70.5739060231,73.85568399,85.2755934082,79.0564258953,67.7013860228,85.7281973881,85.7025639863,78.5933657811,76.2440121244,81.365443852,90.3520862378,80.3213202288,77.6353622126,81.5618652178,76.8560590819,79.6824487011,85.2107920674,75.3516885235,86.0211986946,fitSlo,0,1,Median,Peak,12
0,56.6136100786,50.7563024072,55.1128207008,62.832962664,57.3537949633,46.8333305435,56.0095626717,60.4573131697,55.2017455327,56.1904294268,55.8896161785,58.7908961335,61.0953579864,58.9904233402,60.2741640171,56.6799956363,56.8604018674,60.4346254243,53.6280311308,61.8136090502,fitSlo,0,1,1,Continuum,12
1,64.6743162298,62.0075461546,65.2596619278,76.919038626,69.7479499115,58.5744661045,71.1202064098,72.0641108692,65.9453027799,65.9991158643,67.6572143716,77.9119266845,70.4249665897,66.6311373053,73.1893422733,65.1788058563,67.3595556088,70.6592697513,62.5529291555,73.5260830314,fitSlo,0,1,5,Continuum,12
