,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,448.741247362,437.334134992,486.134172,587.154059866,483.315069235,522.06901673,671.285552402,524.338001075,542.811104524,573.531883705,521.5640631,473.250922565,477.822666,374.34756468,555.316421457,0,413.307234915,434.862324827,544.643136278,456.821411578,594.848477114,bcMax,5,1,1,Peak,7
1,476.427779989,474.023802226,525.57386879,629.196783613,514.697116837,558.316656018,716.503464144,559.659091903,586.759279229,613.901207982,557.244122923,503.55301801,506.499886799,395.108481118,604.005959795,0,445.085119794,462.286508005,583.613208616,491.017201587,644.31603709,bcMax,5,1,5,Peak,7
2,740.774554421,740.900664814,873.641072387,1055.16811652,823.250675777,1123.11901404,1131.21918921,868.543971909,947.385444237,976.094089374,859.944153227,770.391333379,842.953442181,590.537907851,988.064186585,0,640.432444843,678.361522042,941.60380889,762.20409293,1050.41670399,bcMax,5,1,90,Peak,7
3,786.543439696,808.412350296,969.626840477,1120.5884427,876.06614983,1248.57666102,1200.70773955,921.642051307,1004.14137271,1041.08522135,918.456355454,817.366499606,954.174555282,660.183862194,1041.25880676,0,666.605866389,735.27609398,1001.6861474,805.917597852,1126.11140425,bcMax,5,1,95,Peak,7
4,888.413983188,982.890602385,1144.01682508,1252.90752051,994.498632505,1404.15969185,1322.86659688,1028.22635396,1136.40445087,1167.67437398,1027.66365353,914.706792508,1163.36325511,779.26847888,1166.88128112,0,716.006032883,856.430875829,1153.14370905,911.428266031,1284.96760629,bcMax,5,1,99,Peak,7
5,519.0,523.0,568.0,737.0,602.0,609.0,808.0,655.0,656.0,663.0,630.0,556.0,539.0,459.0,676.0,0,548.0,574.0,661.0,581.0,725.0,bcMax,5,1,Mode,Peak,7
6,577.855680768,585.853861133,665.683845548,811.215194394,642.16638203,704.510204556,900.964432781,691.503710387,748.597864781,777.31816972,688.856169603,629.392395661,631.439138771,472.129029541,774.303741267,0,540.852921009,556.543617638,742.30334867,598.761463023,826.262600826,bcMax,5,1,Median,Peak,7
0,391.297788382,356.39079628,423.196932029,513.570117762,407.930384527,468.03149181,609.592092578,458.744747483,503.955627441,524.525213692,438.784222843,401.086253134,404.045837542,326.564308453,506.504879685,0,332.361960762,366.965992632,482.39191985,388.178210833,534.13819657,bcMax,5,1,1,Continuum,7
1,420.293565033,380.133770726,453.510607928,562.796849027,436.687447055,501.560616694,660.997743281,497.173279495,549.816700002,570.186633129,469.368078971,427.778539174,432.578752045,344.890886979,548.311776537,0,347.504848553,387.484249504,522.294183159,412.969555908,585.828509217,bcMax,5,1,5,Continuum,7
2,748.55767868,639.465948972,782.242404587,935.548926537,702.580635226,1081.85136775,1015.54151181,763.90846509,874.970925838,883.839943607,730.184053756,650.072383731,711.025250249,546.895083994,907.594801977,0,485.437799284,567.919171354,826.382063402,648.194983354,957.591348942,bcMax,5,1,90,Continuum,7
3,828.229560396,769.101362418,889.269698976,1001.37729032,753.140437973,1184.44320096,1081.09969512,812.287241999,931.49917487,947.909369833,780.982132388,728.507575054,827.896602627,628.077708533,969.263979326,0,530.820713753,694.343639879,887.941317207,699.356367648,1024.13519971,bcMax,5,1,95,Continuum,7
4,1032.3970703,995.610565655,1113.90547651,1156.90402685,854.510649674,1317.64858297,1204.82022213,915.769788919,1054.67781119,1073.33881869,905.877150006,937.972097619,1025.15459704,738.860846141,1104.85607965,0,668.79941339,857.175154719,1016.17740134,794.838128279,1162.65505232,bcMax,5,1,99,Continuum,7
5,476.0,450.0,552.0,761.0,517.0,622.0,805.0,630.0,677.0,701.0,530.0,498.0,482.0,389.0,736.0,0,398.0,427.0,594.0,522.0,705.0,bcMax,5,1,Mode,Continuum,7
6,522.739786001,466.532159066,581.524303106,728.099123413,549.312721363,636.13412658,830.12952279,619.207013964,701.167591225,724.974485665,576.958907881,519.947804772,534.034291335,413.460140325,710.737794953,0,403.516386907,454.405982423,663.978840403,517.277841619,761.764617675,bcMax,5,1,Median,Continuum,7
0,0.299716656747,0.264906399785,0.234437330194,0.212629654518,0.262304516552,0.200732430142,0.210613077325,0.255103495763,0.245441795221,0.222869986308,0.259853525209,0.290937156668,0.222777933634,0.334503000498,0.239098470453,0,0.368685143403,0.308870938404,0.248514243692,0.288452224869,0.221023650201,noiseWeight,5,1,1,Peak,7
1,0.336159838714,0.322286703795,0.2770677948,0.237446176286,0.297449715976,0.225150793424,0.231337867686,0.28522409005,0.277634515841,0.249809863984,0.291243174596,0.325422421813,0.271610783613,0.395490531374,0.268503684495,0,0.396776284261,0.360028004131,0.286636730586,0.32627434754,0.252735437143,noiseWeight,5,1,5,Peak,7
2,0.537531780101,0.528626277014,0.490971683316,0.403657535864,0.486312921054,0.491980488966,0.372214386155,0.452925743127,0.454080718895,0.407342657223,0.465121580809,0.505363046558,0.492479770893,0.639385211668,0.442892404735,0,0.568158015188,0.554132527803,0.4703699193,0.51701366474,0.42097288255,noiseWeight,5,1,90,Peak,7
3,0.554585320381,0.550293079809,0.511222197844,0.423447926641,0.505701919293,0.506434584651,0.38796132263,0.469470300829,0.474869376122,0.423591545335,0.481039170756,0.528532135203,0.510916663232,0.660176415376,0.463240967008,0,0.594548224582,0.5720131403,0.49141713548,0.536965286866,0.442529565465,noiseWeight,5,1,95,Peak,7
4,0.593831824038,0.59610551453,0.553351618791,0.455908355958,0.539706589409,0.545464581445,0.414184526761,0.500105438776,0.51363527217,0.453682078875,0.514048931079,0.562972672377,0.542475307776,0.700483628964,0.506712895501,0,0.639854853599,0.607579481234,0.527942654609,0.577682883043,0.479007285705,noiseWeight,5,1,99,Peak,7
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,noiseWeight,5,1,Mode,Peak,7
6,0.456938645395,0.444860074754,0.403399470677,0.328613961215,0.405387352037,0.399964809438,0.308595165578,0.38003897462,0.372509889676,0.334713705507,0.388737646749,0.422650519664,0.41046720047,0.551684746723,0.36167995277,0,0.488240090276,0.47495522268,0.386833140976,0.439279875312,0.344891775532,noiseWeight,5,1,Median,Peak,7
