,1106,1110,1120,1124,1128,1170,1172,1174,1176,1204,1208,1298,1302,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,411.394710275,0,414.791764464,396.966413761,415.432899648,409.627845445,372.29742605,460.230000077,387.515916715,340.62745199,392.001247724,542.27134636,0,510.292750022,474.975796037,bcMax,5,2,1,Peak,7
1,440.889089349,0,451.439828823,425.997837451,459.11069193,449.486899519,398.646996906,499.347877522,420.028340982,356.068530478,420.955977985,575.26093813,0,548.153501682,515.98342686,bcMax,5,2,5,Peak,7
2,589.294698765,0,682.027482092,592.155256777,674.012770764,653.45407682,571.741806244,734.257476044,623.0189551,490.401411547,593.212085127,860.320627615,0,806.718721444,770.024908153,bcMax,5,2,90,Peak,7
3,621.590219985,0,724.025180008,620.481244004,713.469599927,685.980011153,602.153168654,791.180732188,662.429667646,512.865254594,628.055913068,988.494652497,0,1006.24406497,975.458888819,bcMax,5,2,95,Peak,7
4,698.978637331,0,816.198751274,669.319153015,769.810281569,772.380720355,661.882334211,956.487486703,763.076824507,563.870333097,716.119734858,1292.55832128,0,1325.4846146,1259.50402278,bcMax,5,2,99,Peak,7
5,508.0,0,564.0,472.0,528.0,537.0,469.0,566.0,492.0,429.0,509.0,675.0,0,638.0,586.0,bcMax,5,2,Mode,Peak,7
6,508.287645451,0,562.865031014,502.552533622,571.108447084,557.679209555,484.546646353,604.114665432,514.823089102,426.338194132,501.8416651,685.169295647,0,647.581966374,616.50357349,bcMax,5,2,Median,Peak,7
0,297.397088945,0,315.744949411,321.113768409,324.54272179,293.122969693,283.607092728,364.610208926,299.045821748,259.188368641,297.901901403,457.900613637,0,388.645631981,361.119809528,bcMax,5,2,1,Continuum,7
1,310.651925183,0,336.678489189,335.648417495,341.005648642,306.832878581,294.858981677,389.862512901,314.050145966,266.966518648,315.416261318,479.717778138,0,411.482404894,380.560844256,bcMax,5,2,5,Continuum,7
2,444.862335993,0,516.048348006,467.017635192,468.211234636,428.734473153,401.544952142,609.838138638,458.906178924,327.115479462,454.213312582,995.039203647,0,745.177151288,1987.48850863,bcMax,5,2,90,Continuum,7
3,485.457868923,0,559.608927409,490.813299625,500.482064725,465.522058586,430.596652036,675.381896511,505.119497517,338.519300987,498.296786444,1500.43381931,0,1173.08443993,2219.74209145,bcMax,5,2,95,Continuum,7
4,582.895458195,0,631.253379278,534.803122522,562.097952758,568.929347913,501.720632346,845.470192839,625.368438756,364.890638263,609.24940629,2757.3206662,0,3209.81198909,2669.40877256,bcMax,5,2,99,Continuum,7
5,338.0,0,384.0,387.0,381.0,340.0,313.0,433.0,346.0,282.0,348.0,561.0,0,446.0,415.0,bcMax,5,2,Mode,Continuum,7
6,359.615663706,0,403.008221643,400.107675133,399.891698238,352.234697533,331.973377021,474.975411063,367.589368078,291.383679863,369.186532445,565.778785009,0,497.924140383,486.192059036,bcMax,5,2,Median,Continuum,7
0,0.38610755764,0,0.325466466361,0.392689921172,0.34808111221,0.329834314263,0.3981107112,0.282180537011,0.341683096026,0.470840896898,0.367873340635,0.214418103344,0,0.202491684894,0.211934262252,noiseWeight,5,2,1,Peak,7
1,0.434598445724,0,0.366917229337,0.423949931677,0.375661926084,0.370976853733,0.437573854072,0.341397987694,0.392967084878,0.517915569096,0.419165881907,0.278623465266,0,0.266156464805,0.273097464008,noiseWeight,5,2,5,Peak,7
2,0.591869116229,0,0.562370827015,0.59890864099,0.552981485825,0.539407178616,0.634489217706,0.516606005721,0.597414309031,0.714475272786,0.605373020612,0.462814593718,0,0.472415927978,0.499292240327,noiseWeight,5,2,90,Peak,7
3,0.612272090344,0,0.588771312964,0.618811208232,0.585376405393,0.567210153625,0.661541488109,0.541187704486,0.620937130364,0.747453768769,0.626292118482,0.479744365767,0,0.48880289776,0.517079069918,noiseWeight,5,2,95,Peak,7
4,0.655729884018,0,0.641672286702,0.663754233715,0.646054195916,0.622571789277,0.708897259555,0.587168855834,0.67312176778,0.782726991112,0.672857486988,0.509571110392,0,0.523339738718,0.561630044037,noiseWeight,5,2,99,Peak,7
5,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,noiseWeight,5,2,Mode,Peak,7
6,0.530991071477,0,0.47248377629,0.524184431056,0.469752329649,0.456939474822,0.544120745479,0.446801901814,0.506479165646,0.624224449807,0.525091638972,0.402523211191,0,0.413676812776,0.432618444884,noiseWeight,5,2,Median,Peak,7
0,0.445788804292,0,0.40978264575,0.474116995664,0.462229394033,0.433166012074,0.507338767493,0.308123728499,0.40425541039,0.710939669718,0.422670766661,1.12613099115e-05,0,0.0274797237032,-0.00474460884018,noiseWeight,5,2,1,Continuum,7
1,0.53197861888,0,0.461426050145,0.519249576467,0.525865350267,0.533749088656,0.588799914811,0.387702847014,0.502319262589,0.764619802749,0.515932462904,0.0447233754017,0,0.209912570572,0.00992131022484,noiseWeight,5,2,5,Continuum,7
2,0.821412361859,0,0.745237413415,0.738056055966,0.761140097936,0.794913398691,0.849823516847,0.653172933318,0.792364356091,0.966010368954,0.800984590204,0.546273537323,0,0.608066214962,0.642563176485,noiseWeight,5,2,90,Continuum,7
3,0.844362738197,0,0.775054171424,0.763484737186,0.792272343766,0.816507108139,0.868052055847,0.679567987479,0.816966703789,0.991139156061,0.826547284054,0.567822840105,0,0.634705873794,0.676196471324,noiseWeight,5,2,95,Continuum,7
4,0.883140960287,0,0.827347178389,0.812744486145,0.855839726771,0.857654730378,0.902013109836,0.737254406487,0.867691768985,1.08282770543,0.877672671754,0.606905602222,0,0.696307179121,0.969596785133,noiseWeight,5,2,99,Continuum,7
5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,0.0,noiseWeight,5,2,Mode,Continuum,7
6,0.724143854318,0,0.643731365386,0.638289074323,0.660874667644,0.70579691368,0.76872669375,0.553863147545,0.692117847716,0.890303103152,0.700148667296,0.461131973009,0,0.504377157815,0.47111521413,noiseWeight,5,2,Median,Continuum,7
0,0.890646081076,0,0.884753046214,0.883050695539,0.880679504585,0.885864415753,0.881427029965,0.883036012802,0.878551997199,0.876721886777,0.884330227987,0.894974386057,0,0.897182736092,0.884832076763,bcTime,5,2,1,Peak,7
1,0.899057111142,0,0.892292642543,0.891756091713,0.890456280136,0.893864975592,0.889954682589,0.891466667892,0.889871614757,0.889087246076,0.892409838014,0.901317503402,0,0.903172603062,0.896322970622,bcTime,5,2,5,Peak,7
2,0.907649023575,0,0.900819566963,0.900999966001,0.900860922007,0.901685747568,0.902521749613,0.900076698622,0.903706702883,0.900377356741,0.901028088708,0.909019860179,0,0.910251536754,0.910256810421,bcTime,5,2,90,Peak,7
