,1106,1110,1120,1124,1128,1170,1172,1174,1176,1204,1208,1298,1302,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,419.9264504,0,447.068422012,404.449748821,405.315775524,419.532967555,389.470133698,496.135139296,411.170138809,342.57200622,428.121811796,563.061431929,506.157120391,526.140078875,0,bcMax,5,2,1,Peak,13
1,454.109388391,0,483.943476503,430.534039396,444.797831156,458.80551393,419.157040723,536.481833099,444.467555136,363.984829668,461.242414922,600.282420703,531.222522381,563.069255024,0,bcMax,5,2,5,Peak,13
2,640.814466657,0,684.955978931,578.095067188,620.857298118,687.030877765,610.294197709,817.288931941,674.427836641,498.690128763,677.358976102,914.123030596,797.301405046,889.799939867,0,bcMax,5,2,90,Peak,13
3,682.98130885,0,712.08459646,606.000437598,644.862839812,723.524706235,643.747354133,871.477192231,723.761876272,515.011155552,720.594623758,1010.30544932,882.212308238,965.750140924,0,bcMax,5,2,95,Peak,13
4,779.911819866,0,760.195989104,657.044234145,693.664693984,800.711314675,709.712104631,1009.30385427,832.712981164,545.652860443,822.053454563,1311.37249261,1186.26008386,1116.12188433,0,bcMax,5,2,99,Peak,13
5,519.0,0,574.0,498.0,534.0,572.0,522.0,638.0,490.0,411.0,527.0,646.0,642.0,689.0,0,bcMax,5,2,Mode,Peak,13
6,530.619255681,0,593.875453752,503.122173494,533.123368298,585.511540726,512.321498125,652.646465643,547.09180281,431.687722487,556.916744385,719.738022424,642.272534327,696.022379202,0,bcMax,5,2,Median,Peak,13
0,327.55777554,0,339.820667113,320.108278815,298.127919933,314.03667809,312.173114152,419.847385788,339.321156742,260.215618184,357.887126655,492.968938727,471.424025077,423.290961053,0,bcMax,5,2,1,Continuum,13
1,347.461448647,0,357.761095044,333.022297074,308.883457612,332.136791683,327.308671257,453.978215388,360.894814819,267.611458429,383.522349629,529.097253669,501.886498755,457.994418524,0,bcMax,5,2,5,Continuum,13
2,509.126106453,0,471.062135006,421.248342311,390.70770433,476.761113949,451.92475809,710.476571165,534.317607134,331.604279534,561.738419747,795.80922574,753.345597512,769.278147717,0,bcMax,5,2,90,Continuum,13
3,548.886620496,0,492.555557222,436.255458332,416.513525636,514.418179546,482.658347657,775.053652169,576.582364549,343.951572147,599.217115735,914.89604537,862.909919113,858.375958047,0,bcMax,5,2,95,Continuum,13
4,660.066196866,0,539.226988317,482.066654605,465.697703148,624.431552893,559.303127109,976.089409848,712.104162106,369.335600108,721.035695309,1202.10096919,1104.52619029,1002.77585755,0,bcMax,5,2,99,Continuum,13
5,404.0,0,399.0,360.0,341.0,364.0,375.0,565.0,425.0,285.0,449.0,628.0,606.0,525.0,0,bcMax,5,2,Mode,Continuum,13
6,417.755944563,0,413.080624992,375.210776773,342.685115089,392.957870087,382.167247304,568.206398233,437.882800571,292.919148748,466.746771061,644.777695646,611.97415425,589.964795627,0,bcMax,5,2,Median,Continuum,13
0,0.346404773637,0,0.349660575336,0.400773993742,0.386530444787,0.318322261879,0.370878765445,0.267511518825,0.312624038506,0.488327674772,0.32025751112,0.211243085737,0.228432829884,0.241087003743,0,noiseWeight,5,2,1,Peak,13
1,0.394992277701,0,0.373187182384,0.434472699679,0.415656748763,0.352136641281,0.409229121673,0.310042373691,0.360154401817,0.517429043056,0.365502581971,0.274436355016,0.306709177967,0.278430444873,0,noiseWeight,5,2,5,Peak,13
2,0.57410722912,0,0.524313289576,0.589443474173,0.575137799751,0.523529132957,0.604821347515,0.48617466143,0.563125921966,0.70852802812,0.551325310797,0.445750870082,0.493140633503,0.459773061447,0,noiseWeight,5,2,90,Peak,13
3,0.594437805502,0,0.549804440186,0.611891247791,0.603894078086,0.554644045096,0.628783558812,0.503221096246,0.586742261147,0.733231856307,0.571575537102,0.462081280147,0.509944756421,0.47796704076,0,noiseWeight,5,2,95,Peak,13
4,0.642562081243,0,0.594893110721,0.650890873764,0.662781015707,0.607117899967,0.677032526027,0.545879799374,0.634074167826,0.779147348488,0.616086904102,0.491878473867,0.534807999514,0.510692316463,0,noiseWeight,5,2,99,Peak,13
5,1.0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,noiseWeight,5,2,Mode,Peak,13
6,0.508691989389,0,0.447719281779,0.523166068685,0.503364302917,0.435046628569,0.514379073719,0.413767013199,0.476408250921,0.617585388536,0.473136867976,0.385039779374,0.421326511489,0.386278919448,0,noiseWeight,5,2,Median,Peak,13
0,0.390475658175,0,0.474654490371,0.517603630695,0.563478692511,0.39526457097,0.448812267154,0.271164958552,0.360301668033,0.692450562572,0.358152932469,0.223749648574,0.231683268958,0.25761097442,0,noiseWeight,5,2,1,Continuum,13
1,0.469796075801,0,0.519306124091,0.573043908682,0.633222002141,0.481856755341,0.524598811163,0.336163102665,0.439138033988,0.749825961859,0.427705123255,0.296981582722,0.302223314494,0.305575197015,0,noiseWeight,5,2,5,Continuum,13
2,0.724708869545,0,0.705257949365,0.747639410999,0.855568071469,0.728048958338,0.757788177346,0.556439972581,0.683850456849,0.961035246637,0.650214414109,0.493861835088,0.50602991883,0.545023047557,0,noiseWeight,5,2,90,Continuum,13
3,0.752918792265,0,0.727680414783,0.767291748345,0.886826897181,0.751934237447,0.780090299868,0.583030122445,0.71250177577,0.9872690995,0.676707738234,0.514284743211,0.525891132146,0.573904228282,0,noiseWeight,5,2,95,Continuum,13
4,0.801150723629,0,0.773169669337,0.805217311645,0.965837898857,0.801700600657,0.818051359479,0.633013792136,0.764436061223,1.06088450294,0.728828591578,0.552908820498,0.562034175279,0.623221527196,0,noiseWeight,5,2,99,Continuum,13
5,1.0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,noiseWeight,5,2,Mode,Continuum,13
