,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,365.567563427,291.251465138,336.634874368,367.466297947,335.43689815,331.156483247,355.549659364,362.820429893,356.506633111,354.139424617,376.602156337,341.853242737,346.537704707,325.43751974,350.565693762,361.681592059,bcMax,1,1,1,Peak,8
1,400.997200237,306.663872355,366.647655794,394.882029309,363.809768587,358.318345896,386.339924201,395.598295055,384.631969268,385.379153768,409.522209857,369.163345554,379.773278332,355.427681585,376.875741182,394.046023549,bcMax,1,1,5,Peak,8
2,557.936238005,399.69808832,532.942475119,926.413064786,656.444243154,651.858060713,538.32695717,562.908363802,627.49729806,643.436512743,587.865800769,528.376453729,519.163558587,524.834133779,608.414985654,594.404933583,bcMax,1,1,90,Peak,8
3,581.046949372,417.573495238,555.992291255,1002.58475054,709.022540281,700.433839975,560.867198893,587.313067146,668.104292275,698.464292533,614.819760447,552.668071497,537.037754388,554.017598233,651.453026186,631.868239021,bcMax,1,1,95,Peak,8
4,639.434583598,451.45840021,608.14250026,1119.08262287,789.973707846,763.943008452,603.001245512,631.374278416,731.733011354,778.999741081,668.354798937,595.74137401,571.695677812,630.511492053,713.979990732,688.385231324,bcMax,1,1,99,Peak,8
5,455.0,347.0,447.0,433.0,397.0,414.0,470.0,482.0,465.0,442.0,530.0,419.0,438.0,449.0,439.0,478.0,bcMax,1,1,Mode,Peak,8
6,482.64308472,351.440128139,448.262191579,506.632947253,458.938518613,427.446299903,466.442363398,481.980375659,471.530555725,483.818690143,505.452946254,454.869186316,456.40415094,441.878279611,462.534648309,481.928966777,bcMax,1,1,Median,Peak,8
0,260.908781793,240.347564622,252.884798744,279.771649853,250.296607456,250.804277728,259.117167627,261.719149298,260.632994695,263.61312601,276.389921646,258.754434851,271.256871923,240.921871724,245.534842255,255.179300115,bcMax,1,1,1,Continuum,8
1,268.773061522,248.208429696,261.498462479,289.501502238,258.456540605,257.762269415,268.175453177,273.143771566,270.637997215,274.604096476,285.795600808,266.422113219,283.648983798,250.537719659,256.298336963,265.931370704,bcMax,1,1,5,Continuum,8
2,366.591773775,328.890615709,371.524557848,849.23458568,548.768828856,555.079085247,365.543666482,367.534551325,513.129933285,529.250315836,406.704684304,354.583817742,383.886610804,359.675894804,484.255240107,463.874564955,bcMax,1,1,90,Continuum,8
3,419.30758493,350.33777908,386.362939517,917.743409323,583.357878815,591.105002731,378.278746904,391.725844861,538.314939627,552.688891409,424.261952073,375.728021725,402.741084747,399.294547425,511.266291467,496.413725945,bcMax,1,1,95,Continuum,8
4,456.474386392,382.833481157,422.36536216,1017.97421745,638.301428684,642.328638899,402.044211944,430.335562284,578.119324652,594.754734199,466.974800971,414.165993803,433.277520887,504.831026878,552.969717733,547.546693217,bcMax,1,1,99,Continuum,8
5,283.0,268.0,270.0,306.0,274.0,274.0,297.0,298.0,305.0,296.0,298.0,291.0,306.0,264.0,276.0,277.0,bcMax,1,1,Mode,Continuum,8
6,312.924456697,283.161117451,307.529224113,357.577388814,291.505040245,286.287799465,311.495718086,317.042261567,317.663064458,327.018188007,340.174075175,303.527664554,331.961231327,280.981831945,299.699566866,316.171049894,bcMax,1,1,Median,Continuum,8
0,0.412802483901,0.588246311048,0.463612735054,0.234576033332,0.337442200006,0.34260427218,0.444912578864,0.41517387899,0.360348477566,0.334075076351,0.399976864608,0.449030825295,0.457653987316,0.420367424113,0.369382997389,0.389789603756,noiseWeight,1,1,1,Peak,8
1,0.454249155121,0.636525812657,0.507377217802,0.26155721635,0.37656786395,0.373763331723,0.478095492683,0.446017547844,0.394568296034,0.373298399668,0.435676017959,0.484482907065,0.488074024305,0.478373401039,0.404677296613,0.425393563194,noiseWeight,1,1,5,Peak,8
2,0.629259021357,0.845840313213,0.739435394558,0.633957947622,0.701334515569,0.700463131498,0.6672867211,0.635979956953,0.661778958374,0.649806161921,0.622388256515,0.690457613053,0.662425338511,0.712824871656,0.665750449026,0.650614700747,noiseWeight,1,1,90,Peak,8
3,0.658023818212,0.867228984873,0.770230159774,0.664613806684,0.734018038471,0.7309167029,0.694149079906,0.663710433062,0.685977665277,0.677195819704,0.654007506625,0.726539394322,0.690528819578,0.745916387127,0.699649257012,0.682855419717,noiseWeight,1,1,95,Peak,8
4,0.721144965619,0.911246251187,0.838736872889,0.714549130477,0.796075360436,0.791177148243,0.754133577962,0.72378352268,0.740296645007,0.736586375832,0.71282611167,0.784471748192,0.756184891396,0.81395203187,0.752154614836,0.743045826715,noiseWeight,1,1,99,Peak,8
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,1,1,Mode,Peak,8
6,0.54698960809,0.75653105043,0.629598197621,0.518144816974,0.581104453737,0.612629417737,0.574726238331,0.544222413771,0.559526716297,0.539033509749,0.529828084532,0.5892038708,0.574752724128,0.599636716474,0.570295269022,0.557499317684,noiseWeight,1,1,Median,Peak,8
0,0.566796512775,0.672048296006,0.654806392117,0.249091185436,0.406728216852,0.394895024991,0.64748930868,0.599341774761,0.44945060343,0.426665151021,0.554603467183,0.625272297274,0.567532434048,0.520717713338,0.465586388508,0.478702369711,noiseWeight,1,1,1,Continuum,8
