,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,381.544835238,286.746966144,349.436607557,419.128381386,354.338066918,351.657326776,376.979881593,356.62010981,377.999024397,403.461823855,403.291331521,350.140492763,347.2805541,351.200086552,354.436044534,375.949221692,bcMax,1,1,1,Peak,14
1,417.972114333,303.569426733,376.282474611,453.994422985,381.266520005,377.131375958,408.13905472,391.55321069,409.435318346,433.251564991,437.167814793,378.663547467,378.705563839,378.62005501,393.693091786,416.137802039,bcMax,1,1,5,Peak,14
2,649.104265312,446.052767498,594.117510135,1077.26893933,834.51635028,711.090688994,617.987885951,584.715818432,795.828374837,842.092544655,691.177035375,583.273893243,576.710934941,604.821327224,692.817341394,707.312803305,bcMax,1,1,90,Peak,14
3,1498.32852326,1007.57490026,913.89711094,1164.78622557,891.189752822,762.160381866,821.539284296,620.018861379,866.081657836,901.886341611,781.986619812,634.519605332,906.673537205,645.385642056,741.467179092,887.846895544,bcMax,1,1,95,Peak,14
4,1687.49474453,1135.1935668,1056.77290729,1301.78511629,964.349963378,820.039367122,1001.47530932,690.942040474,975.903667348,1017.75914766,923.675333118,719.343764283,1056.91567448,711.915428001,796.619717868,1027.63326197,bcMax,1,1,99,Peak,14
5,481.0,333.0,470.0,526.0,428.0,407.0,474.0,477.0,458.0,489.0,531.0,469.0,481.0,481.0,465.0,481.0,bcMax,1,1,Mode,Peak,14
6,510.090127315,353.092604166,464.844384303,592.190470524,473.541429931,448.629996643,497.931190148,481.152859742,506.764637309,548.149015733,543.687046193,471.700343438,470.658756446,474.478056668,486.727272093,516.162473044,bcMax,1,1,Median,Peak,14
0,282.478243609,237.461892697,268.382071455,334.597331145,270.979809834,267.963418096,276.925986649,266.181127069,292.178937462,320.252623217,305.609627355,267.970440153,266.172983793,267.606982525,264.319185443,273.644343719,bcMax,1,1,1,Continuum,14
1,295.66266743,248.924413337,278.364345004,376.34335708,280.528027019,277.899225055,288.891884625,275.820586157,307.602299529,340.619619885,318.937012638,276.693938307,278.517817774,278.89570464,280.198224387,288.300556925,bcMax,1,1,5,Continuum,14
2,474.384856998,382.840203257,448.499719806,1003.65552032,739.536867734,617.114664636,442.492594215,427.870160984,679.924596703,730.782568091,527.857104334,421.06991973,429.757542636,486.320688527,579.237320587,550.190268319,bcMax,1,1,90,Continuum,14
3,1430.59740239,999.509835023,854.341528784,1085.86554452,777.440396563,646.872156833,766.607349958,477.495524436,768.608928589,795.134915995,676.05762868,511.393603973,849.109691965,518.749339698,620.145210548,808.95652444,bcMax,1,1,95,Continuum,14
4,1626.31284933,1104.21017599,939.44041079,1208.8600739,823.387575021,693.805114326,855.48865944,528.469618788,856.124823955,880.222338819,760.553251374,583.978117327,941.230689266,575.827148146,681.143957709,892.028421426,bcMax,1,1,99,Continuum,14
5,337.0,273.0,294.0,468.0,321.0,292.0,309.0,301.0,353.0,397.0,351.0,297.0,315.0,302.0,305.0,298.0,bcMax,1,1,Mode,Continuum,14
6,348.070700836,288.307145543,332.726670574,489.203640836,323.675547789,313.202501252,341.980587808,325.894078269,368.99375306,418.560275013,390.181550373,322.654742973,335.80890193,323.161801489,334.188826098,366.727301045,bcMax,1,1,Median,Continuum,14
0,0.156288551412,0.233901879524,0.267431056028,0.201428545363,0.276638987348,0.319045280751,0.267380823812,0.379255384216,0.271214459143,0.256136435787,0.291738137961,0.372131375078,0.248442264539,0.37164207772,0.33047053568,0.261709085644,noiseWeight,1,1,1,Peak,14
1,0.176426803239,0.264204537015,0.308421934171,0.225244797677,0.299596065148,0.343432551495,0.326063602422,0.423055055906,0.305984242133,0.289043363374,0.344428202029,0.421468807403,0.289411878632,0.409886477393,0.355321556593,0.302824617262,noiseWeight,1,1,5,Peak,14
2,0.601757470179,0.852770528249,0.72182295522,0.554957868705,0.674579674767,0.67099793809,0.631486750432,0.644794462909,0.61778903614,0.573585899315,0.588875548443,0.674026649077,0.663233072509,0.667262528939,0.639993535751,0.616890286995,noiseWeight,1,1,90,Peak,14
3,0.63151533337,0.876002565659,0.750963118592,0.578206026927,0.700561685172,0.694941803912,0.656554103582,0.670092056858,0.646942554623,0.601016276001,0.617430819423,0.707531035212,0.691572157905,0.699843254157,0.669738630804,0.646353025617,noiseWeight,1,1,95,Peak,14
4,0.692244749037,0.927012039103,0.807354200954,0.626057029283,0.753714072361,0.744714006477,0.710831740634,0.736676694655,0.702135117636,0.647733636295,0.66864739086,0.766178535896,0.753928759667,0.754961900404,0.743530393118,0.714539674587,noiseWeight,1,1,99,Peak,14
5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,1,1,Mode,Peak,14
6,0.516997160113,0.752457425702,0.60706602172,0.443361060199,0.563558349567,0.583921760107,0.538229324762,0.544857440841,0.522478207305,0.475372925082,0.495254057281,0.568087315127,0.557776502934,0.557950221487,0.541270872444,0.520508373157,noiseWeight,1,1,Median,Peak,14
0,0.156359027569,0.230555748603,0.293825657131,0.205443104818,0.312623861325,0.365547485532,0.302337107877,0.489537771522,0.2984041405,0.276361794462,0.346996526877,0.441470475312,0.266066604336,0.446994024798,0.371147731817,0.29324510288,noiseWeight,1,1,1,Continuum,14
1,0.178838799738,0.259424230477,0.321799663779,0.232948476897,0.334490954008,0.392838473367,0.337574048978,0.542528853995,0.334759221375,0.313733097705,0.386651537561,0.509389768248,0.301148603672,0.502786667183,0.413397288782,0.323396928126,noiseWeight,1,1,5,Continuum,14
2,0.85156237961,1.00638715494,0.972903750975,0.63487697762,0.906495346792,0.902341316578,0.873606751455,0.910665140603,0.819729565719,0.713714779731,0.803127143995,0.916982270824,0.887682068673,0.913206515967,0.89699221773,0.882292247434,noiseWeight,1,1,90,Continuum,14
3,0.874578804165,1.03301272218,0.996445512413,0.679185631551,0.930230830305,0.922525276331,0.897659500925,0.935176434258,0.84926404735,0.744504613031,0.830238889355,0.939545290173,0.91712948303,0.938504275733,0.928336333496,0.91631491511,noiseWeight,1,1,95,Continuum,14
4,0.919419092418,1.07237225636,1.03539114245,0.767152812436,0.96649145235,0.965096374543,0.93646729839,0.977429235701,0.899324671988,0.793550871651,0.871919114752,0.974771228542,0.954290912537,0.981686252374,0.992830101648,0.966839595252,noiseWeight,1,1,99,Continuum,14
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,1,1,Mode,Continuum,14
6,0.737835487403,0.89136260401,0.827100126613,0.518363198539,0.803106320485,0.81267795179,0.758608643154,0.791882544237,0.699631859017,0.599259894387,0.675697893036,0.803571548918,0.754138592553,0.805721215742,0.76907971095,0.712494271783,noiseWeight,1,1,Median,Continuum,14
0,0.878831223655,0.869872477012,0.876732058217,0.851133965764,0.88126623999,0.883066574948,0.880418614302,0.883367134774,0.880591983074,0.87615175837,0.878297555556,0.875679395386,0.869687192398,0.883001838815,0.881488387701,0.883598151104,bcTime,1,1,1,Peak,14
1,0.888142698632,0.877108870486,0.886294736159,0.879168472272,0.889058318423,0.89050120354,0.889114275299,0.890629010431,0.888738739495,0.886976684185,0.888875371981,0.884532264678,0.88190884125,0.890082733966,0.888738275101,0.890497065687,bcTime,1,1,5,Peak,14
2,0.89969250894,0.885668994473,0.898270426293,0.901310375501,0.899626884573,0.898831570516,0.900947545934,0.900311511308,0.899123615813,0.89923300515,0.901156396135,0.900360121897,0.898412527655,0.900390366149,0.899120829896,0.899187906136,bcTime,1,1,90,Peak,14
3,0.900140176006,0.886021989277,0.89862790958,0.901935348576,0.899985141053,0.89918986587,0.901395775882,0.900490816879,0.899481714996,0.899680316134,0.901425323671,0.900628390664,0.898858573234,0.900479997733,0.899210334679,0.899635887603,bcTime,1,1,95,Peak,14
4,0.900408776246,0.887169222389,0.899700359443,0.902649603519,0.900791218132,0.902324950216,0.90193365182,0.901118386381,0.900287438159,0.900664400299,0.901963178744,0.901343774041,0.899750664391,0.900928155654,0.899836868158,0.901248620882,bcTime,1,1,99,Peak,14
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,1,1,Mode,Peak,14
6,0.898255813953,0.884398496241,0.896650717703,0.898951382269,0.898255813953,0.897683397683,0.899419729207,0.898635477583,0.897660818713,0.897660818713,0.9,0.898727953898,0.896648044693,0.899127061106,0.897859922179,0.898058252427,bcTime,1,1,Median,Peak,14
0,0.650266358855,0.748892429362,0.737970112784,0.67643012457,0.718597457961,0.64363634216,0.756493052438,0.70004330348,0.666700169942,0.789065137697,0.669343007105,0.772078583442,0.727377408006,0.686004910935,0.653483160735,0.658558286513,bcTime,1,1,1,Continuum,14
1,0.725224798484,0.807972151239,0.786134340827,0.737853225457,0.777067739658,0.726081664164,0.820821950907,0.768281119033,0.730697818638,0.842595779619,0.737349990499,0.837103969934,0.778988528533,0.741405124343,0.717908783634,0.736591868529,bcTime,1,1,5,Continuum,14
2,0.898882667483,0.8864026226,0.898005154191,0.899726077727,0.899114877871,0.89852772036,0.900276833609,0.899416399356,0.898639632771,0.899461117267,0.899931796009,0.899416318765,0.896495231281,0.899404524516,0.898532096101,0.898668035669,bcTime,1,1,90,Continuum,14
