,1106,1136,1144,1170,1172,1174,1176,1204,1232,1236,1296,1298,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,-1.43685898307e-06,-6.09504467799e-07,-6.9200022581e-07,-2.04349798584e-06,-9.01982772348e-07,-4.94645801855e-07,-8.31907844101e-07,-1.51949860138e-06,-1.09491559339e-06,-2.02693919398e-07,-9.36311772554e-07,-8.97423970891e-07,-8.0617451097e-07,-2.28552693307e-07,pol2,4,2,1,Peak,0
1,-2.41518608192e-07,-3.07541080973e-07,1.71707269103e-07,-6.35811959585e-07,-6.00308186748e-07,-1.49367570096e-07,-5.12517692375e-07,-4.57410911912e-07,-7.58181803958e-07,5.02714416869e-07,-1.62928307451e-07,-6.69287149236e-07,-1.77539652335e-07,-4.25756975821e-08,pol2,4,2,5,Peak,0
2,7.85210576247e-07,2.03719494144e-07,6.66475841835e-07,1.87415792609e-07,3.6878456999e-07,6.24154732733e-07,4.16920738906e-07,4.8960972328e-07,4.13619793591e-08,1.19245566221e-06,9.42179995753e-07,2.0667504236e-07,7.7613062581e-07,7.15549426598e-07,pol2,4,2,90,Peak,0
3,8.92597355929e-07,2.66350756692e-07,7.21845008573e-07,2.85722637544e-07,4.88013179282e-07,7.07481741743e-07,5.66929392134e-07,6.10310336203e-07,1.54210336502e-07,1.27478087292e-06,1.03709591174e-06,3.47325767216e-07,8.98876347341e-07,7.87107288987e-07,pol2,4,2,95,Peak,0
4,1.055490549e-06,3.54631012473e-07,8.01061546659e-07,4.49869571132e-07,7.57718775138e-07,9.10046346926e-07,8.33306014577e-07,7.5911398883e-07,3.724972608e-07,1.38902413224e-06,1.14407051386e-06,5.77848573329e-07,1.05809621396e-06,8.71465824706e-07,pol2,4,2,99,Peak,0
0,-2.24471474239e-06,-1.51137385634e-06,-2.2722841372e-06,-2.80586846099e-06,-1.41452780423e-06,-2.41761404358e-06,-2.78586467901e-06,-3.20049922552e-06,-3.87029575422e-06,-2.46638170997e-06,-3.58116239204e-06,-1.7858619798e-06,-2.80680622664e-06,-1.40146933092e-06,pol2,4,2,1,Continuum,0
1,-1.12835574864e-06,-6.76226799214e-07,-1.32342888983e-06,-1.5145064931e-06,-6.07243909895e-07,-1.11725422909e-06,-1.18169197889e-06,-1.3791888064e-06,-2.16269100932e-06,-1.2821993067e-06,-1.31000461354e-06,-7.92079842515e-07,-1.33334614406e-06,-5.45072671419e-07,pol2,4,2,5,Continuum,0
2,3.71438023769e-07,1.64022770638e-07,2.04918205084e-07,2.43034572086e-07,2.44471358808e-07,3.01875306295e-07,2.47172902995e-07,2.7000152794e-07,2.4657357392e-07,3.06726639374e-07,2.68862192456e-07,2.71445051819e-07,3.90939164419e-07,3.06981377428e-07,pol2,4,2,90,Continuum,0
3,5.1292614584e-07,2.19129908113e-07,2.80776502492e-07,3.46406178976e-07,3.41935565921e-07,4.0177677529e-07,3.51489824854e-07,3.8656454004e-07,3.59069598133e-07,4.00602134728e-07,3.59958413583e-07,3.65802899587e-07,5.13920872099e-07,3.88475824118e-07,pol2,4,2,95,Continuum,0
4,7.39130035019e-07,3.42342162859e-07,4.71530721768e-07,6.01031479064e-07,5.03597412669e-07,5.98845184018e-07,5.59477457551e-07,6.30054095104e-07,6.96860894556e-07,5.83513142862e-07,5.48499375673e-07,5.63071296136e-07,7.77011120064e-07,5.42666701107e-07,pol2,4,2,99,Continuum,0
