,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,-9.84484998443e-07,-1.30560238943e-06,-6.89419198964e-07,-5.01048798438e-07,-2.18078127236e-07,-7.2373387718e-07,-7.77212008049e-07,-9.78953156194e-07,0,-1.83591591882e-07,-8.60840990912e-07,-1.97337338008e-07,-1.01363822887e-06,-8.90797431813e-07,-3.65805331479e-07,0,-2.26753676924e-07,-9.22674250944e-08,0,-1.05817793532e-06,-2.44096975204e-07,pol2,5,1,1,Peak,1
1,2.4445445361e-07,3.24534902322e-07,2.03439439547e-07,1.23584155797e-07,3.08950080093e-07,-1.23670117855e-07,1.92630851454e-07,2.36855361848e-07,0,1.20255215862e-07,-1.46683227207e-07,3.89100401886e-08,2.49708584254e-07,-6.11978132734e-07,4.33453970065e-07,0,2.63178073341e-07,2.59031104382e-07,0,2.83870309092e-07,1.68629564799e-07,pol2,5,1,5,Peak,1
2,1.18838113232e-06,1.10880664051e-06,1.06954370233e-06,9.63151355636e-07,1.04016849155e-06,1.08258626059e-06,1.14586965584e-06,1.07596428683e-06,0,9.63855163807e-07,7.0191437628e-07,9.90957910494e-07,1.03104285739e-06,2.39733607967e-07,1.29744415801e-06,0,1.02171412554e-06,1.15102537733e-06,0,1.0042476782e-06,1.11588413356e-06,pol2,5,1,90,Peak,1
3,1.28288067998e-06,1.19395859111e-06,1.15357284134e-06,1.05377530931e-06,1.1198308631e-06,1.19040580718e-06,1.23295792494e-06,1.16403450284e-06,0,1.04674117251e-06,7.74853306029e-07,1.07046823198e-06,1.10120727918e-06,3.56640927355e-07,1.38760141762e-06,0,1.11189901461e-06,1.23513550167e-06,0,1.09050823027e-06,1.22833504074e-06,pol2,5,1,95,Peak,1
4,1.40855349973e-06,1.29350242069e-06,1.28962001877e-06,1.17423373304e-06,1.25821302116e-06,1.38693253497e-06,1.37791132613e-06,1.28393046234e-06,0,1.19770477148e-06,8.76013681411e-07,1.16001249308e-06,1.18732520085e-06,5.28101114406e-07,1.51007347029e-06,0,1.25622604295e-06,1.41770143653e-06,0,1.16244420791e-06,1.39802776906e-06,pol2,5,1,99,Peak,1
0,0.0,-1.61078827472e-05,-1.02406845304e-05,-1.12208683934e-05,-1.05344701017e-05,-2.21082217852e-06,0.0,-1.98006539832e-05,0,0.0,-2.41545012194e-06,-1.13055485737e-06,-2.67135622162e-06,-1.31999191905e-06,-1.61192852822e-06,0,0.0,0.0,0,0.0,0.0,pol2,5,1,1,Continuum,1
1,0.0,-3.04742694518e-06,-1.96223742519e-06,-2.35383467844e-06,-1.88790500422e-06,-1.10869689071e-06,0.0,-4.23518452214e-06,0,0.0,-1.32727707203e-06,-4.3210001111e-07,-1.43303890383e-06,-5.31010315851e-07,-8.27569502047e-07,0,0.0,0.0,0,0.0,0.0,pol2,5,1,5,Continuum,1
2,0.0,2.57987903896e-07,2.85797421525e-07,2.87689139164e-07,2.70727024764e-07,4.87160475996e-07,0.0,2.8080130344e-07,0,0.0,2.88094941385e-07,3.38109001003e-07,2.27294405923e-07,3.02817965908e-07,3.58110929877e-07,0,0.0,0.0,0,0.0,0.0,pol2,5,1,90,Continuum,1
3,0.0,3.24507547981e-07,3.44324022242e-07,3.51350319868e-07,3.31559082182e-07,6.33880774401e-07,0.0,3.6114969436e-07,0,0.0,3.79492470877e-07,4.14456250017e-07,3.38642029179e-07,3.89422252912e-07,4.52525939002e-07,0,0.0,0.0,0,0.0,0.0,pol2,5,1,95,Continuum,1
4,0.0,3.95844770745e-07,4.11156799915e-07,4.24283889936e-07,4.09346457732e-07,8.97246320719e-07,0.0,4.43303667098e-07,0,0.0,5.74774090442e-07,5.90626506432e-07,5.36369058644e-07,5.50440032381e-07,6.28142465332e-07,0,0.0,0.0,0,0.0,0.0,pol2,5,1,99,Continuum,1
