,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,478.199185472,464.914740338,547.102511173,646.574537851,503.362555986,541.329869369,757.991817809,585.679995957,636.801576186,648.546070675,526.889158276,485.803962043,500.313125301,368.378946543,624.174829451,0,404.268803192,417.609649295,616.56100228,485.913299996,691.989873584,bcMax,5,1,1,Peak,5
1,510.112276067,497.127358284,598.496763968,710.689543314,544.532504566,585.193898539,832.322670705,630.538152676,694.46899202,718.420465244,561.763628979,518.02892619,536.526422468,390.889171455,686.650724211,0,431.129348693,438.149065334,670.071070766,529.416710793,762.096759501,bcMax,5,1,5,Peak,5
2,797.258697488,830.859007486,996.846074882,1186.43541447,886.432364902,1133.59486874,1353.71416779,1012.41447683,1138.42772123,1180.55381136,873.298521287,777.022156562,886.962178675,597.489113756,1132.57867064,0,626.996897928,674.722732699,1089.84500152,829.073595489,1262.73325386,bcMax,5,1,90,Peak,5
3,850.018818181,908.451987896,1062.62370218,1266.52696038,951.578682004,1292.1492494,1436.76873814,1071.95674074,1211.76781454,1264.54952819,922.885659318,824.903257975,979.8188411,654.643123837,1208.24947438,0,653.010997668,830.889636945,1163.15572712,895.04004112,1343.72837246,bcMax,5,1,95,Peak,5
4,958.323423177,1032.16927114,1177.6029947,1423.89066272,1070.04087121,1509.15546711,1602.6388729,1224.97588212,1370.10204338,1442.26898384,1030.07794985,911.117323276,1152.55306387,787.563256793,1375.68487233,0,702.894867885,978.100008952,1312.48165831,968.344411464,1512.27377014,bcMax,5,1,99,Peak,5
5,562.0,586.0,748.0,820.0,638.0,655.0,1047.0,822.0,922.0,821.0,643.0,623.0,589.0,415.0,826.0,0,501.0,495.0,798.0,672.0,888.0,bcMax,5,1,Mode,Peak,5
6,625.228077848,626.800049103,787.195738188,935.129606508,693.749196551,747.896445933,1083.78136572,812.487268336,907.162555289,936.525531081,699.816529721,637.247703711,677.397694317,472.919243437,894.138448246,0,521.458159888,523.838842713,872.41188576,661.489812062,999.8012762,bcMax,5,1,Median,Peak,5
0,428.083920832,406.182523867,501.200036854,591.078370275,446.141037853,497.335009036,709.201790474,532.453840865,600.243340862,628.535704012,466.074691364,429.054483534,445.809769842,341.408737541,574.377572855,0,353.55311848,365.820264569,562.305763836,434.118336878,648.47822896,bcMax,5,1,1,Continuum,5
1,461.990131024,439.105318926,545.416155551,653.287456967,487.179451878,538.174984108,783.042195107,582.641755074,660.785373959,680.583911017,502.992191564,458.767069505,478.136742493,361.444627779,635.49458124,0,369.106123917,382.442307825,618.546554832,473.099014999,713.620516962,bcMax,5,1,5,Continuum,5
2,708.383756222,741.118020322,938.009179665,1110.69000505,798.274812267,1120.12060537,1266.99467966,939.459484004,1083.43007337,1105.48120993,767.142080848,679.314099398,792.742257861,552.359529818,1059.52272111,0,531.158406372,564.759185428,1027.24169197,750.510393255,1198.67355999,bcMax,5,1,90,Continuum,5
