,1106,1136,1144,1170,1172,1174,1176,1204,1232,1236,1296,1298,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
4,2.02963567687e-10,2.81411030834e-11,3.90359852455e-11,4.65304962566e-11,2.97253061379e-11,4.32043568928e-11,4.61135248371e-11,6.52406178952e-11,7.37669326227e-11,4.78950895707e-11,4.02311939507e-11,3.17585837301e-11,5.01434238926e-11,2.83106665613e-11,pol3,4,2,99,Continuum,1
0,71.7995206961,111.115786743,70.8096027,95.6077722376,101.045958331,69.5115814613,100.681369637,106.1718521,97.432080658,66.046266045,61.5968876453,116.854585852,69.5674757363,66.9329233522,fitSlo,4,2,1,Peak,1
1,74.5843907851,115.641945795,78.0962541221,103.777433569,107.459760517,85.4948710707,106.732917455,115.386407933,101.474624148,76.8878857075,63.4065472724,125.796802,85.2507117726,72.339735423,fitSlo,4,2,5,Peak,1
2,102.255777849,132.135801867,105.153383347,121.31889859,145.059408995,108.490328127,154.851235019,146.658306794,121.798945558,100.119927841,120.993387189,154.794480849,106.699362585,124.841396559,fitSlo,4,2,90,Peak,1
3,124.148820234,144.782422746,124.72233804,135.376604125,169.932799864,130.29482976,186.79597849,163.028541142,139.02315693,114.218004692,163.408834066,169.171864027,124.856604584,162.373262592,fitSlo,4,2,95,Peak,1
4,198.91267341,194.303927661,179.250249192,183.818034452,235.25802664,213.71736153,284.193396446,220.07240085,190.956200289,157.981612267,306.322364896,212.486197931,190.423211947,258.179951247,fitSlo,4,2,99,Peak,1
0,10.6723471351,99.7457889521,62.5525520088,86.8207255372,91.9635999691,66.2161411108,94.9220715462,97.8388550794,88.1009874116,61.934059372,42.3938236923,112.099024299,63.0644845918,57.6304185167,fitSlo,4,2,1,Continuum,1
1,28.4680749695,109.048378615,72.4213494953,96.0849778451,99.7732260459,77.9930437846,103.385299388,107.762604408,95.8231598843,73.5824770435,54.3087291106,121.33753611,75.4636419233,65.5942187136,fitSlo,4,2,5,Continuum,1
2,659.070062524,580.822568678,1096.96700855,752.771043051,255.810073972,400.224574244,536.927004101,737.463671977,1001.24788231,575.20401899,471.134288619,338.577432452,623.854442497,233.39199611,fitSlo,4,2,90,Continuum,1
3,890.851229348,850.210061009,1322.5512711,932.915923412,365.819424688,664.560163457,711.428475411,1016.69969748,1277.39598751,721.27147868,781.412154819,481.23489038,856.773700614,379.073742386,fitSlo,4,2,95,Continuum,1
4,1050.41231051,1377.85516161,1756.12044067,1292.42868233,690.450791707,1169.72051793,1427.48301229,1557.3481724,1673.9617197,952.806891839,1490.47160854,873.433318792,1403.80494446,685.375700912,fitSlo,4,2,99,Continuum,1
0,1.72076615872,1.39031486824,1.61601754378,1.38881252937,1.32179963514,1.45509632363,1.37120154466,1.43255902427,1.43443796225,1.67062176807,1.59787919137,1.34542778952,1.54918241797,1.65690528388,riseNoise,4,2,1,Peak,1
1,1.90887318888,1.49618759433,1.72055597316,1.4907525868,1.48557090475,1.71217062182,1.48985480724,1.54408318313,1.57755247368,1.82114844389,1.760646574,1.4341615606,1.66675463105,1.78652258611,riseNoise,4,2,5,Peak,1
2,2.62411178189,1.98896012474,2.38270589879,1.94930210042,1.96255699453,2.39603606259,1.93951656633,1.95740013971,2.07566781347,2.4085587557,2.59482940994,1.83671824411,2.23693875533,2.45162276732,riseNoise,4,2,90,Peak,1
3,2.72632299981,2.0983619417,2.51447702827,2.0183466074,2.03310740857,2.48035121703,1.99857393909,2.02277637076,2.15001051941,2.49718244945,2.72321919882,1.89890040416,2.31689608205,2.54004907886,riseNoise,4,2,95,Peak,1
4,2.95137962518,2.45870069368,3.06198607125,2.12480528438,2.15643461049,2.67940451977,2.13553678227,2.14657001837,2.2938934309,2.63991558436,3.15586238539,2.0477607267,2.48174383536,2.69966416778,riseNoise,4,2,99,Peak,1
0,0.996770683579,0.941312175389,0.938130972514,0.915179247202,0.903241194119,0.957967103377,0.916347470632,0.940372026107,0.923258202102,0.967221013011,1.01634608806,0.951049192551,0.936743491204,0.981217585247,riseNoise,4,2,1,Continuum,1
1,1.05480607497,0.99236488875,0.99420248472,0.973763342749,0.969954418496,1.03779422957,0.978548294573,0.986346365867,0.98149250534,1.0369235645,1.08831484419,1.00583187902,0.990539479395,1.03785391248,riseNoise,4,2,5,Continuum,1
2,1.59478754267,1.4285473549,1.48199558831,1.26370698636,1.27614797407,1.55034621764,1.27928509977,1.25807705432,1.34150881222,1.45420773246,1.71338830802,1.36097481196,1.32738133206,1.38664142995,riseNoise,4,2,90,Continuum,1
3,3.97451895381,1.5953827471,1.76017420456,1.33574637215,1.32781221178,1.65069228824,1.33754614024,1.30252283547,1.40208729292,1.52550652558,1.85965239646,1.42847715666,1.39610694082,1.44391843961,riseNoise,4,2,95,Continuum,1
4,4.861591313,2.0399611502,2.24520731144,1.51888120741,1.46562301098,1.89720070258,1.46481308519,1.40164398232,1.52706896491,1.68659391079,2.25563566027,1.58564679507,1.5492280907,1.5746176563,riseNoise,4,2,99,Continuum,1
