,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,390.19076879,302.678527744,366.707631722,409.938737647,344.37985701,348.675320453,383.369360454,388.172251946,376.44984514,377.399347315,406.480942991,372.450809401,380.739365661,340.449674252,355.788880518,403.577381262,bcMax,1,1,1,Peak,19
1,422.408492779,317.733816327,394.915380758,440.026356884,371.937532795,373.93216666,413.408835187,416.85241866,406.19020434,406.357007656,440.814660157,399.856577616,408.717740424,368.382307721,396.576584961,441.572665741,bcMax,1,1,5,Peak,19
2,809.743146459,458.656193664,607.450390267,1081.51545157,726.681095865,665.680383331,655.421423467,603.956363407,705.483040474,689.606727297,659.491281621,591.750170203,685.573518609,560.594997742,668.61232802,712.627161287,bcMax,1,1,90,Peak,19
3,1222.70758617,804.684020717,754.350485895,1168.70814406,777.306022587,709.635350307,771.871521125,632.63653012,745.035280476,743.141897675,697.930763925,620.326670263,811.93166696,591.793136922,716.874835443,779.086709731,bcMax,1,1,95,Peak,19
4,1376.93753098,898.002428894,878.110458396,1290.54984412,855.673163102,766.189974047,872.547752344,683.332139092,815.424860141,825.148045028,780.700608947,682.002952518,913.434607963,665.191657602,779.380668227,873.559730631,bcMax,1,1,99,Peak,19
5,511.0,358.0,491.0,515.0,448.0,417.0,488.0,505.0,477.0,470.0,545.0,451.0,488.0,451.0,457.0,519.0,bcMax,1,1,Mode,Peak,19
6,513.416770304,368.047821073,483.296630942,553.830216105,465.679969232,439.395083564,507.549211788,511.395687781,502.495642886,512.651318485,544.952098044,491.111578737,496.933591076,456.002529912,481.796244359,538.379261723,bcMax,1,1,Median,Peak,19
0,287.023795407,255.147132799,285.835826358,333.754549448,259.818188874,262.092420971,288.957027659,289.529233084,284.580147018,288.057032718,313.553214136,284.610523241,303.149349094,254.332019865,260.700568924,304.367442888,bcMax,1,1,1,Continuum,19
1,297.501007903,264.852000023,296.85400495,350.384413244,267.862302096,270.284293728,300.440363753,301.572533539,297.627130536,302.197982955,327.599479302,296.032601135,318.41860306,264.413311108,273.02396303,326.548057778,bcMax,1,1,5,Continuum,19
2,461.670868321,374.631174568,439.307043803,1013.20327027,626.150102813,575.50217352,572.804217123,434.284981684,605.974160856,597.421330004,507.604917054,434.406315632,488.773339472,416.532125817,552.096544679,608.527894269,bcMax,1,1,90,Continuum,19
3,1144.94631095,774.928403847,672.568673041,1086.53305063,654.1795905,604.644525455,669.734013158,454.8294354,631.570151422,625.504761,554.286729008,464.071990165,737.354515047,448.35003015,575.87933109,681.761700608,bcMax,1,1,95,Continuum,19
4,1245.28576908,852.567341643,737.581148617,1200.72478203,716.833739447,644.003178471,713.944857122,480.529681141,683.907478435,666.885646956,606.624132877,506.349542373,784.016899368,528.775498582,618.078997991,745.605173636,bcMax,1,1,99,Continuum,19
5,320.0,284.0,308.0,383.0,278.0,287.0,319.0,339.0,324.0,328.0,344.0,328.0,350.0,280.0,301.0,381.0,bcMax,1,1,Mode,Continuum,19
6,341.112028037,300.813806544,347.601869428,421.003791861,302.752212269,299.002625583,349.726104511,348.977887876,352.095747035,361.258470889,390.561698875,341.124783202,375.231338513,301.694212333,318.062565879,410.141281168,bcMax,1,1,Median,Continuum,19
0,0.191573897987,0.295979606587,0.321531700811,0.203408220963,0.311349066999,0.34140003948,0.306921753137,0.383268126899,0.325181383815,0.315586975227,0.345144305071,0.392726724191,0.28678928717,0.397837544365,0.338408404812,0.307067193964,noiseWeight,1,1,1,Peak,19
1,0.215570609856,0.330217833871,0.373779424634,0.224545769526,0.343160263658,0.368820434505,0.347636458723,0.414455357092,0.355849816102,0.350621639693,0.385595602289,0.431585429,0.322505914207,0.447986854961,0.3675573052,0.344615370029,noiseWeight,1,1,5,Peak,19
2,0.598320467116,0.811138118965,0.688365110595,0.57340488671,0.687175633248,0.675724483166,0.624348595258,0.601796070863,0.624171883952,0.616191749943,0.58301042732,0.645538238615,0.6155364284,0.689082261684,0.635465176179,0.581027947748,noiseWeight,1,1,90,Peak,19
3,0.623883183215,0.836689981178,0.715096504179,0.596692016484,0.718021132866,0.700419869989,0.648428888056,0.629777644991,0.653184007178,0.641666730851,0.610706811001,0.670313537095,0.641540188516,0.719379530935,0.665050764213,0.609163913459,noiseWeight,1,1,95,Peak,19
4,0.67860121335,0.878726915788,0.769774354691,0.640444950693,0.774599618354,0.751343460749,0.699335471953,0.675091495131,0.704209012116,0.691828806659,0.662663560838,0.7195767176,0.688305844061,0.779302154193,0.741252758485,0.665637175584,noiseWeight,1,1,99,Peak,19
5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,noiseWeight,1,1,Mode,Peak,19
6,0.513944997381,0.722056864712,0.584051566771,0.474195443058,0.572694339353,0.595937442372,0.527904353628,0.512720318009,0.527448218212,0.508477754576,0.493940048662,0.545416966445,0.527186208274,0.58119338252,0.546901101901,0.499167952767,noiseWeight,1,1,Median,Peak,19
0,0.202466864956,0.29842318406,0.373790099641,0.211605974723,0.361208061325,0.39170456645,0.358717986903,0.53147134927,0.382095366206,0.374917830639,0.431266152086,0.514798778138,0.313395814294,0.495511835565,0.420994708868,0.343121752167,noiseWeight,1,1,1,Continuum,19
1,0.224150704013,0.333641501647,0.412796242009,0.232963244518,0.394616460977,0.422489815405,0.387410010199,0.565572472276,0.413578607349,0.403392784123,0.473276214738,0.558883349491,0.345363340115,0.586209194917,0.449656704209,0.382683341821,noiseWeight,1,1,5,Continuum,19
2,0.848339862681,0.955424492357,0.916389510229,0.713875567141,0.952929339417,0.931926483202,0.844051999787,0.833140807548,0.859985891604,0.818475108405,0.78146203436,0.85920008813,0.773260068205,0.979342541489,0.930558098324,0.774272776086,noiseWeight,1,1,90,Continuum,19
3,0.868618833292,0.975549245264,0.935420440024,0.734592118843,0.971522484234,0.951389272806,0.866870597138,0.853070035279,0.885269998982,0.839897853783,0.804718805045,0.881167144163,0.796357991487,1.0024139435,0.960656974698,0.810127463963,noiseWeight,1,1,95,Continuum,19
4,0.910276236777,1.01170192638,0.974571856665,0.771486802415,1.00796801113,0.992090924068,0.903056301813,0.896545276513,0.930265958668,0.885936797268,0.844107439788,0.91675076575,0.83608641953,1.04646694661,1.0081496741,0.869565716593,noiseWeight,1,1,99,Continuum,19
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,1,1,Mode,Continuum,19
6,0.750957824366,0.856416043234,0.798736322381,0.608176893675,0.858280979134,0.85288651607,0.743251265291,0.736099222152,0.742313021026,0.702883572032,0.671707864668,0.7611709763,0.66761728594,0.874555414737,0.816045939932,0.636818076709,noiseWeight,1,1,Median,Continuum,19
0,0.877927452115,0.868682935189,0.879810518487,0.844724799144,0.880592482489,0.881822394281,0.8809026112,0.882189111326,0.881644482381,0.881118759975,0.880879190212,0.873057802273,0.867141405617,0.883068810398,0.881395369429,0.880720799945,bcTime,1,1,1,Peak,19
1,0.887953039314,0.876712488087,0.887499149123,0.877552412011,0.888739553251,0.890060309074,0.888610273933,0.890437260618,0.889708570718,0.888368657835,0.889757173788,0.884323159619,0.882488516152,0.890150503549,0.889273671016,0.889676184771,bcTime,1,1,5,Peak,19
2,0.899589881598,0.885624409435,0.898048665578,0.901370272433,0.899303886766,0.898745936627,0.901068007886,0.90029917825,0.89983348163,0.899019742346,0.901146102214,0.900327119658,0.89828176362,0.90036965569,0.898942495691,0.899168892686,bcTime,1,1,90,Peak,19
3,0.899947938284,0.886153830505,0.898406276306,0.901727094312,0.899661999767,0.898925021732,0.901336879841,0.90056813964,0.900191885556,0.899467266905,0.901415132019,0.900595342452,0.898727900554,0.900548939061,0.899211074154,0.899437554231,bcTime,1,1,95,Peak,19
4,0.900485023313,0.887212672645,0.899389705806,0.90244073807,0.900467754018,0.901163585534,0.901964247738,0.901285370013,0.900729491445,0.900451820935,0.902042868231,0.901310603236,0.899441719649,0.901086789174,0.899569178772,0.901049523499,bcTime,1,1,99,Peak,19
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bcTime,1,1,Mode,Peak,19
