,1106,1110,1120,1124,1128,1170,1172,1174,1176,1204,1208,1298,1302,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,-9.05330935225e-07,0,-8.14480209043e-08,-6.72371166953e-07,-1.11324139031e-06,-2.90173165776e-07,-7.80600608099e-07,-1.16405522402e-08,-1.17704854673e-06,-1.70176446977e-06,-4.27756428524e-08,-1.60491266772e-07,0,-1.2731401459e-07,0,pol2,5,2,1,Peak,9
1,-4.07679774991e-07,0,1.0538582788e-08,-1.15675983972e-07,-1.89623254674e-07,2.62710452055e-07,1.91180997873e-07,-1.16405522402e-08,4.46440366182e-07,4.22342195196e-07,-1.42672860437e-08,4.30615296841e-07,0,2.26452191855e-08,0,pol2,5,2,5,Peak,9
2,6.48768604226e-07,0,9.46087149567e-07,7.97485474002e-07,7.38861758748e-07,1.01984755403e-06,1.15139976011e-06,7.88300682138e-07,1.24044096864e-06,1.25504614805e-06,8.57459027024e-07,1.75593843421e-06,0,1.49380427525e-06,0,pol2,5,2,90,Peak,9
3,7.53741895838e-07,0,1.02601533745e-06,8.84733321302e-07,8.34150102769e-07,1.11513457936e-06,1.23728320089e-06,8.60785389856e-07,1.31947730445e-06,1.34053589294e-06,9.31259881446e-07,1.89653309726e-06,0,1.63523352452e-06,0,pol2,5,2,95,Peak,9
4,9.4163348446e-07,0,1.12169194816e-06,1.05193793877e-06,9.69590188526e-07,1.26928225282e-06,1.34176773811e-06,9.43591919954e-07,1.44147244469e-06,1.46404319609e-06,1.01814249267e-06,2.1353586831e-06,0,1.79003694703e-06,0,pol2,5,2,99,Peak,9
0,-2.32338217316e-06,0,-3.10544644957e-06,-2.96488311682e-06,-4.45773708308e-06,-2.75521371127e-06,-1.68781951999e-06,-2.3163756746e-06,-2.83488541565e-06,-3.72918149614e-06,-2.50637772717e-06,-3.13035502201e-06,0,-4.49632104248e-06,0,pol2,5,2,1,Continuum,9
1,-1.13198731203e-06,0,-1.39764023697e-06,-1.60623378882e-06,-2.39467595831e-06,-1.54803453095e-06,-6.49764096e-07,-1.1013515065e-06,-1.28122610471e-06,-1.63501351696e-06,-1.22397472705e-06,-1.30666214417e-06,0,-2.30297164777e-06,0,pol2,5,2,5,Continuum,9
2,3.8186317686e-07,0,3.50267486863e-07,3.19703060521e-07,3.80214035009e-07,3.35989183328e-07,3.2892763458e-07,3.33016109408e-07,3.39812346348e-07,3.35843175051e-07,3.42863772186e-07,5.38627890485e-07,0,6.04534686664e-07,0,pol2,5,2,90,Continuum,9
3,4.96907212593e-07,0,4.79020372623e-07,4.29413748868e-07,5.46366608816e-07,4.48596946501e-07,4.29981860762e-07,4.35530310274e-07,4.40466415665e-07,4.44037273009e-07,4.7215263542e-07,7.04769147037e-07,0,7.93750994927e-07,0,pol2,5,2,95,Continuum,9
4,7.599348253e-07,0,7.37089367615e-07,7.01608905335e-07,1.0970132797e-06,6.94896479569e-07,6.32543471093e-07,6.27721348114e-07,6.4198187473e-07,7.00404812281e-07,7.15256419201e-07,9.86497421583e-07,0,1.21507759301e-06,0,pol2,5,2,99,Continuum,9
0,-2.00003050674e-11,0,-2.61263448752e-11,-2.30159232483e-11,-2.14332155899e-11,-2.56653725761e-11,-2.87793682471e-11,-2.25535208597e-11,-2.99522362363e-11,-3.04758537668e-11,-2.37933632264e-11,-4.32244292753e-11,0,-4.12783300739e-11,0,pol3,5,2,1,Peak,9
1,-1.4873846608e-11,0,-2.10952205308e-11,-1.75980856561e-11,-1.68470909101e-11,-2.18674214629e-11,-2.51291342427e-11,-1.83024098472e-11,-2.62035225669e-11,-2.70745812214e-11,-1.97032917854e-11,-3.66136455042e-11,0,-3.40374180869e-11,0,pol3,5,2,5,Peak,9
2,7.51240795104e-12,0,-1.36106900727e-12,1.36236329737e-12,2.72074509908e-12,-5.55730750914e-12,-6.99566239761e-12,-7.50655747152e-13,-1.01180657866e-11,-1.00100931092e-11,-5.06321762497e-13,-9.80203255665e-12,0,-3.4891523649e-12,0,pol3,5,2,90,Peak,9
3,1.02652205813e-11,0,1.21605308464e-12,3.79966325347e-12,5.51634883695e-12,-3.43251945715e-12,-3.90210896032e-12,1.81943153953e-12,-7.61892334035e-12,-7.16757426749e-12,1.96935453783e-12,-6.30876544476e-12,0,3.10936412703e-13,0,pol3,5,2,95,Peak,9
4,1.59635118995e-11,0,5.43570576063e-12,9.32456228628e-12,1.19346991392e-11,6.88020935172e-13,3.14387650356e-12,6.78053231764e-12,-1.54768608206e-13,4.63726316713e-13,7.05321193227e-12,8.5715931772e-13,0,5.90949151667e-12,0,pol3,5,2,99,Peak,9
0,-1.66569818835e-11,0,-1.62469121483e-11,-1.564106927e-11,-2.78791095006e-11,-1.44771011079e-11,-1.34499543955e-11,-1.38291117593e-11,-1.43743448985e-11,-1.49533507945e-11,-1.48638931461e-11,-2.04807813926e-11,0,-2.62056659111e-11,0,pol3,5,2,1,Continuum,9
1,-1.06832318905e-11,0,-1.04215305594e-11,-9.51630951717e-12,-1.20462662697e-11,-9.5266556486e-12,-9.20976781642e-12,-9.40697922599e-12,-9.50138839032e-12,-9.31780829642e-12,-1.01208924236e-11,-1.44640393225e-11,0,-1.6550372714e-11,0,pol3,5,2,5,Continuum,9
2,1.53135314494e-11,0,1.82528536577e-11,2.02265475067e-11,3.19315344954e-11,2.0959958617e-11,8.93009700805e-12,1.35888648996e-11,1.48925610556e-11,1.86454025764e-11,1.59915126026e-11,1.65807964248e-11,0,2.76580158803e-11,0,pol3,5,2,90,Continuum,9
3,2.27942819451e-11,0,2.74158848715e-11,3.11398900152e-11,4.4682000424e-11,3.08197168022e-11,1.34896281831e-11,2.17498982219e-11,2.44634726411e-11,3.07647439693e-11,2.43544444139e-11,2.59517690478e-11,0,4.37294778169e-11,0,pol3,5,2,95,Continuum,9
4,4.53972801527e-11,0,5.72916391875e-11,5.46866260838e-11,7.42115924574e-11,5.28475053954e-11,3.27935995901e-11,4.52157000944e-11,4.96699287302e-11,6.65987016961e-11,4.91075622081e-11,6.06469396372e-11,0,8.27121763337e-11,0,pol3,5,2,99,Continuum,9
