,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,-1.00240425348e-06,-8.65501516945e-07,-1.11206140132e-07,-5.71743507021e-06,-3.0151951241e-07,-2.38820247681e-07,-4.56246828623e-07,7.38168324297e-08,-1.3944400982e-06,-2.85277988055e-07,-6.1210317648e-07,-1.99872112706e-07,-3.36569263882e-07,-1.04366193576e-06,-1.09275322244e-06,-1.23211928545e-07,pol2,1,1,1,Peak,6
1,2.48052183993e-07,-6.47501030242e-07,3.22146299176e-07,-1.00284624043e-06,2.91927431168e-07,5.81929421488e-08,1.10785741886e-07,3.33441829937e-07,-3.59686171852e-07,1.3930020603e-07,-1.05079788775e-07,4.32107860557e-08,7.95127653924e-08,2.91298039091e-07,2.67754165261e-07,1.21395927853e-07,pol2,1,1,5,Peak,6
2,9.97890661235e-07,1.95642976306e-07,1.13982193491e-06,6.59648633913e-07,1.06610852384e-06,9.81167939988e-07,9.50178503839e-07,1.04795976416e-06,5.28159722772e-07,9.61181763746e-07,6.82136439834e-07,9.61735855458e-07,9.50197966651e-07,1.08269836173e-06,9.95599199321e-07,9.30010870009e-07,pol2,1,1,90,Peak,6
3,1.06897856172e-06,2.85852002743e-07,1.22310210278e-06,7.38226844445e-07,1.14086710862e-06,1.07128615518e-06,1.03777449967e-06,1.1316808931e-06,6.25380911044e-07,1.05342663905e-06,7.59596079797e-07,1.05129988232e-06,1.03059575231e-06,1.16429029368e-06,1.06650761611e-06,1.02076218774e-06,pol2,1,1,95,Peak,6
4,1.18060232943e-06,4.84222378919e-07,1.37870909704e-06,8.42340378347e-07,1.29346543459e-06,1.20115232839e-06,1.16269520442e-06,1.26844981218e-06,7.66429363157e-07,1.20050091712e-06,8.54734359498e-07,1.13807141861e-06,1.11958361857e-06,1.29251802023e-06,1.19454095613e-06,1.1867055465e-06,pol2,1,1,99,Peak,6
0,-2.54559579248e-06,-1.29860573832e-06,-1.62754550832e-06,-2.69409006163e-06,-1.8987211652e-06,-2.32639720531e-06,-1.24172467654e-06,-2.03741019463e-06,-2.49820946573e-06,-1.02545208222e-06,-2.49406509605e-06,-1.26805000971e-06,-1.73555330599e-06,-2.50873815206e-06,-2.51118490577e-06,-2.65498222167e-06,pol2,1,1,1,Continuum,6
1,-1.26264446347e-06,-6.06955464268e-07,-7.86702658871e-07,-1.44865470858e-06,-8.34440727078e-07,-1.17899535702e-06,-5.64175314022e-07,-9.72124973624e-07,-1.30110826023e-06,-5.35272824118e-07,-1.27574640481e-06,-4.82447633524e-07,-8.54548434678e-07,-1.29520884209e-06,-1.40611416064e-06,-1.15096238434e-06,pol2,1,1,5,Continuum,6
2,3.20242244061e-07,3.34359385748e-07,3.49416501996e-07,2.97295082582e-07,3.47163760196e-07,3.67795353683e-07,3.47954163918e-07,3.16076907884e-07,3.22736387071e-07,3.46943741063e-07,2.90463518433e-07,3.3530756267e-07,3.06900298285e-07,3.19253218679e-07,3.15925344027e-07,3.10363057959e-07,pol2,1,1,90,Continuum,6
3,4.08652672408e-07,4.44320184602e-07,4.37845031404e-07,3.91458914895e-07,4.3528986063e-07,4.74371618504e-07,4.33059877741e-07,4.13680492074e-07,4.42299932346e-07,4.46382462614e-07,3.91873512825e-07,4.20433915808e-07,4.12721014272e-07,4.0816769566e-07,4.10667498478e-07,4.10139018346e-07,pol2,1,1,95,Continuum,6
4,5.75872396613e-07,6.72496719072e-07,5.91473981081e-07,6.09592247427e-07,6.09413044405e-07,7.19586088539e-07,6.11242474358e-07,5.91434816163e-07,6.97654999707e-07,6.3146698287e-07,5.69116202531e-07,5.69540585316e-07,6.35285874994e-07,5.71688572866e-07,6.35475694656e-07,6.2146226029e-07,pol2,1,1,99,Continuum,6
0,-2.46859932337e-11,-8.41886099227e-12,-2.74198900541e-11,-1.87076803353e-11,-2.67026378212e-11,-2.47790914493e-11,-2.47968113574e-11,-2.51821073507e-11,-1.6410860191e-11,-2.46306787e-11,-1.90465849784e-11,-2.46990630637e-11,-2.44074600414e-11,-2.64433194549e-11,-2.46299933003e-11,-2.44479419018e-11,pol3,1,1,1,Peak,6
1,-2.09200118126e-11,-4.26272756708e-12,-2.3649248086e-11,-1.45310676706e-11,-2.22849053528e-11,-2.09304444251e-11,-2.05182826456e-11,-2.19160567985e-11,-1.23084415344e-11,-2.06226725471e-11,-1.51685703034e-11,-2.11831405392e-11,-2.01966607519e-11,-2.27349568515e-11,-2.11923709673e-11,-2.00940564582e-11,pol3,1,1,5,Peak,6
2,-5.96569607974e-12,1.33163190991e-11,-7.07351228106e-12,4.86692906984e-12,-6.23914399651e-12,-1.63459898684e-12,-3.88508287564e-12,-6.77616414759e-12,6.28685214808e-12,-3.97780680622e-12,1.0737715117e-12,-3.69072172196e-12,-3.2073077837e-12,-6.74479697101e-12,-5.98349640289e-12,-3.79188081559e-12,pol3,1,1,90,Peak,6
3,-3.9981297893e-12,1.570319883e-11,-4.40781458287e-12,1.0021886928e-11,-4.08064761611e-12,8.71810466752e-13,-2.06083653554e-12,-4.56507024301e-12,9.03608301099e-12,-1.66864156584e-12,3.43721188135e-12,-1.0078354003e-12,-7.71797602193e-13,-4.52427439391e-12,-3.91258937317e-12,-2.28139810039e-12,pol3,1,1,95,Peak,6
4,2.15355958919e-12,2.01759103976e-11,9.18865546356e-13,7.94054261003e-11,1.1370766473e-12,4.3953527126e-12,3.62378970726e-13,-1.41394483692e-13,1.69071686322e-11,1.23071359156e-12,9.86769519212e-12,3.70465442369e-12,2.82539927738e-12,2.55982192493e-12,9.37583227626e-13,-4.55381664704e-13,pol3,1,1,99,Peak,6
0,-1.21898463977e-11,-1.45467059809e-11,-1.26726442751e-11,-1.33298450869e-11,-1.28436352086e-11,-1.51166980703e-11,-1.30520145976e-11,-1.24660991699e-11,-1.52168313014e-11,-1.35349812683e-11,-1.19773051468e-11,-1.25869983167e-11,-1.32132617695e-11,-1.21565610712e-11,-1.35183469824e-11,-1.29950394829e-11,pol3,1,1,1,Continuum,6
1,-8.65811761615e-12,-9.48222556928e-12,-9.12249201453e-12,-8.30984881693e-12,-9.1827502685e-12,-1.0058351772e-11,-9.1711594818e-12,-8.76046469134e-12,-9.65709347479e-12,-9.61339153714e-12,-8.23985976553e-12,-8.91804737117e-12,-8.52671249665e-12,-8.47196776228e-12,-8.69742010392e-12,-8.61372312392e-12,pol3,1,1,5,Continuum,6
2,1.6008459764e-11,9.97781167649e-12,1.03636277082e-11,1.84370087798e-11,1.06107405693e-11,1.46801852776e-11,8.39827252057e-12,1.23935999068e-11,1.7360422694e-11,8.44984266888e-12,1.59292232108e-11,6.72945246498e-12,1.14692310676e-11,1.74829834266e-11,1.93030681424e-11,1.42131438306e-11,pol3,1,1,90,Continuum,6
3,2.44917476515e-11,1.29446499623e-11,1.6280038941e-11,2.83689732929e-11,1.72608465746e-11,2.3045758778e-11,1.22263356457e-11,1.96767348915e-11,2.57319574842e-11,1.15863510035e-11,2.54820446666e-11,1.00231827512e-11,1.7624232446e-11,2.57815613097e-11,2.79209693354e-11,2.32034759695e-11,pol3,1,1,95,Continuum,6
4,4.89421776778e-11,2.60875417424e-11,3.22098959862e-11,5.07329795129e-11,3.79778752402e-11,4.42283301175e-11,2.54217580833e-11,4.04310214961e-11,4.74387746187e-11,2.10060553446e-11,4.91397303031e-11,2.32688141723e-11,3.51191208816e-11,4.87711155347e-11,4.86263448942e-11,5.09144955044e-11,pol3,1,1,99,Continuum,6
0,68.1090683919,108.66828246,67.0667289936,66.3342515804,64.0346125618,59.4074286422,66.9595149877,64.9112791268,68.4727536308,62.1804848062,64.5988481162,62.9814643432,82.2649647184,64.673541943,68.7764192065,61.8242686796,fitSlo,1,1,1,Peak,6
1,74.5525030226,118.170764612,76.7315401998,71.0450630777,73.8738466677,85.8151603718,71.5300350478,70.713087176,78.6318245457,69.7650801809,70.5926966655,70.302911387,90.3245907233,73.01919985,75.9640160341,76.5561911512,fitSlo,1,1,5,Peak,6
2,110.187308734,148.828619875,120.676228653,162.651248815,119.195378468,111.649309744,106.715616392,108.049300326,109.33623696,122.904725709,113.192230256,137.234249089,146.033745516,109.614204353,108.166133593,102.323967415,fitSlo,1,1,90,Peak,6
3,131.650911929,163.34387931,142.480135665,218.257922367,146.470486855,134.179624739,129.101620677,134.315271851,127.923333692,151.403338376,137.42244611,175.039539279,177.153250495,132.393834973,124.972271417,123.516157239,fitSlo,1,1,95,Peak,6
4,199.078407769,207.863153492,218.032938651,343.906087133,207.971570682,196.539498623,201.689114439,200.780262374,177.755794431,211.925798182,213.968656143,271.709263701,290.129660011,188.143698001,176.285188154,193.102764734,fitSlo,1,1,99,Peak,6
0,56.7907992999,96.2412386739,61.8319224076,55.1463041429,58.3804829246,56.8657641114,51.211536839,56.827377879,61.3756932604,55.0063988117,55.3795613169,55.9181321472,67.72187481,57.2760447366,51.7278022314,54.1974946438,fitSlo,1,1,1,Continuum,6
1,67.4394604448,109.882027902,73.0148196087,65.0106413105,68.1468299426,76.3135518696,63.3184363751,66.6142523462,71.8717974339,67.277251417,64.0172055648,64.6408313836,81.4985510552,66.8561907704,66.872182654,67.1324907165,fitSlo,1,1,5,Continuum,6
2,586.22423369,217.347286208,370.441212314,615.819286385,370.692042075,520.483694556,233.193370491,428.690377656,586.996133327,204.0233256,573.542772609,194.85100833,452.631553108,568.044126133,641.109617646,481.620936297,fitSlo,1,1,90,Continuum,6
3,788.698776586,347.61430658,488.618976107,787.448789124,542.361152654,751.594657494,352.22878507,593.002824766,801.351037491,275.20963328,753.263039115,295.619533774,580.351236751,741.996925544,822.99831035,745.722284681,fitSlo,1,1,95,Continuum,6
4,1253.14038239,656.49512981,682.369921274,1160.0018868,847.797485565,1152.48865861,609.263937331,879.612972739,1140.84396035,485.081539577,1075.33740944,612.381611639,749.85763453,1070.50626811,1179.22952682,1243.79070489,fitSlo,1,1,99,Continuum,6
0,1.6122823028,1.41723997386,1.62136391256,1.53487568487,1.60417675615,1.39096615332,1.66056619693,1.63380818678,1.59980270559,1.68510927972,1.62195353766,1.6433065213,1.55511436833,1.46403637434,1.6549288256,1.72787038704,riseNoise,1,1,1,Peak,6
1,1.75019648957,1.50844920677,1.75986213846,1.78895638757,1.76414687058,1.67264395904,1.82801814003,1.79615086698,1.7390731878,1.84666065232,1.77852937434,1.76630112465,1.64821404688,1.78366700543,1.7962055581,1.83866125397,riseNoise,1,1,5,Peak,6
2,2.36182533986,1.92750895006,2.42081625158,2.67228193104,2.51082555806,2.37962948819,2.54762144184,2.42930952807,2.35324736402,2.60245654753,2.44877209404,2.45279817707,2.22165114988,2.53437388665,2.45287240869,2.47974680427,riseNoise,1,1,90,Peak,6
3,2.44106645816,1.9867590423,2.5015333705,2.85949929092,2.6114885704,2.46378932039,2.64142232283,2.50370733637,2.44494097343,2.70685085556,2.53152086243,2.53613147716,2.28852842989,2.64053445571,2.55455566202,2.56596803336,riseNoise,1,1,95,Peak,6
