,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,-9.00290261962e-07,-9.11886104374e-07,-2.2935254471e-07,-6.3080146656e-06,-3.18401138152e-08,-3.33113803358e-07,-5.06866697541e-07,3.21654763661e-08,-1.07132782012e-06,-1.67037910691e-07,-2.46842518801e-07,-3.84056358354e-07,-5.04738248891e-08,-1.17688253866e-06,-9.81667571875e-07,-2.76930261305e-07,pol2,1,1,1,Peak,28
1,2.21981460923e-07,-6.57173313733e-07,2.64984176269e-07,-1.12846632096e-06,3.32122353845e-07,1.4506549889e-07,1.24590428009e-07,3.29853951135e-07,-1.80344059028e-07,1.64283837345e-07,-4.80999922572e-08,9.30314376317e-08,-2.18110873686e-08,2.91720665277e-07,2.4306142677e-07,6.7691311206e-08,pol2,1,1,5,Peak,28
2,1.00189967146e-06,1.70742200885e-07,1.05870117885e-06,8.46344753587e-07,1.12040461487e-06,9.69931864743e-07,9.82660897135e-07,1.05147575123e-06,6.9612155991e-07,9.84637924447e-07,7.45766295388e-07,1.00336384073e-06,8.6177291735e-07,1.0516421531e-06,9.92166783479e-07,8.70541247522e-07,pol2,1,1,90,Peak,28
3,1.08136786849e-06,2.83483001004e-07,1.14500253469e-06,9.29203959512e-07,1.21081070963e-06,1.06346102158e-06,1.06561314013e-06,1.13875614174e-06,7.93148156036e-07,1.07572442456e-06,8.29159785421e-07,1.08749728583e-06,9.37349451753e-07,1.12542093833e-06,1.06771629512e-06,9.43377118033e-07,pol2,1,1,95,Peak,28
4,1.1647529814e-06,5.36386511001e-07,1.29357498911e-06,1.04598213862e-06,1.36235349297e-06,1.20767831558e-06,1.18674750009e-06,1.26934860573e-06,9.15984782657e-07,1.2227147245e-06,9.19120995715e-07,1.21412380541e-06,1.00961874721e-06,1.23462975558e-06,1.19145211219e-06,1.10964890324e-06,pol2,1,1,99,Peak,28
0,-2.44957107223e-06,-1.39416791684e-06,-1.81021780332e-06,-2.28384818899e-06,-1.99718585702e-06,-2.30666228497e-06,-1.29848536563e-06,-1.9944095094e-06,-2.479200356e-06,-1.02954195331e-06,-2.5156114429e-06,-1.0635532571e-06,-1.60259751382e-06,-2.3686728386e-06,-2.58564161637e-06,-2.36409308998e-06,pol2,1,1,1,Continuum,28
1,-1.25492680005e-06,-6.61763129526e-07,-8.06034014298e-07,-1.24163683193e-06,-8.79329217625e-07,-1.19343343534e-06,-5.60597493465e-07,-9.68187499149e-07,-1.31461926114e-06,-5.13657215617e-07,-1.21484675292e-06,-4.38770963439e-07,-8.54412290215e-07,-1.26291190822e-06,-1.38212762106e-06,-1.20626346629e-06,pol2,1,1,5,Continuum,28
2,3.14219099566e-07,3.20186595718e-07,3.44285703239e-07,2.98133765776e-07,3.26952086701e-07,2.92695875855e-07,3.45977770507e-07,3.17529476602e-07,3.29837874187e-07,3.44252440335e-07,3.03756262319e-07,3.37027014142e-07,3.36459643129e-07,3.04259200906e-07,3.06020729821e-07,3.18088170373e-07,pol2,1,1,90,Continuum,28
3,4.05158123867e-07,4.42541121963e-07,4.3026110484e-07,3.89284425563e-07,4.24055034395e-07,4.06659018978e-07,4.32232938272e-07,4.02465566386e-07,4.50256999766e-07,4.35481864088e-07,3.96192967594e-07,4.17379727871e-07,4.52246480438e-07,3.87414006772e-07,3.99034603492e-07,4.25900282659e-07,pol2,1,1,95,Continuum,28
4,5.80469459553e-07,6.83076739068e-07,6.10891046943e-07,5.92831387642e-07,6.09895377929e-07,6.07126620359e-07,6.10716623371e-07,5.91742312448e-07,6.69489708603e-07,6.39523702607e-07,5.72680566509e-07,5.77208955115e-07,6.56696088901e-07,5.73423387989e-07,6.1403563792e-07,6.35061655815e-07,pol2,1,1,99,Continuum,28
0,-2.52841524155e-11,-9.68025634702e-12,-2.631779388e-11,-2.23838181009e-11,-2.81042739841e-11,-2.50408882493e-11,-2.50346501541e-11,-2.54437767419e-11,-1.97672532325e-11,-2.48752573688e-11,-2.0685112604e-11,-2.56772294089e-11,-2.34899761789e-11,-2.5612565542e-11,-2.4969171168e-11,-2.40308795229e-11,pol3,1,1,1,Peak,28
1,-2.12688957564e-11,-4.30519521065e-12,-2.2059638714e-11,-1.85585456769e-11,-2.395081449e-11,-2.10301105074e-11,-2.11014502181e-11,-2.21808345529e-11,-1.60314588937e-11,-2.1057123235e-11,-1.68177556047e-11,-2.16880550766e-11,-1.92373319653e-11,-2.21054635207e-11,-2.10076336164e-11,-1.86964859588e-11,pol3,1,1,5,Peak,28
2,-5.84829779816e-12,1.36189535935e-11,-5.25203668399e-12,7.35904312623e-13,-7.18063752568e-12,-3.57308234702e-12,-4.33924843567e-12,-6.65960839343e-12,2.34485630491e-12,-4.14749809753e-12,-7.15733009492e-14,-4.80224681359e-12,-1.16425481664e-12,-6.82169726496e-12,-5.61106804441e-12,-1.86944700952e-12,pol3,1,1,90,Peak,28
3,-3.49190098469e-12,1.59092075825e-11,-3.28276532821e-12,8.73535882915e-12,-4.83716445445e-12,-1.7150828586e-12,-2.46358950666e-12,-4.7422715824e-12,5.0246002969e-12,-1.91949225515e-12,2.11099451055e-12,-2.70000283277e-12,1.39156056838e-12,-4.80697908249e-12,-3.86192417895e-12,1.12777233105e-13,pol3,1,1,95,Peak,28
4,1.04004972466e-12,2.13813133794e-11,1.37383047596e-12,8.8559269339e-11,2.86850655059e-14,7.57996130795e-13,-4.52782089161e-13,-6.49639978697e-13,1.15778278488e-11,1.86342164584e-12,7.6870723623e-12,2.24347732721e-13,6.63798615189e-12,4.63184238694e-13,1.91298361437e-12,3.76754011814e-12,pol3,1,1,99,Peak,28
0,-1.24983380264e-11,-1.44545281222e-11,-1.29649802286e-11,-1.25386262816e-11,-1.3260764057e-11,-1.30133928261e-11,-1.32469511927e-11,-1.23972545166e-11,-1.46078718047e-11,-1.38022105702e-11,-1.22231717689e-11,-1.25902440838e-11,-1.37882325397e-11,-1.22542627047e-11,-1.31876532161e-11,-1.36834875193e-11,pol3,1,1,1,Continuum,28
1,-8.43467916943e-12,-9.43534681435e-12,-9.03415669023e-12,-8.11860322547e-12,-8.98971218718e-12,-8.62921099609e-12,-9.22195515335e-12,-8.42020459857e-12,-9.72355051517e-12,-9.344143154e-12,-8.31847328355e-12,-8.9201048978e-12,-9.35517320561e-12,-8.11657704378e-12,-8.56355667582e-12,-8.99353041184e-12,pol3,1,1,5,Continuum,28
2,1.56966257571e-11,1.05747771971e-11,1.0712924901e-11,1.67140685313e-11,1.15658334104e-11,1.56773533498e-11,8.40575548831e-12,1.15056098864e-11,1.73001456816e-11,8.16343204106e-12,1.56326683185e-11,6.70262030699e-12,1.16705607833e-11,1.67416586931e-11,1.83396878818e-11,1.45348797206e-11,pol3,1,1,90,Continuum,28
3,2.43805009249e-11,1.41684089862e-11,1.67540289516e-11,2.45502782961e-11,1.78313326804e-11,2.40251814153e-11,1.18054848474e-11,1.97419737838e-11,2.62929159851e-11,1.12325972575e-11,2.39650159792e-11,9.45384078278e-12,1.73651641567e-11,2.52760117958e-11,2.74602749305e-11,2.37614759747e-11,pol3,1,1,95,Continuum,28
4,4.82532632045e-11,2.74305540625e-11,3.58736042232e-11,4.35308395265e-11,3.92575343783e-11,4.52052404759e-11,2.60423261841e-11,3.82835112255e-11,4.84344520964e-11,2.08129359864e-11,4.79355261254e-11,2.12624997747e-11,3.22083693422e-11,4.63539165771e-11,4.79551013176e-11,4.57056005126e-11,pol3,1,1,99,Continuum,28
0,67.5569452206,110.35936091,66.9601905655,66.5987684012,63.8608223518,59.9067871809,65.1407853006,62.3212925148,65.8955385639,63.40764246,64.4023479805,63.0682302295,84.4149160037,65.7678054287,69.319724201,60.2743132354,fitSlo,1,1,1,Peak,28
1,74.0070411925,119.305205709,76.5389184359,71.1804499461,73.3922010389,85.9546505797,71.4573022871,70.8810853993,75.6037337132,70.479605919,70.5957506804,70.9402718737,92.1738334268,73.2631700874,76.9633319419,76.611681557,fitSlo,1,1,5,Peak,28
2,111.182849438,149.134417402,122.722497756,158.857884835,115.727408041,110.173791669,110.243124961,107.837151983,109.316661673,122.05090091,111.419405067,139.282668017,142.920217938,109.47990309,105.86245162,102.830859618,fitSlo,1,1,90,Peak,28
3,134.109210971,163.698778102,148.803902856,213.150029286,140.213973764,132.952813939,134.830468378,127.747062393,130.577066693,148.917313586,136.193015867,179.841387769,170.752025857,132.215842555,122.845919778,123.033206379,fitSlo,1,1,95,Peak,28
4,202.482422182,208.077756948,216.692090272,368.583184769,202.882788632,223.954607875,196.96660428,192.050408449,192.525114177,211.86013786,202.593333268,281.687628973,231.959715547,183.607973279,170.267699859,181.989796409,fitSlo,1,1,99,Peak,28
0,58.2127947649,97.7440469345,59.2246236812,54.4670218425,58.3918753881,55.643128466,48.9428602153,54.1689545214,57.1584871726,54.3225709536,55.4215389744,55.9174245429,67.283345223,58.0708950728,48.5836030668,53.917917321,fitSlo,1,1,1,Continuum,28
1,68.01556492,111.196253272,72.171760975,64.7820839606,68.2721988975,75.9182947722,62.8908634195,65.071084698,68.7795509866,66.7825305503,64.1068561654,64.756789039,80.6739635411,68.0810908892,60.4835423875,69.0324017401,fitSlo,1,1,5,Continuum,28
2,600.545839361,228.071886279,357.139560602,591.237672156,376.7116314,538.14263493,242.462276399,425.491683028,567.177925308,193.720707523,572.388797931,183.739287454,441.269412021,569.530806201,641.14769262,502.330861321,fitSlo,1,1,90,Continuum,28
3,824.862420253,352.543156706,497.040571914,764.172352079,532.266058021,773.878531959,363.807470068,595.297142165,761.249691001,267.545032701,752.632990406,280.448913488,556.004327446,737.542308754,841.331116304,782.744322255,fitSlo,1,1,95,Continuum,28
4,1210.82042392,683.145193442,707.268078982,1076.4814394,866.741009666,1156.23849752,618.255074768,893.939002828,1120.82477384,482.245477643,1162.65631626,583.526685192,768.461487482,1058.33853713,1214.24877031,1242.99031656,fitSlo,1,1,99,Continuum,28
0,1.63795019621,1.41499525782,1.67614501527,1.56359510046,1.57193382441,1.56717280994,1.58441241164,1.63565117516,1.60734719596,1.7064292687,1.54114745612,1.60165995222,1.55276502948,1.66146071287,1.66578519358,1.76993875829,riseNoise,1,1,1,Peak,28
1,1.79631858011,1.51096388521,1.81247257105,1.74021426436,1.72939728216,1.73624266751,1.78749077448,1.78415053371,1.75054273856,1.85169413714,1.72565887548,1.75702159793,1.68319851053,1.80272915745,1.80452040787,1.93653574424,riseNoise,1,1,5,Peak,28
2,2.45667633495,1.95431704976,2.50831591036,2.44891254465,2.40392781051,2.39397895211,2.53715971393,2.46949757333,2.35226639118,2.58036524621,2.45857923571,2.47276282121,2.26371057986,2.45539386327,2.40482126331,2.64926838399,riseNoise,1,1,90,Peak,28
3,2.56782789683,2.03350028985,2.6109625406,2.54266510712,2.49700426329,2.47818664891,2.63261801782,2.56084717874,2.43282738272,2.6772867174,2.56375965834,2.57064963845,2.33931215168,2.5414126459,2.4855841871,2.77439906305,riseNoise,1,1,95,Peak,28
4,2.78674225346,2.20792235788,2.82954487372,2.78037895035,2.6886322543,2.67168982783,2.8226167573,2.73769641484,2.60950001296,2.8593958255,2.7710007453,2.73948194708,2.50775411527,2.72894706756,2.65839471717,3.09686057905,riseNoise,1,1,99,Peak,28
0,0.982698757459,0.945061301109,1.01095735659,0.992005671305,0.945299470693,0.931006805907,0.937974078607,0.965984299398,0.987836022404,1.00586024716,0.945803359051,0.960778620576,0.956080318119,0.973265227565,0.976701041273,1.00768439379,riseNoise,1,1,1,Continuum,28
