,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,-9.12048875684e-07,-7.85214596557e-07,-5.14847841373e-07,-3.54578037958e-07,-7.11930031624e-08,-4.03730071532e-07,-8.30975634681e-07,-8.73167771775e-07,-8.57472474121e-07,-1.74925952869e-07,-1.09099608869e-06,-2.24926736849e-07,-1.09646797681e-06,-8.2250095385e-07,8.39183852621e-08,-9.33343464379e-06,-2.4136999968e-07,-7.31696256423e-07,-1.00069057703e-07,-1.08738922215e-06,-4.35161025311e-07,pol2,5,1,1,Peak,15
1,2.25359312271e-07,3.44666053108e-07,2.14593999965e-07,8.45571217297e-08,2.97924522623e-07,-7.01673876927e-08,2.01889912558e-07,2.16332521923e-07,-3.24582585032e-07,1.36329790295e-07,-1.84899239352e-07,5.09087767176e-08,2.7052968162e-07,-6.15195873503e-07,4.39528860451e-07,-1.60072445998e-06,2.56372695175e-07,2.19636590211e-07,1.63800397591e-07,3.04039768056e-07,1.71297504571e-07,pol2,5,1,5,Peak,15
2,1.20704289847e-06,1.11955071145e-06,1.05875729283e-06,9.64667392891e-07,1.0535867623e-06,1.10447626356e-06,1.12801504187e-06,1.03914076696e-06,6.50478400961e-07,9.52742847727e-07,6.99334362146e-07,9.79000401252e-07,1.04229886574e-06,1.98730087503e-07,1.27721797251e-06,8.47397708902e-07,1.01363611604e-06,1.09648083957e-06,9.74570880991e-07,1.05941956044e-06,1.11195339454e-06,pol2,5,1,90,Peak,15
3,1.29454273227e-06,1.20097101233e-06,1.1526059234e-06,1.037447708e-06,1.13330001158e-06,1.23973923686e-06,1.23331986873e-06,1.12546024961e-06,7.63179565192e-07,1.04865264417e-06,7.84391381123e-07,1.0551783048e-06,1.11490322072e-06,3.07896355421e-07,1.3577976866e-06,9.30085132575e-07,1.10415583404e-06,1.20303406481e-06,1.0631424464e-06,1.13560190857e-06,1.21308358024e-06,pol2,5,1,95,Peak,15
4,1.42704760354e-06,1.3192740136e-06,1.28590734812e-06,1.15629496413e-06,1.27029707361e-06,1.42707603658e-06,1.3755278306e-06,1.24622940814e-06,9.5789954959e-07,1.22610658738e-06,8.90293359679e-07,1.16140110352e-06,1.23339225569e-06,4.91594923009e-07,1.51715756781e-06,1.04738941186e-06,1.2627389717e-06,1.35176460837e-06,1.23262073022e-06,1.23731431556e-06,1.37695641704e-06,pol2,5,1,99,Peak,15
0,-1.58443435571e-06,-2.43071663656e-06,-1.47195469425e-06,-1.46139084938e-06,-2.1868266206e-06,-2.25143692592e-06,-3.56994465778e-06,-2.7117367907e-06,-6.94629710572e-06,-1.02961012273e-06,-2.62642145765e-06,-1.45936790174e-06,-2.71487374424e-06,-1.32231951993e-06,-1.71118955369e-06,-2.84217338701e-06,-1.8855756171e-06,-2.3491900969e-06,-2.77598462858e-06,-2.45791595695e-06,-2.67625914771e-06,pol2,5,1,1,Continuum,15
1,-8.01845505806e-07,-1.271616361e-06,-5.97240333262e-07,-6.02091459457e-07,-1.0049697637e-06,-1.18466568903e-06,-1.90948597101e-06,-1.34123835389e-06,-2.87053673204e-06,-5.31115171261e-07,-1.37751480179e-06,-4.70916828273e-07,-1.60462718994e-06,-5.71387249251e-07,-8.63825295117e-07,-1.420641875e-06,-8.49856087051e-07,-1.22838950168e-06,-1.20765030917e-06,-1.38880663787e-06,-1.19588963248e-06,pol2,5,1,5,Continuum,15
2,4.00632513347e-07,3.26880077521e-07,3.38333848382e-07,3.49497702019e-07,3.20142469789e-07,4.81155408067e-07,4.03395774813e-07,3.39351566775e-07,3.62942695249e-07,3.46245262073e-07,3.11847270201e-07,3.39268681423e-07,2.23925282504e-07,3.10726723052e-07,3.65184224547e-07,2.84913975585e-07,3.17947288079e-07,3.81379252631e-07,3.8042995499e-07,3.2129040991e-07,4.1246238614e-07,pol2,5,1,90,Continuum,15
3,5.13828259705e-07,4.24952326464e-07,4.22544718056e-07,4.42917552403e-07,4.19634867375e-07,6.34299254343e-07,5.37505777916e-07,4.60405056462e-07,5.17875930155e-07,4.41005314186e-07,4.13441209238e-07,4.22401882757e-07,3.31357245659e-07,3.99054570972e-07,4.6786117136e-07,3.87288536718e-07,4.15416056519e-07,4.88038903657e-07,4.78855894974e-07,4.20121116977e-07,5.48121736474e-07,pol2,5,1,95,Continuum,15
4,7.32016018887e-07,6.13990139645e-07,5.83611796298e-07,6.1362223869e-07,5.83404140378e-07,9.16153740652e-07,8.89876126728e-07,6.89974352975e-07,1.30311987574e-06,6.2301217519e-07,6.4092562723e-07,5.78014321758e-07,5.47500123911e-07,5.68897901481e-07,6.46947012496e-07,5.74252247941e-07,5.7095617064e-07,7.64819155261e-07,6.97681467304e-07,6.1734811042e-07,8.11027454177e-07,pol2,5,1,99,Continuum,15
