,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,-8.11979305657e-07,-8.89596735896e-07,-8.71875320475e-08,-2.99259719568e-06,-8.47698942898e-08,-3.91823201378e-07,-4.16281942196e-07,-8.08596508917e-08,-9.76156674676e-07,-1.09484552401e-07,-3.47775108949e-07,-2.26060946248e-07,-2.38915246977e-07,0,-1.10088602761e-06,-1.91261995687e-07,pol2,1,1,1,Peak,32
1,1.98288078778e-07,-6.520281764e-07,3.21189366824e-07,-5.47186254535e-07,3.26438197841e-07,1.24335188252e-07,1.03229347136e-07,3.43052435274e-07,-1.63814615832e-07,1.74128895509e-07,-6.09067089555e-08,5.06170102183e-08,5.49815949971e-08,0,2.73526188391e-07,4.38868911961e-08,pol2,1,1,5,Peak,32
2,1.03069579502e-06,1.8118739295e-07,1.17662301993e-06,8.55185673167e-07,1.16089924545e-06,9.7251582306e-07,9.76260027972e-07,1.07091407231e-06,7.25560917254e-07,9.97122219351e-07,7.32917496478e-07,9.89078727423e-07,9.26120243508e-07,0,1.0107215321e-06,8.75803839421e-07,pol2,1,1,90,Peak,32
3,1.09897983788e-06,2.86591114394e-07,1.26687601578e-06,9.26698233443e-07,1.24742741819e-06,1.06556933337e-06,1.06673749882e-06,1.15269534203e-06,8.13667953418e-07,1.09969330051e-06,8.19388219145e-07,1.06600295406e-06,1.0200725366e-06,0,1.08977065814e-06,9.61091967442e-07,pol2,1,1,95,Peak,32
4,1.19326228452e-06,5.04018114666e-07,1.43180262129e-06,1.02069122727e-06,1.39462273353e-06,1.21866417824e-06,1.20098536901e-06,1.28291179799e-06,9.56420610373e-07,1.25634197174e-06,9.19969913633e-07,1.16653758689e-06,1.12822928006e-06,0,1.1990856405e-06,1.08961514212e-06,pol2,1,1,99,Peak,32
0,-2.56722984298e-06,-1.43566560177e-06,-1.66197418606e-06,-2.60974876287e-06,-2.06075729875e-06,-2.4779053243e-06,-1.33200766025e-06,-1.89784800496e-06,-2.63988503638e-06,-1.10277316665e-06,-2.59333817973e-06,-1.30946170038e-06,-1.53174751188e-06,0,-2.61209297415e-06,-2.44738599459e-06,pol2,1,1,1,Continuum,32
1,-1.28991570842e-06,-6.99545068274e-07,-8.14926638115e-07,-1.31676061211e-06,-9.35693179437e-07,-1.25235798075e-06,-6.07955679517e-07,-9.85328590074e-07,-1.32054334447e-06,-5.52586127534e-07,-1.32583445345e-06,-4.54742779431e-07,-8.10347015956e-07,0,-1.40366372403e-06,-1.2019862772e-06,pol2,1,1,5,Continuum,32
2,3.40519299521e-07,3.29312251868e-07,3.689773607e-07,3.03289613141e-07,3.46606033829e-07,3.29477904935e-07,3.59473521716e-07,3.23602880589e-07,3.4016573082e-07,3.60144435508e-07,3.11825228302e-07,3.33877878302e-07,3.44693322188e-07,0,3.19142255865e-07,3.23545323886e-07,pol2,1,1,90,Continuum,32
3,4.3823958822e-07,4.50699335249e-07,4.64422577207e-07,4.01758806441e-07,4.41640046547e-07,4.39479835912e-07,4.47312242724e-07,4.13017872434e-07,4.60397095751e-07,4.73543174016e-07,4.06337551386e-07,4.2520691401e-07,4.4712555488e-07,0,4.22346277045e-07,4.25358167564e-07,pol2,1,1,95,Continuum,32
4,6.39178228571e-07,6.91058181989e-07,6.48949995788e-07,6.06636593965e-07,6.51259340224e-07,6.70544777643e-07,6.19949844358e-07,5.80020920052e-07,6.89541420033e-07,6.82056489612e-07,5.78744646243e-07,5.6996582087e-07,6.75523788008e-07,0,6.64251243887e-07,6.43347087184e-07,pol2,1,1,99,Continuum,32
