,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,-9.63257816347e-07,-1.01262393767e-06,-1.26734801995e-07,-3.32962937395e-06,-1.17582940446e-07,-3.97755809509e-07,-5.0948130523e-07,-1.84794154344e-07,-9.49435578033e-07,-2.53521115047e-07,-5.00104671334e-07,-2.21948722147e-07,-7.42668772835e-07,-1.25640051486e-06,-1.0991332978e-06,-1.46654877391e-07,pol2,1,1,1,Peak,13
1,2.39406906448e-07,-7.79223722382e-07,3.48654958308e-07,-5.95433404293e-07,2.87080400326e-07,1.84399051188e-07,1.25574524478e-07,2.78789963716e-07,2.35015693766e-07,1.17254105806e-07,-8.54364221691e-08,5.2167721575e-08,1.83224633849e-07,3.3947763915e-07,2.65975590372e-07,1.14746788399e-07,pol2,1,1,5,Peak,13
2,9.87617069125e-07,5.39192370155e-08,1.16204747047e-06,6.23560635952e-07,1.05937641572e-06,1.07439496388e-06,9.1383707395e-07,1.01589501013e-06,1.05347460812e-06,9.09439337978e-07,6.92801724571e-07,8.99076072508e-07,1.10919948788e-06,1.09756034489e-06,1.05695359542e-06,9.30075822961e-07,pol2,1,1,90,Peak,13
3,1.05806761165e-06,1.67302873297e-07,1.25860678147e-06,7.19582756854e-07,1.14688871208e-06,1.15895551687e-06,9.97827899468e-07,1.11171394214e-06,1.14002792395e-06,1.0077574091e-06,7.77569950913e-07,9.60977396693e-07,1.19463775174e-06,1.18342455308e-06,1.13854444981e-06,1.02566149752e-06,pol2,1,1,95,Peak,13
4,1.17565950342e-06,3.96734661313e-07,1.38253510203e-06,8.13928681132e-07,1.32499244116e-06,1.33354726863e-06,1.12800702365e-06,1.24658479714e-06,1.27096552697e-06,1.14306773647e-06,8.85648090546e-07,1.06129154667e-06,1.30198535114e-06,1.28312955901e-06,1.24498489973e-06,1.12493644373e-06,pol2,1,1,99,Peak,13
0,-2.57603243501e-06,-1.22403480507e-06,-1.56017636282e-06,-2.59310520919e-06,-1.8208591739e-06,-2.43285558669e-06,-1.31940522902e-06,-2.07798074341e-06,-2.43302490226e-06,-1.14524904321e-06,-2.43328324879e-06,-1.19679788655e-06,-1.51135006412e-06,-2.4302411713e-06,-2.70148099913e-06,-2.44956294948e-06,pol2,1,1,1,Continuum,13
1,-1.25312384233e-06,-6.31102385664e-07,-7.84969380121e-07,-1.32204750554e-06,-8.04847102003e-07,-1.24837600735e-06,-5.7940201615e-07,-9.75521438646e-07,-1.33462647457e-06,-5.23554912232e-07,-1.25410091703e-06,-4.54501609015e-07,-7.79189890127e-07,-1.30183621722e-06,-1.35259561883e-06,-1.21222235391e-06,pol2,1,1,5,Continuum,13
2,3.31356874566e-07,3.29221174003e-07,3.41763617175e-07,2.90342302536e-07,3.41035671848e-07,3.7356885513e-07,3.54023111189e-07,3.20517799761e-07,3.46381910308e-07,3.66141908115e-07,2.88027608783e-07,3.22530655594e-07,3.17231248986e-07,3.07010914519e-07,3.10869673407e-07,3.11280030318e-07,pol2,1,1,90,Continuum,13
3,4.31542027932e-07,4.43861652658e-07,4.40196773486e-07,3.94194630111e-07,4.41522847109e-07,4.92915571171e-07,4.55138480204e-07,4.09504801848e-07,4.65451538392e-07,4.77909845832e-07,3.93690515926e-07,3.95379029075e-07,4.33800579014e-07,3.90111684e-07,4.26290312512e-07,4.1653382193e-07,pol2,1,1,95,Continuum,13
4,6.07673991108e-07,6.79977194185e-07,6.18859191428e-07,5.76142259571e-07,6.05711713831e-07,7.14260881656e-07,6.12456624879e-07,5.60334449973e-07,6.99704569163e-07,6.72301931056e-07,5.7388701649e-07,5.27212075747e-07,6.36014167121e-07,5.83404682609e-07,6.43050699445e-07,5.91502428338e-07,pol2,1,1,99,Continuum,13
