,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,-5.1074129699e-07,-1.09475314861e-06,-8.17918337468e-07,-5.06996732726e-07,-2.57176156916e-07,-1.98187488247e-07,-6.09516563259e-07,-6.5399519575e-07,-2.13695580653e-06,-1.7063481708e-07,-7.98896542446e-07,-3.11489441341e-07,-1.06210016734e-06,-9.06794713903e-07,-2.43222777391e-07,-3.54996570998e-06,-5.75910935967e-07,-9.25561048012e-08,-1.09185671519e-07,-8.3485123915e-07,-3.67551514447e-07,pol2,5,1,1,Peak,13
1,1.18480764322e-07,3.5039515169e-07,2.01015464955e-07,1.23409264869e-07,3.29693563191e-07,-3.68437223597e-08,2.61829308509e-07,1.59974155088e-07,-3.56957150092e-07,1.79318818117e-07,-1.42859824256e-07,6.51060304956e-08,2.63945156778e-07,-6.90609581664e-07,4.03420676815e-07,-6.29682169985e-07,2.49291109946e-07,3.51007202619e-07,1.60662327118e-07,2.50285393103e-07,1.98415411323e-07,pol2,5,1,5,Peak,13
2,1.09151758969e-06,1.13548174565e-06,1.05449065388e-06,9.94585303917e-07,1.07507069312e-06,1.03883148254e-06,1.12702570931e-06,9.79501335138e-07,6.31276547918e-07,1.00408428528e-06,7.44988669056e-07,1.02923901293e-06,1.05674471855e-06,1.65791461478e-07,1.25241448051e-06,7.44926599248e-07,1.01231030884e-06,1.15860514504e-06,9.87953738573e-07,9.70621237677e-07,1.14765146335e-06,pol2,5,1,90,Peak,13
3,1.18189130522e-06,1.20640178643e-06,1.13404402282e-06,1.08338504934e-06,1.1567867301e-06,1.14313755941e-06,1.22285496516e-06,1.07196340292e-06,7.31541952231e-07,1.08510695364e-06,8.08930670855e-07,1.09624329073e-06,1.14230921099e-06,2.7729563543e-07,1.34096104308e-06,8.33008152572e-07,1.10054482244e-06,1.25637598752e-06,1.09247437848e-06,1.06260603277e-06,1.24789497217e-06,pol2,5,1,95,Peak,13
4,1.30991415814e-06,1.31975187618e-06,1.24830032194e-06,1.21131443868e-06,1.28157271098e-06,1.28261312042e-06,1.36762376075e-06,1.2077332308e-06,9.14741266255e-07,1.26643992286e-06,9.19141081671e-07,1.1812487178e-06,1.25353487882e-06,4.96513307964e-07,1.50849738064e-06,9.5203002818e-07,1.25018683584e-06,1.42334126815e-06,1.26449338569e-06,1.19038344918e-06,1.43649440804e-06,pol2,5,1,99,Peak,13
0,-1.81574479529e-06,-2.43910837947e-06,-1.22266187447e-06,-1.47862999456e-06,-1.87232856772e-06,-1.98082392147e-06,-3.5907203509e-06,-2.68158723191e-06,-7.30975106288e-06,-1.1284099643e-06,-2.83856434928e-06,-1.2241653041e-06,-2.67210948687e-06,-1.54994199287e-06,-1.84370978511e-06,-2.70184939692e-06,-1.80226268233e-06,-2.54585175919e-06,-2.733758493e-06,-2.68224812804e-06,-2.73844349493e-06,pol2,5,1,1,Continuum,13
1,-8.86399943098e-07,-1.30575468947e-06,-5.74396106809e-07,-6.20828086761e-07,-1.03399855524e-06,-1.19589498143e-06,-1.72389642216e-06,-1.3412325726e-06,-2.87960276071e-06,-5.48419599676e-07,-1.5427036863e-06,-4.97331413368e-07,-1.41412084308e-06,-5.75870641598e-07,-8.85904965366e-07,-1.43205741902e-06,-8.60841923238e-07,-1.25858946823e-06,-1.35290992325e-06,-1.49014848568e-06,-1.19379901729e-06,pol2,5,1,5,Continuum,13
2,3.93421698754e-07,3.27913909571e-07,3.44172575019e-07,3.51347408744e-07,3.1833076231e-07,4.65440394557e-07,4.24743345759e-07,3.39884725069e-07,3.60567073065e-07,3.56655090415e-07,3.0581200536e-07,3.41857855101e-07,2.28004733191e-07,3.08926777578e-07,3.70393822173e-07,2.92346014531e-07,3.4440362789e-07,3.96961104825e-07,3.91850588013e-07,3.10751012409e-07,4.17587429356e-07,pol2,5,1,90,Continuum,13
3,4.98896941139e-07,4.30369249573e-07,4.36235781304e-07,4.49739501872e-07,4.08451454871e-07,6.11002334141e-07,5.65239253881e-07,4.56498390397e-07,5.2244067009e-07,4.62561610977e-07,4.01495214669e-07,4.37225368842e-07,3.19540205866e-07,3.92751521608e-07,4.810169987e-07,3.99022603087e-07,4.35428622432e-07,5.15101295344e-07,4.97677599017e-07,4.15953091159e-07,5.41075690258e-07,pol2,5,1,95,Continuum,13
4,7.13418634903e-07,6.16453110752e-07,6.08528096823e-07,6.4113234056e-07,5.77103422716e-07,8.76113655231e-07,8.91964342272e-07,6.67354054026e-07,1.12199556984e-06,6.63236207697e-07,5.98339234795e-07,6.05702369894e-07,5.4421818425e-07,5.53618509632e-07,6.73890024046e-07,5.89524358553e-07,6.22608969876e-07,7.1115472979e-07,7.28280750743e-07,6.43281061329e-07,8.13978499554e-07,pol2,5,1,99,Continuum,13
