,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,344.246987499,290.494047755,334.050780277,363.001458484,330.261780889,336.818569101,349.1185385,358.34431431,340.932712434,352.963179948,364.214040549,339.835285977,359.618306938,336.97006145,322.496726033,372.867108609,bcMax,1,1,1,Peak,51
1,368.535263331,304.788377912,357.771917572,388.427814262,354.103491454,367.38218301,377.347181717,386.50943172,363.138287791,378.001658693,392.46239689,365.779187799,384.159270299,360.748198421,350.141463065,409.47274653,bcMax,1,1,5,Peak,51
2,591.186807485,426.290184251,528.495206528,680.613320768,501.471906655,492.168263292,563.688549824,585.411490872,516.905927896,554.933524592,573.401679364,525.894227644,544.588212599,509.652382982,500.173201731,607.992537805,bcMax,1,1,90,Peak,51
3,656.965300607,466.001118312,582.089228342,777.158872173,529.539893466,522.271581811,646.327364127,681.341880771,553.819712306,587.629646736,630.165895421,553.992143456,588.903919163,535.059159472,538.79248261,725.1066539,bcMax,1,1,95,Peak,51
4,738.593381299,516.874478732,690.655263348,883.651164225,580.990212987,567.150382356,761.019695061,818.506002559,627.074234021,673.576618041,882.796082245,613.299328618,659.129609772,581.638249705,609.131436633,831.035713963,bcMax,1,1,99,Peak,51
5,420.0,343.0,417.0,432.0,430.0,450.0,486.0,419.0,416.0,435.0,459.0,431.0,444.0,425.0,403.0,487.0,bcMax,1,1,Mode,Peak,51
6,447.045886587,351.622929221,430.002003153,475.336271688,425.047081055,443.114193118,458.296081491,468.707850725,432.963514086,460.36417404,470.200416573,446.247413447,458.142965738,439.985923457,419.980090336,485.003426732,bcMax,1,1,Median,Peak,51
0,264.453181856,239.504708797,254.81679668,283.776854329,249.798543196,242.52814437,262.442008241,266.636970837,261.135378607,269.014500164,278.002111451,261.291392759,277.041420039,252.406361494,244.625603079,260.575826639,bcMax,1,1,1,Continuum,51
1,272.276302721,246.343053739,262.837345217,294.142843597,257.208845842,251.960450992,271.002029908,277.25065631,269.644512778,280.293350346,286.914454181,268.506945329,296.292687171,262.838892421,253.619024957,272.158951924,bcMax,1,1,5,Continuum,51
2,497.223806031,368.27652773,402.82885181,565.763333954,341.093471795,335.407490186,437.057803774,478.502461623,381.233596861,397.297180015,426.159588756,367.36001554,445.869696615,346.002948103,368.436229174,479.64168358,bcMax,1,1,90,Continuum,51
3,546.915920129,402.910533457,470.867901237,680.946839066,377.650964849,366.784346907,539.864528651,571.122742545,442.25304585,446.096245619,490.099515495,393.748322082,486.711937119,373.252587243,423.356532739,623.272437107,bcMax,1,1,95,Continuum,51
4,603.513358789,446.526245972,574.360099994,769.294534399,429.029063195,407.59351025,631.387588602,683.745738396,507.041891993,501.123363175,760.086264977,429.104529676,527.266845278,447.596711416,470.314280965,711.255926246,bcMax,1,1,99,Continuum,51
5,283.0,262.0,285.0,320.0,272.0,277.0,292.0,299.0,291.0,309.0,306.0,281.0,319.0,285.0,280.0,299.0,bcMax,1,1,Mode,Continuum,51
6,303.404683534,270.983977084,290.10287733,327.741662598,282.266976875,280.722164495,300.203020834,308.211778415,300.381799188,312.202291607,317.0466399,294.899156877,335.349566817,294.912612847,287.745951429,310.626849295,bcMax,1,1,Median,Continuum,51
0,0.358230094569,0.515424023297,0.409282963009,0.294200123155,0.457775912218,0.458519894655,0.352037552706,0.320109069611,0.422934114996,0.387382072275,0.305312244241,0.437619563174,0.399540134584,0.45574046579,0.434152442989,0.323628778398,noiseWeight,1,1,1,Peak,51
1,0.40291918683,0.570905163526,0.485667671424,0.334843414094,0.502304785504,0.498325577415,0.415146338912,0.384851591273,0.478853884235,0.443561749467,0.426960594579,0.484089428314,0.447028283903,0.495779077204,0.490856126401,0.370629672387,noiseWeight,1,1,5,Peak,51
2,0.688929377301,0.847482787948,0.759569055802,0.645083626991,0.722797683682,0.678169776756,0.681862439114,0.65269359329,0.703856879067,0.666149300829,0.661334861122,0.70490053375,0.659075243453,0.70435082133,0.722672215863,0.624629884706,noiseWeight,1,1,90,Peak,51
3,0.718169657536,0.874056522684,0.790938957944,0.670445469491,0.751744711118,0.709351936406,0.7108391494,0.679309339402,0.731470023291,0.690657611006,0.687110781952,0.733999671675,0.683820929203,0.735626989032,0.755278457642,0.657139740941,noiseWeight,1,1,95,Peak,51
4,0.769547315923,0.917116512115,0.847458291228,0.717201339806,0.806183377581,0.773403466748,0.768377770439,0.73186701527,0.779131066747,0.738963845557,0.73965400518,0.790042455828,0.731132323623,0.787178300214,0.819971319817,0.721616717914,noiseWeight,1,1,99,Peak,51
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noiseWeight,1,1,Mode,Peak,51
6,0.591825995971,0.756909115889,0.65849571644,0.547476368324,0.626346352204,0.587645804804,0.585188485801,0.559722242797,0.612854174009,0.56685092163,0.573233043969,0.601541433465,0.574068543171,0.602819084181,0.629669187475,0.554192233163,noiseWeight,1,1,Median,Peak,51
0,0.428231143092,0.568628471355,0.483358682055,0.327118820368,0.601464177492,0.619549050904,0.41135489623,0.375405801496,0.517747990294,0.504577504336,0.344271585778,0.602483915358,0.473881403641,0.590742637607,0.55364526642,0.36714045053,noiseWeight,1,1,1,Continuum,51
