,1106,1110,1120,1124,1128,1170,1172,1174,1176,1204,1208,1298,1302,1330,1332,Cut,DS,Module,Percentage,Range,SubDS
0,398.096609567,0,418.592526748,371.21000495,395.658430406,408.745441615,368.770170362,446.286698399,379.784719757,327.142492486,0,506.101351028,443.355023631,492.244848908,0,bcMax,5,2,1,Peak,12
1,435.546837994,0,459.791219448,401.646404357,430.018461948,444.208717168,397.005205673,477.437109959,411.751549808,351.034081818,0,542.570946761,464.817732183,526.616956491,0,bcMax,5,2,5,Peak,12
2,569.060384829,0,642.566775617,528.925892786,599.14192404,637.72864035,566.519032344,693.770029505,600.207801753,487.677985856,0,786.054679268,661.956684812,778.079843974,0,bcMax,5,2,90,Peak,12
3,602.545925268,0,663.631643918,555.804790963,623.778449041,664.945983539,598.795045185,745.814786651,639.357573033,505.840922727,0,899.397945674,801.464290402,848.477947162,0,bcMax,5,2,95,Peak,12
4,721.32583431,0,714.37353662,612.625991155,666.441699652,759.860701524,671.68806295,928.958821897,752.365526266,554.823121673,0,1186.46360171,1036.49419764,992.366205056,0,bcMax,5,2,99,Peak,12
5,482.0,0,541.0,443.0,500.0,548.0,512.0,522.0,495.0,382.0,0,659.0,510.0,555.0,0,bcMax,5,2,Mode,Peak,12
6,503.685848162,0,555.459684042,465.898970349,515.573841976,546.497560464,483.424174266,578.484843053,508.139456035,420.0592414,0,643.809871418,542.80382336,627.786003747,0,bcMax,5,2,Median,Peak,12
0,288.317768805,0,300.023476824,289.616455659,283.989480337,282.23113953,277.291119624,349.977158275,289.97681466,252.617167028,0,402.23831229,384.486608382,364.091252439,0,bcMax,5,2,1,Continuum,12
1,301.788938439,0,314.415048122,300.538365683,292.596704477,294.383513336,288.064875519,373.844647016,303.384262161,259.756219399,0,423.68520265,405.453940692,393.219105606,0,bcMax,5,2,5,Continuum,12
2,410.451197246,0,409.855925524,373.481121916,363.006619984,393.596546542,370.073004273,556.24575709,414.575644954,313.194565382,0,622.689434571,608.767802637,638.717007502,0,bcMax,5,2,90,Continuum,12
3,445.856692077,0,435.234610395,390.821427116,392.95552693,430.994254167,398.743953349,608.095818838,453.107312259,324.664841993,0,779.754495134,780.032498979,704.979972278,0,bcMax,5,2,95,Continuum,12
4,590.002089344,0,475.623858878,458.94152178,435.568341526,568.357463965,505.630952624,891.162177761,634.20614859,344.857308111,0,1054.23650737,996.757897807,856.885788199,0,bcMax,5,2,99,Continuum,12
5,340.0,0,351.0,331.0,307.0,324.0,303.0,435.0,334.0,272.0,0,480.0,438.0,496.0,0,bcMax,5,2,Mode,Continuum,12
6,345.146571784,0,357.097354959,331.624437331,320.478385205,332.91855363,321.110066148,451.330700811,349.756815129,281.553039767,0,490.595174595,463.554057091,495.706470154,0,bcMax,5,2,Median,Continuum,12
0,0.373453659323,0,0.372515470797,0.42919741491,0.401774803259,0.334862778523,0.392387897023,0.290434219692,0.346499094674,0.479106547483,0,0.233497381084,0.26102185444,0.270851503194,0,noiseWeight,5,2,1,Peak,12
1,0.447461646383,0,0.40056690076,0.473543794934,0.429798575327,0.382871193818,0.439599738835,0.364567752716,0.407949509651,0.52580978317,0,0.308018847273,0.337463463881,0.317498345729,0,noiseWeight,5,2,5,Peak,12
2,0.59437712999,0,0.552846091988,0.632573060486,0.59548298211,0.545900807211,0.638038806304,0.543760202221,0.607676941533,0.730053278271,0,0.49247451791,0.565379901686,0.493724567759,0,noiseWeight,5,2,90,Peak,12
3,0.619193191079,0,0.57861485586,0.655474673297,0.623943772066,0.573909861938,0.66422931709,0.56599540728,0.633593694799,0.759059846305,0,0.510868513025,0.582426283461,0.510891993079,0,noiseWeight,5,2,95,Peak,12
4,0.677629237367,0,0.635681508136,0.709902424864,0.677915481232,0.623609765441,0.716035985356,0.605562420649,0.68711151863,0.814411829342,0,0.54834412924,0.610059876709,0.545920477064,0,noiseWeight,5,2,99,Peak,12
5,1.0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,noiseWeight,5,2,Mode,Peak,12
6,0.535187781067,0,0.478578833629,0.565434997829,0.52040626639,0.466108170255,0.545341839053,0.466669598712,0.513274087925,0.633960636344,0,0.430378309217,0.498279505079,0.428463641518,0,noiseWeight,5,2,Median,Peak,12
0,0.433252333642,0,0.538433593106,0.549568576401,0.605206533354,0.437104768074,0.497255975084,0.295858455777,0.398535565569,0.734132242385,0,0.255510525286,0.262327099852,0.301803088378,0,noiseWeight,5,2,1,Continuum,12
1,0.561005354217,0,0.592400834672,0.644095033161,0.670293463345,0.574126211507,0.630247553315,0.428422420778,0.559758836373,0.790769690519,0,0.347263184037,0.336701385869,0.368841729584,0,noiseWeight,5,2,5,Continuum,12
2,0.834740654684,0,0.804735793306,0.832687590561,0.907169937459,0.828753404387,0.866607364713,0.683482201537,0.822845901003,0.988352945036,0,0.623097891288,0.637468888615,0.634701573191,0,noiseWeight,5,2,90,Continuum,12
3,0.861121208817,0,0.832271602782,0.849413862942,0.940212790665,0.852096700591,0.885964418233,0.713207213581,0.848201924503,1.01528349635,0,0.641081412403,0.6543481592,0.664642221423,0,noiseWeight,5,2,95,Continuum,12
4,0.902618709699,0,0.882115835443,0.886625982689,1.0214466061,0.891224511372,0.920916830661,0.771159001173,0.909759900628,1.12198770828,0,0.681714732707,0.691535302209,0.7214638896,0,noiseWeight,5,2,99,Continuum,12
5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,noiseWeight,5,2,Mode,Continuum,12
6,0.740930353563,0,0.723333488455,0.765300495526,0.823107846324,0.745579065326,0.79297104156,0.584477648399,0.727561898026,0.913505227484,0,0.552574449912,0.567923105475,0.526544875323,0,noiseWeight,5,2,Median,Continuum,12
0,0.890488077597,0,0.884247858845,0.880910554804,0.880375760733,0.886338770527,0.880486828365,0.882378350746,0.878004518921,0.875342536242,0,0.895939442894,0.889187818897,0.895694163887,0,bcTime,5,2,1,Peak,12
1,0.899533945802,0,0.892506829229,0.891769615098,0.890603050134,0.893889490416,0.889639873452,0.891797582232,0.889505024971,0.887875206277,0,0.902382619467,0.897946609875,0.904327600746,0,bcTime,5,2,5,Peak,12
2,0.907675227186,0,0.900765799613,0.900923533692,0.901189191794,0.901619989349,0.902202876512,0.900409451019,0.904060352941,0.899691723737,0,0.91055002639,0.90598302634,0.91150698508,0,bcTime,5,2,90,Peak,12
3,0.907946603232,0,0.901124885282,0.901282510892,0.901458330989,0.902249216007,0.902472083721,0.900588864952,0.904419743755,0.900139319096,0,0.910822273288,0.906344213596,0.911688741646,0,bcTime,5,2,95,Peak,12
4,0.908579814007,0,0.901663513786,0.902000465292,0.902265748573,0.903058221709,0.903100233874,0.902113883383,0.905228373086,0.900586914454,0,0.91163901398,0.90941430528,0.912415767908,0,bcTime,5,2,99,Peak,12
5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,bcTime,5,2,Mode,Peak,12
6,0.906678082192,0,0.9,0.899713467049,0.90009699321,0.900883218842,0.900590551181,0.899322362052,0.901463414634,0.89846743295,0,0.909482758621,0.904436860068,0.91066782307,0,bcTime,5,2,Median,Peak,12
0,0.702887760029,0,0.63508062879,0.657683557372,0.578872348764,0.64442088707,0.741469776706,0.658168718955,0.627853528635,0.604254542564,0,0.754691697017,0.70755438696,0.671920541065,0,bcTime,5,2,1,Continuum,12
1,0.766596481378,0,0.719948936714,0.710364022541,0.645576008392,0.704265622325,0.812936918009,0.75158518127,0.735025591801,0.693231536099,0,0.810263595275,0.760983067095,0.740853021144,0,bcTime,5,2,5,Continuum,12
2,0.906960081356,0,0.900459849466,0.899321183993,0.900008530444,0.901415747409,0.900863158521,0.899403489774,0.901255058443,0.898638479852,0,0.910606583978,0.90682892368,0.911117090665,0,bcTime,5,2,90,Continuum,12
3,0.908152490579,0,0.901288641535,0.900392930546,0.900967145912,0.902403555969,0.9017294269,0.900328405243,0.902090382396,0.899618942591,0,0.911477616866,0.908357884319,0.912129562832,0,bcTime,5,2,95,Continuum,12
4,0.911048341549,0,0.903775017744,0.903773054289,0.903443569203,0.904873077369,0.904068351525,0.903103151648,0.904596354255,0.901743278525,0,0.913568095798,0.91099109431,0.915166979335,0,bcTime,5,2,99,Continuum,12
5,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,bcTime,5,2,Mode,Continuum,12
6,0.901027077498,0,0.895791583166,0.892079207921,0.881182771417,0.895895895896,0.897715988083,0.894683026585,0.89692765114,0.891675025075,0,0.905511811024,0.897150433271,0.906319968497,0,bcTime,5,2,Median,Continuum,12
0,-2.04223362535e-06,0,-1.81271734347e-07,-6.1656347176e-07,-1.09376044239e-06,-8.76428694185e-07,-7.45629391213e-07,-1.55595525243e-08,-1.5456404092e-06,-1.33658371714e-06,0,-3.93592226292e-07,-3.34056696306e-07,-4.74013833888e-08,0,pol2,5,2,1,Peak,12
