,584,592,598,608,610,614,624,626,628,632,640,648,658,660,662,672,678,680,688,690,694,Cut,DS,Module,Percentage,Range,SubDS
0,-7.93817774241e-07,-1.36327900259e-06,-7.81590478477e-07,-4.70639194402e-07,-9.5587813087e-08,-3.80071747705e-07,-5.78510469349e-07,-4.38919142632e-07,-8.86522100372e-07,-1.84517661148e-07,-1.00368634611e-06,-2.55808404896e-07,-9.50609545358e-07,-8.33133978399e-07,-5.68670473189e-07,-3.9124891761e-06,-1.60476760249e-07,-7.82556439799e-07,-1.59514787e-07,-1.14561669291e-06,-2.51658002039e-07,pol2,5,1,1,Peak,16
1,1.76039169666e-07,3.35889001253e-07,1.94931696961e-07,1.15668526215e-07,3.35478617999e-07,-6.47420016689e-08,2.11640251828e-07,2.22953573715e-07,-3.47910860698e-07,1.33226927503e-07,-1.73000571196e-07,5.79144312548e-08,2.29589583098e-07,-5.95234492578e-07,3.87638020219e-07,-7.61627729417e-07,2.54088697018e-07,2.01552685987e-07,1.37000401774e-07,2.85331236943e-07,1.73643866668e-07,pol2,5,1,5,Peak,16
2,1.1937989806e-06,1.10058361874e-06,1.05828899123e-06,9.81911533075e-07,1.05982505694e-06,1.07981146974e-06,1.14659444347e-06,1.04097039101e-06,6.66869985131e-07,9.59571900488e-07,6.90639584129e-07,9.73128691469e-07,1.06122707004e-06,2.0611692859e-07,1.28314992894e-06,8.30369088366e-07,1.04582058256e-06,1.12191217844e-06,9.74059210584e-07,1.04986057163e-06,1.1131323726e-06,pol2,5,1,90,Peak,16
3,1.26459660026e-06,1.18719839717e-06,1.14042854514e-06,1.07181205024e-06,1.13427749364e-06,1.19830567782e-06,1.23519296433e-06,1.13651775774e-06,7.86607727801e-07,1.05789155281e-06,7.84500721206e-07,1.05092259203e-06,1.13617184793e-06,3.20642807188e-07,1.38404849539e-06,9.10624771703e-07,1.1354670873e-06,1.21526280884e-06,1.05782807557e-06,1.11611924843e-06,1.20939044462e-06,pol2,5,1,95,Peak,16
4,1.3881402077e-06,1.3181558012e-06,1.25723890227e-06,1.21522647208e-06,1.26926371461e-06,1.39364825162e-06,1.39345869818e-06,1.27201987439e-06,9.85058086441e-07,1.19962236275e-06,9.0766771801e-07,1.14675366245e-06,1.26625859451e-06,5.49914383729e-07,1.51623650933e-06,1.01322767922e-06,1.28323692373e-06,1.34532529034e-06,1.20514090833e-06,1.21391066902e-06,1.37743694409e-06,pol2,5,1,99,Peak,16
0,-1.76871454069e-06,-2.46374369599e-06,-1.30111431005e-06,-1.2884600675e-06,-1.90717138657e-06,-2.06720603765e-06,-3.34168753589e-06,-2.46326166394e-06,-7.04977190892e-06,-1.05338077374e-06,-2.55422924542e-06,-1.19296927673e-06,-2.93747801038e-06,-1.39222908554e-06,-1.62426963402e-06,-2.52328754631e-06,-1.93636365371e-06,-2.3911684635e-06,-2.54598832296e-06,-2.63139743245e-06,-2.97824863168e-06,pol2,5,1,1,Continuum,16
1,-8.32418106925e-07,-1.21211158034e-06,-5.3826162861e-07,-5.54631348414e-07,-9.51583483335e-07,-1.15687361229e-06,-1.80132126166e-06,-1.37979922341e-06,-2.88558851247e-06,-4.92264143453e-07,-1.36169003493e-06,-4.68695212658e-07,-1.47970192314e-06,-5.57737692247e-07,-8.76523356493e-07,-1.37519991204e-06,-8.56559433308e-07,-1.15777280171e-06,-1.15996827593e-06,-1.47533687307e-06,-1.1982994192e-06,pol2,5,1,5,Continuum,16
2,4.14001657883e-07,3.23349701594e-07,3.33429931549e-07,3.37840658156e-07,3.18603602822e-07,4.61365678162e-07,4.04670124677e-07,3.44663408331e-07,3.51646242842e-07,3.40632032804e-07,2.97490360247e-07,3.36813336446e-07,2.20319718151e-07,2.89358796594e-07,3.66971669411e-07,2.89102725979e-07,3.34679848907e-07,3.87591243424e-07,3.8801791464e-07,3.17575499123e-07,4.13968906761e-07,pol2,5,1,90,Continuum,16
3,5.21895350805e-07,4.10075280181e-07,4.21504636264e-07,4.31240267009e-07,4.03494155152e-07,6.11251689551e-07,5.3976528485e-07,4.47604947505e-07,5.24823922877e-07,4.36000122048e-07,3.99333715927e-07,4.20290982795e-07,3.10570171013e-07,3.88325830581e-07,4.71505774378e-07,3.93088482132e-07,4.18523650561e-07,4.95084481677e-07,5.00508229453e-07,4.3167096316e-07,5.24683947552e-07,pol2,5,1,95,Continuum,16
4,7.36221422523e-07,5.95206649958e-07,6.0099938484e-07,6.01358870594e-07,5.51239493834e-07,9.1060000629e-07,9.66300108273e-07,6.86047809809e-07,1.35132534167e-06,6.34985556649e-07,5.80728987402e-07,5.92533727183e-07,5.37971192886e-07,5.42823420643e-07,6.56077593124e-07,6.32043505455e-07,5.87434135207e-07,7.52116283845e-07,7.18918628303e-07,6.41322808814e-07,7.99033120794e-07,pol2,5,1,99,Continuum,16
