,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,-9.05884153495e-07,-9.3953224252e-07,-5.42057516663e-07,-2.73244990487e-06,-1.65054864605e-07,-3.86423583976e-07,-4.40862566028e-07,-5.82097251707e-08,-1.00598446022e-06,-1.16694468506e-07,-4.92412262656e-07,-3.02626240405e-08,-1.43565328232e-07,0,-1.02456906986e-06,-1.02604867585e-07,pol2,1,1,1,Peak,31
1,2.19695944449e-07,-6.61047496821e-07,3.22122821569e-07,-4.9922163482e-07,3.44276726336e-07,9.34513262066e-08,1.08535522855e-07,3.33601114257e-07,-1.69152976202e-07,1.69820561457e-07,-8.62101521039e-08,-1.27503093176e-08,2.73939552364e-08,0,2.55338889746e-07,1.54829878756e-08,pol2,1,1,5,Peak,31
2,1.01969438861e-06,1.86034137106e-07,1.16676251944e-06,8.47851453357e-07,1.15261581761e-06,9.81482807183e-07,9.9310055241e-07,1.05595364992e-06,7.16272612722e-07,1.00332546151e-06,7.46030923848e-07,9.94344602205e-07,9.27818906377e-07,0,9.90565119583e-07,8.69832143312e-07,pol2,1,1,90,Peak,31
3,1.09836767565e-06,2.90909819824e-07,1.26482426511e-06,9.2205682309e-07,1.23855278808e-06,1.084889015e-06,1.07822457084e-06,1.1333807867e-06,8.09541943109e-07,1.08808372648e-06,8.22827890472e-07,1.06767742011e-06,1.00358196825e-06,0,1.05945023123e-06,9.41033088285e-07,pol2,1,1,95,Peak,31
4,1.19958477009e-06,5.03811465189e-07,1.42070120819e-06,1.02263483294e-06,1.38934116306e-06,1.2268534698e-06,1.19319173429e-06,1.26535140438e-06,9.42120648682e-07,1.24155308062e-06,9.27113070243e-07,1.12719192717e-06,1.11414089043e-06,0,1.17508687765e-06,1.07273929043e-06,pol2,1,1,99,Peak,31
0,-2.63383876381e-06,-1.32121955926e-06,-1.78776694963e-06,-2.48178792347e-06,-1.99278442681e-06,-2.58474479901e-06,-1.39845163276e-06,-2.02241802413e-06,-2.51758759943e-06,-1.20572565402e-06,-2.54696131736e-06,-1.33477510688e-06,-1.70511069712e-06,0,-2.66774659535e-06,-2.81034563421e-06,pol2,1,1,1,Continuum,31
1,-1.29791146001e-06,-6.72808691153e-07,-8.53154193697e-07,-1.32449919846e-06,-9.24181439189e-07,-1.24820055464e-06,-6.1195134205e-07,-9.76460974728e-07,-1.35276098356e-06,-5.49493436432e-07,-1.29111359901e-06,-4.84053673805e-07,-8.77720333885e-07,0,-1.469133253e-06,-1.28135774762e-06,pol2,1,1,5,Continuum,31
2,3.34220205223e-07,3.31956614342e-07,3.53024697576e-07,3.06513431466e-07,3.40612959656e-07,3.184128699e-07,3.57313722092e-07,3.17928406909e-07,3.3797615663e-07,3.58145721029e-07,3.10936948382e-07,3.65281316256e-07,3.34015882223e-07,0,3.20653434722e-07,3.13768518816e-07,pol2,1,1,90,Continuum,31
3,4.29013897923e-07,4.42651097151e-07,4.49487740468e-07,4.04328549121e-07,4.52214895051e-07,4.36480006296e-07,4.50098070113e-07,3.9870398089e-07,4.57718594194e-07,4.61355524887e-07,3.99922845529e-07,4.36877233472e-07,4.38456831349e-07,0,4.26784804981e-07,4.30845775044e-07,pol2,1,1,95,Continuum,31
4,6.38825320606e-07,6.88646286385e-07,6.43430049557e-07,6.11472546956e-07,6.60301701314e-07,6.70390411793e-07,6.31970686356e-07,5.86410243207e-07,6.96334195727e-07,6.60671869632e-07,5.96665895209e-07,5.71084917177e-07,6.41887575675e-07,0,6.45531455578e-07,6.52779065139e-07,pol2,1,1,99,Continuum,31
0,-2.59972707092e-11,-9.43959997196e-12,-2.86850477136e-11,-2.34197602704e-11,-2.83330750529e-11,-2.59574728615e-11,-2.54830454167e-11,-2.5417863245e-11,-2.02541662491e-11,-2.54828596022e-11,-2.01378483456e-11,-2.83512482819e-11,-2.52439246845e-11,0,-2.46892959684e-11,-2.40192914782e-11,pol3,1,1,1,Peak,31
1,-2.16737587093e-11,-4.36361625214e-12,-2.45428584912e-11,-1.88514590708e-11,-2.44822622375e-11,-2.16095337999e-11,-2.13202115168e-11,-2.20112271979e-11,-1.64613603754e-11,-2.12602620382e-11,-1.64700816634e-11,-2.19363327745e-11,-2.04352667451e-11,0,-2.09241890367e-11,-1.96828119466e-11,pol3,1,1,5,Peak,31
2,-5.58314822665e-12,1.35975569103e-11,-6.82132252569e-12,-1.20156688479e-13,-7.47340098501e-12,-3.33184212271e-12,-3.81151806723e-12,-6.87028934442e-12,2.32137103306e-12,-3.96319259239e-12,4.37608401278e-13,-3.54817734386e-12,-1.99227166693e-12,0,-5.75330362739e-12,-7.80175568985e-13,pol3,1,1,90,Peak,31
3,-3.38954060081e-12,1.60002952855e-11,-4.5678673827e-12,3.92848440642e-12,-5.14037841868e-12,-1.35958110503e-12,-1.77658437426e-12,-4.81761119811e-12,4.8477186933e-12,-1.74230169103e-12,2.95011479201e-12,3.63269159091e-14,2.97056028386e-13,0,-3.75688329128e-12,1.60878321491e-12,pol3,1,1,95,Peak,31
4,2.75920804736e-12,2.11460477712e-11,-1.87958181383e-13,3.148676592e-11,1.29034642504e-12,1.61463069702e-12,7.59335532449e-13,-3.61395383031e-13,1.11905197872e-11,1.77917038622e-12,9.91985678474e-12,7.60068516999e-12,4.55477762996e-12,0,7.50062890991e-13,5.57523380448e-12,pol3,1,1,99,Peak,31
0,-1.34417300794e-11,-1.47755523363e-11,-1.39697184087e-11,-1.28749162078e-11,-1.42805400763e-11,-1.42490717174e-11,-1.33720122217e-11,-1.23844461777e-11,-1.51274565475e-11,-1.43358313241e-11,-1.26682532498e-11,-1.23888186495e-11,-1.33614553405e-11,0,-1.38743757905e-11,-1.39368968182e-11,pol3,1,1,1,Continuum,31
1,-9.01880634027e-12,-9.42356647484e-12,-9.43598063975e-12,-8.5002941992e-12,-9.60893580564e-12,-9.42923113242e-12,-9.58494837253e-12,-8.3520652797e-12,-9.8860396795e-12,-1.00281500119e-11,-8.42898901982e-12,-9.21040537764e-12,-9.15177605343e-12,0,-9.02305691498e-12,-9.12619637695e-12,pol3,1,1,5,Continuum,31
2,1.64308972461e-11,1.09307803929e-11,1.06906053284e-11,1.76417506319e-11,1.21018822969e-11,1.5438679843e-11,8.62338385666e-12,1.23834762746e-11,1.77945708883e-11,8.59343174891e-12,1.62878705278e-11,6.88252724766e-12,1.21838652676e-11,0,1.93911566592e-11,1.56012587059e-11,pol3,1,1,90,Continuum,31
3,2.50088746319e-11,1.427381386e-11,1.72641238776e-11,2.599104105e-11,1.8597297177e-11,2.49200975907e-11,1.28264458322e-11,1.97781487564e-11,2.68746784553e-11,1.19500321318e-11,2.54100037583e-11,1.04520389555e-11,1.78914373772e-11,0,2.90182429601e-11,2.54335282799e-11,pol3,1,1,95,Continuum,31
4,5.13419360802e-11,2.63075953182e-11,3.55916585045e-11,4.76797165318e-11,3.95065895741e-11,4.84766830679e-11,2.83530037323e-11,3.86997111572e-11,4.84554214398e-11,2.43683938481e-11,4.95522887e-11,2.10483252832e-11,3.38943855073e-11,0,5.1356288391e-11,5.40165726722e-11,pol3,1,1,99,Continuum,31
0,67.1279531047,111.360461373,65.9490442228,66.621449206,63.9419111485,60.7816364315,66.2554154349,61.3587040507,66.0346172341,62.9171289865,64.3211668966,67.4741929297,84.0754877909,0,67.7995828615,62.0989099369,fitSlo,1,1,1,Peak,31
1,74.3898850365,119.232118278,77.2575895254,71.2216306168,73.3981494386,85.8623735509,71.5647534935,71.2480537194,75.9423882302,72.3180750065,70.4843273183,70.2099496404,92.5914077996,0,77.268136486,76.8124486044,fitSlo,1,1,5,Peak,31
2,111.2300968,148.772778673,123.458007202,154.148390813,117.045852964,111.36225578,108.914698119,106.271955211,108.327810869,121.065020227,110.669872431,148.57359619,148.814159968,0,105.34010384,103.758630004,fitSlo,1,1,90,Peak,31
3,134.651761584,164.355147827,147.303768868,209.798236403,142.113481014,131.583175274,133.289880004,128.233059006,128.272164618,146.742230998,134.181188113,173.787277029,183.99758035,0,122.285477892,128.32057375,fitSlo,1,1,95,Peak,31
4,198.483811669,206.273915549,216.085490614,355.01268785,207.986210048,207.935554761,196.209336139,189.70938941,186.419938709,216.044976098,201.628120064,250.362159575,264.250549706,0,180.045740587,176.961169827,fitSlo,1,1,99,Peak,31
0,58.5982777468,97.9748205651,59.7193773496,55.5579025861,58.1144624952,55.4313404196,50.2110759146,55.0149447837,57.1396958756,54.4417111972,56.5445782889,55.0469394991,67.7147645075,0,48.1682425947,54.7981358842,fitSlo,1,1,1,Continuum,31
1,68.1892678363,111.15593693,72.0814715205,65.1434375286,68.5519310754,74.8764197849,62.5523094259,65.4729170346,69.3776584782,66.295035276,64.4478343001,63.7691115111,81.4481494893,0,60.431435018,67.1443132916,fitSlo,1,1,5,Continuum,31
2,614.510828317,231.208013371,361.97901842,593.364507011,372.764262816,509.913327605,232.015075869,419.931423327,567.477363453,196.940487096,567.494840411,177.876926859,441.949505259,0,650.551118902,485.426853891,fitSlo,1,1,90,Continuum,31
3,822.64573825,381.997796854,488.40074709,763.483546344,532.551157226,729.231386216,350.420396243,574.61299162,766.551472244,263.807288763,750.55519802,337.885172421,567.714470989,0,844.267089259,781.834277753,fitSlo,1,1,95,Continuum,31
4,1208.83946419,656.941663945,696.43161306,1092.78055987,851.362074589,1126.26625191,609.11615775,902.926567285,1117.74686916,484.323497249,1113.81931468,840.740194347,744.643759571,0,1193.36991772,1295.96083815,fitSlo,1,1,99,Continuum,31
0,1.65967065779,1.42413039018,1.6813940295,1.67708287248,1.61766486225,1.65752422779,1.67488821866,1.68897304205,1.63050147131,1.70574802496,1.61895514701,1.66800657583,1.50744516346,0,1.66450565972,1.73678902066,riseNoise,1,1,1,Peak,31
1,1.80843762918,1.51747492911,1.82958088731,1.82787388521,1.7542007154,1.79746961617,1.86159690843,1.82715836556,1.75778814629,1.86695622437,1.76572413743,1.7962137467,1.66992953009,0,1.79631961044,1.89896913609,riseNoise,1,1,5,Peak,31
2,2.4593772732,1.91754854798,2.46644501668,2.53411320594,2.37547151127,2.45196620856,2.57805913159,2.49172067799,2.35222337971,2.54743187536,2.47818403723,2.43051367263,2.28310960776,0,2.42054964975,2.58249321382,riseNoise,1,1,90,Peak,31
3,2.53432172033,1.97452275792,2.55083234181,2.64182107218,2.45996259742,2.53548561635,2.68306805421,2.56990447945,2.41769740542,2.63782028774,2.57385400798,2.5459225795,2.36811106949,0,2.50110261963,2.68027480166,riseNoise,1,1,95,Peak,31
4,2.66311846478,2.08327541653,2.70444894709,2.84635020311,2.60956408244,2.68908967463,2.85517909106,2.7501363241,2.54541483057,2.8374668584,2.75326334136,2.8297296968,2.5186910545,0,2.6821803701,2.90543288892,riseNoise,1,1,99,Peak,31
0,0.966574566308,0.949653480552,0.991813382025,1.03816100454,0.952237865872,0.977066184222,0.987461397454,0.984384289459,0.982767186373,1.01592741592,0.959366202377,0.955792001337,0.945137682752,0,0.981164879001,0.98806416598,riseNoise,1,1,1,Continuum,31
1,1.02537588423,0.99952785571,1.05988864252,1.09906056617,1.00362046976,1.03617870281,1.05223413379,1.0426028478,1.03825182691,1.07952137528,1.01792434772,1.02513351481,1.02373061987,0,1.02985904458,1.06298922914,riseNoise,1,1,5,Continuum,31
2,1.37234176014,1.28807815633,1.44193284325,1.57871711343,1.33679871,1.37178525998,1.43559375047,1.3995303729,1.40258803295,1.49219683144,1.37333799342,1.33218172732,1.43183464846,0,1.39204599123,1.62979438214,riseNoise,1,1,90,Continuum,31
3,1.43330208973,1.33675073931,1.50523089248,1.68398635567,1.40472825413,1.42797393357,1.497200406,1.4563289664,1.46337540137,1.56456237141,1.43850139594,1.39341676889,1.51161240373,0,1.45474454744,1.74999896182,riseNoise,1,1,95,Continuum,31
4,1.5534447393,1.43637931041,1.62505927499,1.89307485057,1.53424227507,1.54035128074,1.6363760411,1.58606211748,1.59025286609,1.74849145217,1.56133377457,1.48358567939,1.67748694438,0,1.57937077598,2.02403590542,riseNoise,1,1,99,Continuum,31
