,578,580,582,592,598,600,608,610,626,632,640,648,664,672,690,692,Cut,DS,Module,Percentage,Range,SubDS
0,-7.63954980739e-07,-8.44873828702e-07,-1.20554706347e-07,-3.50530431664e-06,-1.15648054181e-07,-4.24035500164e-07,-3.90718254907e-07,2.73833960959e-11,-1.17333827051e-06,-1.84110076292e-07,-2.13960583976e-07,-3.73353271176e-07,-1.01193425862e-07,-1.00541254556e-06,-9.32917565888e-07,-1.95419930133e-07,pol2,1,1,1,Peak,45
1,1.88139873624e-07,-6.32285025028e-07,3.34561954605e-07,-6.51189444479e-07,3.43056022097e-07,1.30973114406e-07,9.39926255359e-08,3.29647749637e-07,-2.68172088895e-07,1.56981928466e-07,-4.02718312992e-08,8.96116130432e-08,2.00314016526e-08,3.06040829911e-07,2.32570601598e-07,4.4927581708e-08,pol2,1,1,5,Peak,45
2,1.02622543553e-06,1.67244487056e-07,1.17640613661e-06,8.43013248842e-07,1.16304030005e-06,9.82081135903e-07,9.59478800646e-07,1.07397054593e-06,6.1025136594e-07,9.87001221124e-07,7.84977085213e-07,1.00466996755e-06,9.40381324525e-07,1.06637505586e-06,9.8762848618e-07,8.95080845505e-07,pol2,1,1,90,Peak,45
3,1.10293772654e-06,2.83566662651e-07,1.2686729077e-06,9.16803330849e-07,1.26317039339e-06,1.07210559536e-06,1.04451700719e-06,1.15564932719e-06,7.11032383506e-07,1.08222812932e-06,8.58749336841e-07,1.08198574691e-06,1.01209178587e-06,1.14577496909e-06,1.06421239766e-06,9.78619353049e-07,pol2,1,1,95,Peak,45
4,1.20416163716e-06,4.9044100895e-07,1.40878504545e-06,1.02711671541e-06,1.41120055842e-06,1.21482209625e-06,1.16279804873e-06,1.282815885e-06,8.6151280568e-07,1.23911895241e-06,9.45025359931e-07,1.20042694084e-06,1.1066550316e-06,1.27550802276e-06,1.17076069393e-06,1.13416070169e-06,pol2,1,1,99,Peak,45
0,-2.57562308631e-06,-1.2678919659e-06,-1.71335669291e-06,-2.56216803489e-06,-2.03449102626e-06,-2.41212113985e-06,-1.2904265699e-06,-1.79342699194e-06,-2.57661055018e-06,-1.00557896585e-06,-2.75956596325e-06,-1.31279879129e-06,-1.69286365968e-06,-2.39701765706e-06,-2.90613575166e-06,-2.48427084258e-06,pol2,1,1,1,Continuum,45
1,-1.2378141346e-06,-6.61353723355e-07,-8.47089201253e-07,-1.30364188015e-06,-9.49115916455e-07,-1.20869065301e-06,-5.76579154745e-07,-9.30369547703e-07,-1.40133227934e-06,-5.37774226845e-07,-1.27743714933e-06,-4.99957340249e-07,-8.57465039813e-07,-1.3351329169e-06,-1.45273651019e-06,-1.22095440197e-06,pol2,1,1,5,Continuum,45
2,3.19614513982e-07,3.46756050016e-07,3.40381198337e-07,3.09700638531e-07,3.52490878005e-07,3.1131864984e-07,3.62981434222e-07,3.19117091238e-07,3.34456506579e-07,3.67634816112e-07,3.03868690984e-07,3.46497644049e-07,3.47063202792e-07,3.0704176665e-07,3.14297496827e-07,3.06454583261e-07,pol2,1,1,90,Continuum,45
3,4.07856329407e-07,4.53386904612e-07,4.40115434589e-07,4.0612370361e-07,4.55968365163e-07,4.23472964298e-07,4.59751143855e-07,4.14555590722e-07,4.43635362341e-07,4.68564670067e-07,3.98724935075e-07,4.34375428815e-07,4.66405862774e-07,4.01880819898e-07,4.17605865836e-07,4.18386544442e-07,pol2,1,1,95,Continuum,45
4,6.06006477437e-07,6.62434219926e-07,6.27464499128e-07,5.89942993632e-07,6.57188645815e-07,6.37790553848e-07,6.38383804255e-07,5.77058981736e-07,6.70187024499e-07,6.98812786929e-07,6.13055834065e-07,5.88414074526e-07,7.00571228173e-07,5.88745020419e-07,6.5288814694e-07,5.78612524025e-07,pol2,1,1,99,Continuum,45
